Wall time,Step,Value
1648151423.1140292,712,1.0
1648151434.342671,1091,0.0
1648151764.4296849,2468,0.0
1648151786.875045,2559,10.0
1648151930.6987112,3011,0.0
1648152117.026274,3585,13.0
1648152129.35914,3624,2.0
1648152869.716299,5967,0.0
1648153569.452516,8062,6.0
1648153612.468072,8190,11.0
1648154076.556318,9704,0.0
1648154194.895278,10123,11.0
1648154466.1156642,11020,0.0
1648154749.187145,11938,12.0
1648155074.77434,12903,0.0
1648155471.827247,14154,1.0
1648155970.49825,15789,0.0
1648156765.297379,18477,0.0
1648157359.984044,20466,0.0
1648157677.364094,21575,0.0
1648158076.897567,23022,0.0
1648158109.301742,23143,0.0
1648158116.096377,23170,3.0
1648158140.436309,23263,0.0
1648158553.646585,24733,2.0
1648158835.121525,25656,0.0
1648160087.855559,30220,0.0
1648160125.080597,30369,0.0
1648161607.407431,35727,0.0
1648161790.252224,36405,3.0
1648162888.1853213,40364,3.0
1648163164.297594,41359,5.0
1648163827.220304,43762,0.0
1648165330.708324,49204,0.0
1648165435.391831,49600,0.0
1648165499.427749,49845,0.0
1648165697.006803,50535,0.0
1648165856.694795,51055,0.0
1648165905.343457,51227,0.0
1648166305.473734,52680,10.0
1648166315.33821,52717,0.0
1648167215.641413,55949,0.0
1648167936.138606,58483,0.0
1648168003.390986,58723,0.0
1648168182.346487,59361,0.0
1648168278.6151779,59709,0.0
1648168344.0615182,59953,4.0
1648169138.109769,62738,2.0
1648169188.201418,62921,2.0
1648169743.4438107,64948,3.0
1648170019.324411,65979,2.0
1648170240.429577,66778,6.0
1648170443.301299,67520,3.0
1648171035.0018523,69592,16.0
1648171745.588566,72100,8.0
1648171986.692402,72933,0.0
1648172341.437349,74099,6.0
1648172406.735583,74317,0.0
1648172636.20738,75113,0.0
1648173042.592135,76499,0.0
1648173176.2420638,76939,6.0
1648173229.136731,77116,0.0
1648173420.278066,77774,0.0
1648173565.939198,78276,4.0
1648173868.057355,79278,0.0
1648174125.372975,80107,1.0
1648174422.639798,81147,0.0
1648174446.728731,81234,0.0
1648174480.65713,81350,0.0
1648175327.498385,84311,0.0
1648175446.275221,84712,0.0
1648175580.106904,85131,4.0
1648175795.400811,85863,0.0
1648175829.458077,85984,1.0
1648176069.132907,86837,6.0
1648176515.699095,88428,2.0
1648177225.827918,90931,6.0
1648177325.319377,91285,5.0
1648177333.139099,91312,0.0
1648177804.9778,92972,3.0
1648177820.0078824,93024,5.0
1648178308.346168,94680,0.0
1648178498.1755662,95346,0.0
1648178719.439338,96059,1.0
1648178797.542858,96337,20.0
1648178959.242853,96899,5.0
1648179084.596151,97358,0.0
1648179092.372078,97386,4.0
1648179120.142256,97485,0.0
1648179426.801778,98562,1.0
1648179726.020154,99615,0.0
1648180102.663915,100907,3.0
1648180156.556468,101096,0.0
1648180306.248877,101585,0.0
1648180425.383586,102004,5.0
1648180571.252039,102522,0.0
1648180900.888868,103672,7.0
1648181038.410294,104144,0.0
1648181171.437329,104609,8.0
1648181688.91539,106397,0.0
1648181792.427162,106726,6.0
1648181857.135255,106954,14.0
1648181956.623574,107300,4.0
1648182091.877574,107774,0.0
1648182673.565701,109860,5.0
1648182913.277669,110733,0.0
1648183075.254418,111317,0.0
1648183335.143288,112160,8.0
1648184016.402026,114523,1.0
1648184672.751488,116823,0.0
1648184706.798521,116923,0.0
1648184886.349626,117545,0.0
1648184948.220861,117761,0.0
1648185103.827506,118308,1.0
1648185705.356548,120402,0.0
1648185805.967338,120746,0.0
1648186579.955887,123346,0.0
1648186904.464785,124421,0.0
1648187157.120285,125278,8.0
1648188352.482156,129288,0.0
1648188433.692937,129556,10.0
1648188673.453542,130375,1.0
1648189085.883334,131769,0.0
1648189388.552439,132748,2.0
1648189550.712228,133312,3.0
1648189760.989014,134022,0.0
1648189971.62177,134719,4.0
1648190023.223546,134887,0.0
1648190338.776836,135967,0.0
1648190834.566572,137579,0.0
1648190849.939876,137632,0.0
1648191083.785927,138409,0.0
1648191090.345766,138432,0.0
1648191112.217779,138508,0.0
1648191279.692253,139071,1.0
1648191707.093539,140527,1.0
1648191737.45088,140622,5.0
1648192290.6288,142397,0.0
1648192464.256838,142990,0.0
1648193060.165304,144992,5.0
1648193574.946697,146680,23.0
1648193781.36789,147335,3.0
1648194193.72773,148776,0.0
1648194341.2018456,149267,0.0
1648196214.7935753,155674,0.0
1648196388.9138198,156263,0.0
1648196414.370092,156340,0.0
1648196831.83451,157698,0.0
1648196871.52149,157831,0.0
1648196893.320447,157905,3.0
1648196915.636743,157983,0.0
1648197193.715005,158923,0.0
1648197917.014523,161367,4.0
1648198645.608324,163791,0.0
1648198714.241809,164021,0.0
1648198720.922739,164042,4.0
1648198788.78602,164273,0.0
1648199514.672653,166706,0.0
1648199522.563478,166732,0.0
1648199729.865609,167363,7.0
1648199850.490702,167758,32.0
1648199876.964313,167845,16.0
1648199929.724736,168023,4.0
1648200230.414034,169028,2.0
1648200246.139728,169082,0.0
1648200422.474249,169643,16.0
1648200500.262737,169898,0.0
1648200661.107038,170414,13.0
1648200720.702726,170613,0.0
1648200760.743414,170743,0.0
1648201059.927232,171701,0.0
1648201538.7296147,173245,1.0
1648201810.760127,174170,0.0
1648202090.928053,175141,0.0
1648202200.043935,175510,17.0
1648202319.241955,175916,18.0
1648202347.922708,176016,0.0
1648203320.45218,179265,30.0
1648203598.327009,180173,0.0
1648203614.373372,180228,2.0
1648203732.486528,180622,3.0
1648203823.81188,180936,2.0
1648203979.636769,181439,0.0
1648204364.342606,182714,0.0
1648204429.017635,182939,0.0
1648204504.782803,183203,0.0
1648204758.2790048,184048,9.0
1648204927.074942,184601,0.0
1648205106.00737,185210,4.0
1648205206.229982,185556,2.0
1648205486.744053,186506,0.0
1648205518.2421823,186608,5.0
1648205854.48224,187660,6.0
1648205919.955381,187886,0.0
1648205981.346616,188084,0.0
1648206014.221593,188192,5.0
1648206743.040877,190608,6.0
1648207059.976757,191657,6.0
1648207275.540736,192336,0.0
1648207342.518333,192562,5.0
1648207535.799244,193170,3.0
1648207659.191297,193575,10.0
1648207673.074076,193617,13.0
1648207816.57436,194083,0.0
1648207931.6782532,194463,0.0
1648208033.294869,194798,0.0
1648208046.618125,194841,0.0
1648208172.19199,195262,0.0
1648208194.487161,195338,0.0
1648208285.940563,195654,0.0
1648208686.882755,196921,0.0
1648208882.371835,197551,6.0
1648208929.460127,197707,0.0
1648209099.487389,198260,0.0
1648209237.938144,198707,3.0
1648209989.972331,201182,0.0
1648210085.413666,201496,26.0
1648210113.097896,201539,14.0
1648210554.620998,203005,5.0
1648210575.930899,203077,1.0
1648210612.708691,203199,2.0
1648210696.358552,203485,0.0
1648210761.71024,203705,1.0
