Wall time,Step,Value
1648151790.480038,1,0.0
1648151790.555702,3,0.0
1648151878.4696152,466,0.0
1648152171.1533408,1769,0.40287768840789795
1648152494.297544,3305,0.0
1648153187.601199,6486,0.0
1648153364.150114,7283,0.0
1648153533.812695,8020,0.0
1648153649.829358,8550,0.0
1648153698.621977,8755,0.0
1648153794.777137,9219,0.0
1648154150.555163,10987,0.0
1648154244.59398,11438,0.0
1648154473.434113,12561,0.0
1648154708.098751,13588,0.0
1648154889.6440856,14386,0.0
1648155496.92136,16970,0.0
1648155561.539737,17262,0.0
1648156394.141782,20841,0.0
1648156448.310571,21053,0.0
1648156633.333078,21863,0.0
1648156964.465809,23334,0.0
1648157071.209196,23803,0.0
1648157552.259334,25996,0.0
1648157708.44769,26715,0.0
1648157873.980585,27447,0.0
1648157976.963227,27929,0.0
1648158300.371247,29396,0.0
1648158538.609556,30460,0.0
1648158588.087228,30681,0.0
1648158643.236399,30907,0.0
1648158788.245854,31585,0.0
1648158912.07966,32136,0.0
1648159206.522362,33473,0.0
1648159257.862894,33705,0.0
1648159825.128362,36268,0.0
1648159936.542649,36784,0.0
1648160128.950603,37691,0.0
1648161341.863512,43178,0.0
1648161689.37262,44787,0.0
1648161743.413192,45040,0.0
1648161803.6686022,45318,0.0
1648161866.874966,45606,0.0
1648162104.360622,46684,0.0
1648162150.633607,46898,0.0
1648162311.965921,47598,0.0
1648162374.49814,47887,0.0
1648162601.9467342,48892,0.0
1648162814.558243,49845,0.3011363744735718
1648163361.157002,52279,0.0
1648163456.744643,52717,0.0
1648163694.871098,53769,0.0
1648163868.624039,54516,0.0
1648164790.350285,58675,0.0
1648164839.124249,58894,0.0
1648165422.868253,61472,0.0
1648165473.425661,61698,0.0
1648165593.900036,62215,0.0
1648165887.956881,63476,0.0
1648166054.614918,64219,0.0
1648166157.474914,64652,0.0
1648166205.088196,64871,0.0
1648166325.935425,65431,0.0
1648166387.656413,65688,0.0
1648166680.938308,66984,0.0
1648166797.844365,67509,0.0
1648167383.527466,70132,0.0
1648167841.010134,72153,0.0
1648167884.938569,72355,0.0
1648168061.668982,73158,0.0
1648168235.766029,73930,0.0
1648168289.889984,74188,0.0
1648168743.954705,76217,0.0
1648168854.625927,76712,0.0
1648169326.4806406,78742,0.0
1648169548.218075,79692,0.0
1648169660.082518,80220,0.0
1648169762.547353,80695,0.0
1648169826.221678,80963,0.0
1648169944.828302,81504,0.0
1648170003.202763,81766,0.0
1648170131.250643,82309,0.0
1648170242.50992,82828,0.0
1648170304.861714,83112,0.0
1648170374.834572,83406,0.0
1648170607.314236,84453,0.0
1648170769.9434361,85177,0.0
1648171245.942748,87282,0.0
1648171294.96082,87508,0.0
1648171418.960496,88086,0.0
1648171635.2924328,89029,0.0
1648171925.331383,90334,0.0
1648172223.818117,91703,0.0
1648172280.733435,91969,0.0
