Wall time,Step,Value
1648977780.732886,211,0.0
1648977790.286338,272,0.0
1648977796.0563278,310,0.008591065183281898
1648978173.07374,2760,0.0
1648978354.606525,3897,0.0
1648978362.868849,3950,0.0
1648978494.241963,4893,0.0
1648978659.527569,5951,0.0
1648978817.672476,7016,0.0
1648978850.427538,7253,0.0
1648978875.15337,7424,0.0
1648978883.761919,7487,0.0
1648979102.022974,8986,0.0
1648979307.093275,10452,0.0
1648979315.971451,10520,0.0
1648979494.210461,11658,0.0
1648979518.081471,11833,0.0
1648979580.768891,12278,0.0
1648979622.206134,12569,0.0
1648979745.1674597,13440,0.0
1648979781.6427977,13705,0.0
1648979952.741518,14884,0.0
1648980059.419611,15645,0.0
1648980074.83024,15754,0.0
1648980200.217156,16660,0.0
1648980327.040281,17467,0.0
1648980560.227531,19099,0.0
1648980564.619238,19130,0.0
1648980595.416715,19347,0.0
1648980737.3101451,20355,0.0
1648980795.269971,20777,0.0
1648981087.19246,22806,0.0
1648981309.104081,24268,0.0
1648981355.928875,24618,0.0
1648981899.498136,28479,0.0
1648981993.244921,29096,0.0
1648982061.893646,29496,0.0
1648982083.107813,29650,0.0
1648982325.206953,31341,0.0
1648982372.031163,31669,0.0
1648982702.787659,33947,0.0
1648982768.310177,34407,0.0
1648982821.887312,34785,0.0
1648982831.3024657,34850,0.0
1648982959.5105517,35666,0.0
1648983196.217538,37326,0.0
1648983222.025751,37515,0.0
1648983329.613418,38269,0.0
1648983364.385444,38500,0.0
1648983986.544593,42822,0.0
1648983991.377208,42852,0.0
1648984061.388964,43329,0.0
1648984064.939854,43353,0.0
1648984325.948679,45170,0.0
1648984330.1697197,45201,0.0
1648984335.862435,45243,0.0
1648984485.09499,46280,0.0
1648984522.079181,46536,0.0
1648984596.578347,47033,0.0
1648984655.031303,47371,0.0
1648984719.132085,47818,0.0
1648984744.555027,47993,0.0
1648984832.501889,48612,0.0
1648985136.177139,50745,0.0
1648985144.37145,50804,0.0
1648985433.514566,52855,0.0
1648985574.559615,53760,0.0
1648985734.433906,54911,0.0
1648985766.552102,55144,0.0
1648985878.92764,55946,0.0
1648986125.083249,57674,0.0
1648986129.788705,57708,0.0
1648986306.146746,58874,0.0
1648986405.497608,59516,0.0
1648986443.10982,59786,0.0
1648986605.209909,60939,0.0
1648986639.220499,61191,0.0
1648986647.746521,61252,0.0
1648986729.309396,61835,0.0
1648986781.096783,62211,0.0
1648986830.091882,62554,0.0
1648987029.164142,63943,0.0
1648987074.197596,64254,0.0
1648987125.886694,64621,0.0
1648987703.636854,68619,0.0
1648987833.683563,69540,0.0
1648987895.298511,69988,0.0
1648988087.423758,71208,0.0
1648988106.297906,71337,0.0
1648988279.999302,72556,0.0
1648988331.453167,72919,0.0
1648988455.748096,73780,0.0
1648988485.606203,73997,0.0
1648988744.920054,75760,0.0
1648988762.524793,75878,0.0
1648988819.724395,76271,0.0
1648989141.716967,78428,0.0
1648989210.271054,78914,0.0
1648989353.276451,79924,0.0
1648989476.268096,80779,0.0
1648989774.7476811,82793,0.0
1648989815.502776,83073,0.0
1648989941.78861,83945,0.0
1648990008.250335,84405,0.0
1648990201.518003,85748,0.0
1648990206.427364,85781,0.0
1648990219.110357,85863,0.0
1648990352.909714,86800,0.0
1648990358.114144,86837,0.0
1648990380.96397,86999,0.0
1648990602.553539,88488,0.0
1648990662.015423,88856,0.0
1648991398.010178,93926,0.0
1648991762.976271,96337,0.0
1648991913.67338,97358,0.0
1648991973.141948,97766,0.0
1648992000.217183,97951,0.0
1648992156.094213,99037,0.0
1648992240.217701,99628,0.0
1648992694.741548,102633,0.0
1648992708.6128867,102723,0.0
1648992899.078871,103976,0.0
1648992947.902543,104296,0.0
1648992960.474497,104377,0.0
1648993086.551092,105192,0.0
1648993157.772117,105652,0.0
1648993461.326851,107604,0.0
1648993632.1519873,108688,0.0
1648993779.489795,109655,0.0
1648993975.3467772,110904,0.0
