Wall time,Step,Value
1648151790.480659,1,1.0
1648151790.556589,3,1.0
1648151878.470186,466,0.0
1648152171.15388,1769,1.0
1648152494.298135,3305,0.0
1648153187.60174,6486,0.0
1648153364.150676,7283,0.0
1648153533.8132453,8020,0.0
1648153649.829897,8550,0.0
1648153698.62252,8755,0.0
1648153794.777681,9219,0.0
1648154150.555713,10987,1.0
1648154244.594542,11438,0.0
1648154473.434695,12561,0.0
1648154708.099822,13588,0.0
1648154889.64464,14386,0.0
1648155496.921911,16970,0.0
1648155561.540284,17262,0.0
1648156394.142334,20841,0.0
1648156448.311102,21053,0.0
1648156633.3337102,21863,0.0
1648156964.466395,23334,0.0
1648157071.209769,23803,0.0
1648157552.259869,25996,0.0
1648157708.44827,26715,0.0
1648157873.981192,27447,0.0
1648157976.963796,27929,0.0
1648158300.371805,29396,0.0
1648158538.610366,30460,0.0
1648158588.087764,30681,0.0
1648158643.236942,30907,0.0
1648158788.247621,31585,0.0
1648158912.080759,32136,0.0
1648159206.522908,33473,0.0
1648159257.86342,33705,0.0
1648159825.128876,36268,0.0
1648159936.543164,36784,0.0
1648160128.951128,37691,0.0
1648161341.86423,43178,0.0
1648161689.373246,44787,0.0
1648161743.413808,45040,0.0
1648161803.669257,45318,0.0
1648161866.875542,45606,0.0
1648162104.3612883,46684,0.0
1648162150.634139,46898,0.0
1648162311.96658,47598,0.0
1648162374.498683,47887,0.0
1648162601.947382,48892,0.0
1648162814.558804,49845,1.0
1648163361.157595,52279,0.0
1648163456.745217,52717,0.0
1648163694.8716822,53769,0.0
1648163868.624573,54516,0.0
1648164790.351021,58675,0.0
1648164839.124758,58894,0.0
1648165422.869284,61472,0.0
1648165473.4262,61698,0.0
1648165593.900784,62215,0.0
1648165887.9575863,63476,0.0
1648166054.616225,64219,0.0
1648166157.47545,64652,0.0
1648166205.088775,64871,0.0
1648166325.935967,65431,0.0
1648166387.656976,65688,0.0
1648166680.938858,66984,0.0
1648166797.844999,67509,0.0
1648167383.528006,70132,0.0
1648167841.010713,72153,0.0
1648167884.939208,72355,0.0
1648168061.669587,73158,0.0
1648168235.76665,73930,0.0
1648168289.890615,74188,0.0
1648168743.955254,76217,0.0
1648168854.626677,76712,0.0
1648169326.481225,78742,0.0
1648169548.218649,79692,0.0
1648169660.083089,80220,0.0
1648169762.547962,80695,0.0
1648169826.222251,80963,0.0
1648169944.828845,81504,0.0
1648170003.203336,81766,0.0
1648170131.251322,82309,1.0
1648170242.510477,82828,0.0
1648170304.862298,83112,0.0
1648170374.835259,83406,0.0
1648170607.3147624,84453,0.0
1648170769.944044,85177,0.0
1648171245.9433,87282,0.0
1648171294.961433,87508,0.0
1648171418.961039,88086,0.0
1648171635.292999,89029,0.0
1648171925.332025,90334,0.0
1648172223.81903,91703,0.0
1648172280.733964,91969,0.0
1648172575.5383277,93282,0.0
1648172625.623512,93511,0.0
1648172859.88443,94532,0.0
1648172908.173878,94743,1.0
1648173005.097623,95153,0.0
1648173184.754065,95912,0.0
1648173390.64951,96779,0.0
1648173522.696521,97322,1.0
1648174190.014026,100156,0.0
1648174257.195844,100424,1.0
1648174372.051231,100936,1.0
1648174596.0947998,101929,0.0
1648174759.743927,102650,0.0
1648175619.220776,106449,0.0
1648175841.205746,107383,0.0
1648175889.905948,107604,0.0
1648175947.781434,107862,0.0
1648176931.071962,112009,0.0
1648176984.205217,112272,0.0
1648177324.110368,113751,1.0
1648178084.423441,116852,0.0
1648178916.891142,120206,0.0
1648179473.1199687,122536,0.0
1648179510.6028993,122680,1.0
1648179682.234692,123385,0.0
1648179909.722604,124332,0.0
1648180023.740765,124782,0.0
1648180423.525579,126360,0.0
1648181122.474216,129061,0.0
1648181658.627314,131105,0.0
1648181763.838562,131503,1.0
1648181816.46426,131705,0.0
1648181876.105739,131937,0.0
1648182013.176666,132467,0.0
1648182290.8927,133525,0.0
1648182788.996463,135503,0.0
1648183150.768724,136881,0.0
1648183581.29919,138441,0.0
1648184060.129088,140151,0.0
1648184390.516932,141341,0.0
1648184529.793618,141844,0.0
1648185186.128266,144188,1.0
1648185758.7570822,146196,0.0
1648186472.304727,148786,0.0
1648186759.598131,149785,0.0
1648186881.646125,150190,1.0
1648187036.981978,150734,0.0
1648187272.510403,151557,0.0
1648187467.154458,152244,0.0
1648187960.331286,154000,0.0
1648188976.803201,157526,0.0
1648189528.2718,159507,0.0
