Wall time,Step,Value
1648151423.113796,712,0.0
1648151434.342446,1091,0.0
1648151764.429446,2468,0.0
1648151786.874781,2559,0.0
1648151930.6984682,3011,0.0
1648152117.026033,3585,0.0
1648152129.35888,3624,0.0
1648152869.7160552,5967,0.0
1648153569.451769,8062,0.0
1648153612.467658,8190,0.0
1648154076.556074,9704,0.0
1648154194.895014,10123,0.0
1648154466.115419,11020,0.0
1648154749.186875,11938,0.0
1648155074.77409,12903,0.0
1648155471.827005,14154,0.0
1648155970.498006,15789,0.0
1648156765.297132,18477,0.0
1648157359.983787,20466,0.0
1648157677.363847,21575,0.0
1648158076.897327,23022,0.0
1648158109.301498,23143,0.0
1648158116.096128,23170,0.0
1648158140.436064,23263,0.0
1648158553.646334,24733,0.0
1648158835.12127,25656,0.0
1648160087.855314,30220,0.0
1648160125.080354,30369,0.0
1648161607.407162,35727,0.0
1648161790.251974,36405,0.0
1648162888.185072,40364,0.0
1648163164.297242,41359,0.0
1648163827.220056,43762,0.0
1648165330.70807,49204,0.0
1648165435.391514,49600,0.0
1648165499.427507,49845,0.0
1648165697.00655,50535,0.0
1648165856.69455,51055,0.0
1648165905.343211,51227,0.0
1648166305.473492,52680,0.0
1648166315.337968,52717,0.0
1648167215.641168,55949,0.0
1648167936.138365,58483,0.0
1648168003.390739,58723,0.0
1648168182.34612,59361,0.0
1648168278.614932,59709,0.0
1648168344.06127,59953,0.0
1648169138.10952,62738,0.0
1648169188.201177,62921,0.0
1648169743.443563,64948,0.0
1648170019.324162,65979,0.0
1648170240.429316,66778,0.0
1648170443.301002,67520,0.0
1648171035.0016,69592,0.0
1648171745.588318,72100,0.0
1648171986.692159,72933,0.0
1648172341.437107,74099,0.0
1648172406.735337,74317,0.0
1648172636.207128,75113,0.0
1648173042.591889,76499,0.0
1648173176.241801,76939,0.0
1648173229.136356,77116,0.0
1648173420.277819,77774,0.0
1648173565.938951,78276,0.0
1648173868.057107,79278,0.0
1648174125.372724,80107,0.0
1648174422.639547,81147,0.0
1648174446.728486,81234,0.0
1648174480.656843,81350,0.0
1648175327.4981408,84311,0.0
1648175446.2749782,84712,0.0
1648175580.106643,85131,0.0
1648175795.400566,85863,0.0
1648175829.45783,85984,0.0
1648176069.132664,86837,0.0
1648176515.6988428,88428,0.0
1648177225.827678,90931,0.0
1648177325.319134,91285,0.0
1648177333.138852,91312,0.0
1648177804.9775512,92972,0.0
1648177820.007639,93024,0.0
1648178308.345918,94680,0.0
1648178498.175318,95346,0.0
1648178719.439089,96059,0.0
1648178797.542559,96337,0.0
1648178959.242608,96899,0.0
1648179084.595908,97358,0.0
1648179092.371825,97386,0.0
1648179120.142011,97485,0.0
1648179426.801533,98562,0.0
1648179726.019908,99615,0.0
1648180102.663668,100907,0.0
1648180156.556227,101096,0.0
1648180306.248635,101585,0.0
1648180425.3833432,102004,0.0
1648180571.251799,102522,0.0
1648180900.8886058,103672,0.0
1648181038.410048,104144,0.0
1648181171.4370377,104609,0.0
1648181688.915144,106397,0.0
1648181792.426916,106726,0.0
1648181857.135008,106954,0.0
1648181956.623311,107300,0.0
1648182091.876794,107774,0.0
1648182673.565459,109860,0.0
1648182913.277419,110733,0.0
1648183075.254177,111317,0.0
1648183335.143039,112160,0.0
1648184016.401759,114523,0.0
1648184672.751246,116823,0.0
1648184706.798278,116923,0.0
1648184886.349379,117545,0.0
1648184948.220614,117761,0.0
1648185103.827262,118308,0.0
1648185705.356148,120402,0.0
1648185805.967096,120746,0.0
1648186579.955638,123346,0.0
1648186904.464542,124421,0.0
1648187157.120041,125278,0.0
1648188352.481919,129288,0.0
1648188433.692687,129556,0.0
1648188673.453295,130375,0.0
1648189085.883092,131769,0.0
1648189388.552198,132748,0.0
1648189550.711984,133312,0.0
1648189760.988776,134022,0.0
1648189971.621505,134719,0.0
1648190023.2233,134887,0.0
1648190338.776591,135967,0.0
1648190834.566323,137579,0.0
1648190849.939385,137632,0.0
1648191083.785682,138409,0.0
1648191090.34552,138432,0.0
1648191112.217535,138508,0.0
1648191279.6920037,139071,0.0
1648191707.093289,140527,0.0
1648191737.450631,140622,0.0
1648192290.6285539,142397,0.0
1648192464.252917,142990,0.0
1648193060.165023,144992,0.0
1648193574.946453,146680,0.0
1648193781.367649,147335,0.0
1648194193.727481,148776,0.0
1648194341.201481,149267,0.0
1648196214.7933323,155674,0.0
1648196388.913574,156263,0.0
1648196414.369848,156340,0.0
1648196831.834265,157698,0.0
1648196871.521248,157831,0.0
1648196893.320205,157905,0.0
1648196915.636478,157983,0.0
1648197193.714762,158923,0.0
1648197917.014276,161367,0.0
1648198645.608081,163791,0.0
1648198714.241566,164021,0.0
1648198720.922493,164042,0.0
1648198788.78552,164273,0.0
1648199514.672402,166706,0.0
1648199522.5632,166732,0.0
1648199729.865352,167363,0.0
1648199850.490457,167758,0.0
1648199876.963924,167845,0.0
1648199929.724482,168023,0.0
1648200230.413725,169028,0.0
1648200246.139485,169082,0.0
1648200422.473982,169643,0.0
1648200500.262478,169898,0.0
1648200661.106787,170414,0.0
1648200720.702476,170613,0.0
1648200760.74317,170743,0.0
1648201059.926987,171701,0.0
1648201538.7293718,173245,0.0
1648201810.759877,174170,0.0
1648202090.927634,175141,0.0
1648202200.04369,175510,0.0
1648202319.241702,175916,0.0
1648202347.922452,176016,0.0
1648203320.451915,179265,0.0
1648203598.3267667,180173,0.0
1648203614.373124,180228,0.0
1648203732.486283,180622,0.0
1648203823.811634,180936,0.0
1648203979.636522,181439,0.0
1648204364.342346,182714,0.0
1648204429.017394,182939,0.0
1648204504.782549,183203,0.0
1648204758.278758,184048,0.0
1648204927.074694,184601,0.0
1648205106.007121,185210,0.0
1648205206.229716,185556,0.0
1648205486.743803,186506,0.0
1648205518.241934,186608,0.0
1648205854.481991,187660,0.0
1648205919.9551423,187886,0.0
1648205981.346361,188084,0.0
1648206014.221347,188192,0.0
1648206743.040632,190608,0.0
1648207059.976507,191657,0.0
1648207275.540493,192336,0.0
1648207342.518084,192562,0.0
1648207535.799,193170,0.0
1648207659.191043,193575,0.0
1648207673.073831,193617,0.0
1648207816.574117,194083,0.0
1648207931.678007,194463,0.0
1648208033.294625,194798,0.0
1648208046.617877,194841,0.0
1648208172.191738,195262,0.0
1648208194.486917,195338,0.0
1648208285.940316,195654,0.0
1648208686.882514,196921,0.0
1648208882.371589,197551,0.0
1648208929.459882,197707,0.0
1648209099.487119,198260,0.0
1648209237.937897,198707,0.0
1648209989.9720867,201182,0.0
1648210085.41342,201496,0.0
1648210113.097651,201539,0.0
1648210554.620649,203005,0.0
1648210575.930615,203077,0.0
1648210612.708448,203199,0.0
1648210696.358307,203485,0.0
1648210761.709959,203705,0.0
1648210869.791396,204047,0.0
1648211142.996432,204981,0.0
1648211501.92325,206191,0.0
1648211759.045578,207020,0.0
1648211839.166353,207292,0.0
1648212181.331227,208457,0.0
1648212296.476793,208861,0.0
1648212392.775354,209189,0.0
1648213333.8295,212295,0.0
1648213682.117365,213451,0.0
1648214005.899442,214298,0.0
1648214043.089506,214424,0.0
1648214201.302165,214960,0.0
1648215036.855176,217639,0.0
1648215189.249269,218157,1.0
1648215239.664527,218339,0.0
1648215510.970927,219262,0.0
1648215519.155338,219290,0.0
1648215996.967122,220901,0.0
1648216366.982926,222063,0.0
1648216511.150105,222416,0.0
1648216721.7104309,222752,0.0
1648216861.4549,222952,0.0
1648216953.004794,223079,0.0
1648216981.386382,223118,0.0
1648217417.592145,223778,0.0
1648217434.61152,223806,0.0
1648217541.627681,223972,0.0
1648217633.754253,224122,0.0
1648217781.783214,224381,0.0
1648217798.868851,224415,0.0
1648217851.1347,224516,0.0
1648217964.066478,224727,0.0
1648218162.342594,225362,0.0
1648218203.384575,225507,0.0
1648218305.227121,225825,0.0
1648218591.479005,226813,0.0
1648219687.602966,230513,0.0
1648219694.236947,230536,0.0
1648220136.367388,232030,0.0
1648220156.68748,232106,0.0
1648220446.701565,233131,0.0
1648220651.534911,233583,0.0
1648220953.0346,234110,0.0
1648220995.742483,234185,0.0
1648221366.248103,234826,0.0
1648221860.567368,235771,0.0
1648221878.096808,235822,0.0
1648222323.805005,236882,0.0
1648223218.786991,238753,0.0
1648223252.965833,238871,0.0
1648223595.849732,239977,0.0
1648223638.236493,240093,0.0
1648223808.658086,240616,0.0
1648224475.711322,242727,0.0
1648224686.112744,243385,0.0
1648224763.705861,243623,0.0
1648224790.314952,243709,0.0
1648225067.039746,244607,0.0
1648225392.181392,245581,0.0
1648225661.405191,246443,0.0
1648225668.634675,246468,0.0
1648225895.942319,247192,0.0
1648225973.078133,247346,0.0
1648226269.445578,247947,0.0
1648226326.231162,248075,0.0
1648226460.820082,248373,0.0
1648226618.143138,248710,0.0
1648227021.819786,249597,0.0
1648227140.43216,250015,0.0
1648227155.074327,250065,0.0
1648227708.094117,251458,0.0
1648227835.792099,251728,0.0
1648227913.465698,251905,0.0
1648227945.591096,251978,0.0
1648228083.950358,252370,0.0
1648228118.019639,252471,0.0
1648228288.337223,253035,0.0
1648228387.380876,253379,0.0
1648228414.325028,253475,0.0
1648228964.294703,255284,0.0
1648229063.866002,255600,1.0
1648229098.215246,255721,0.0
1648229179.000787,256006,0.0
1648229569.112971,257330,0.0
1648229712.226305,257766,0.0
1648229773.205285,257962,0.0
1648230350.753881,259769,0.0
1648230381.465542,259860,0.0
1648230501.629152,260201,0.0
1648230761.12444,261009,0.0
1648231031.8796387,261863,0.0
1648231111.497141,262095,0.0
1648231397.782982,262929,0.0
1648231523.709321,263309,0.0
1648231829.894189,264180,0.0
1648232335.386515,265601,0.0
1648232382.145786,265740,0.0
1648232942.196962,267243,0.0
1648233651.877427,269329,0.0
1648233683.526679,269421,0.0
1648234054.163317,270438,0.0
1648234440.270916,271525,0.0
1648235649.2328398,274979,0.0
1648235864.215428,275560,0.0
1648236106.548051,276298,0.0
1648236361.018617,277089,0.0
1648236733.594808,278172,0.0
1648237339.680531,280018,0.0
1648237636.818189,280900,0.0
1648238064.866907,282175,0.0
1648238148.655812,282454,0.0
1648239115.920705,285296,0.0
1648239133.47274,285350,0.0
1648239294.291851,285793,0.0
1648240342.499689,288898,1.0
1648240404.105101,289080,0.0
1648240593.09859,289593,1.0
1648241094.7889512,291038,0.0
1648241243.902067,291508,0.0
1648241370.705825,291905,0.0
1648241569.053649,292501,0.0
1648243746.066456,299098,1.0
1648244295.791792,300731,0.0
1648244301.720814,300749,0.0
1648244448.864967,301209,0.0
1648244725.665731,302055,0.0
1648244797.950355,302258,0.0
1648244805.196084,302279,0.0
1648244915.697431,302615,1.0
1648244953.97962,302746,0.0
1648245101.205522,303194,0.0
1648245122.643019,303273,0.0
1648245260.32435,303727,0.0
1648245530.235366,304412,0.0
1648245678.679729,304937,0.0
1648245735.908775,305130,1.0
1648245756.236945,305175,0.0
1648245781.369991,305245,1.0
1648245925.531803,305716,0.0
1648246056.646803,306093,1.0
1648246730.128308,308113,0.0
1648247633.076114,310794,0.0
1648248090.585314,312175,0.0
1648248159.171593,312372,0.0
1648248390.412726,313055,0.0
1648248410.245122,313126,0.0
1648248592.572264,313680,0.0
1648248750.113932,314165,0.0
1648248763.751358,314187,1.0
1648248966.513184,314776,0.0
1648249292.357396,315844,0.0
1648249299.833438,315870,0.0
1648249487.724507,316409,0.0
1648249604.999444,316772,1.0
1648249783.573607,317301,0.0
1648249818.972095,317404,1.0
1648249863.482278,317546,1.0
1648249870.862352,317571,0.0
1648249945.969451,317765,0.0
1648249971.199424,317848,0.0
1648250221.844318,318656,0.0
1648250410.897945,319173,0.0
1648250706.477322,320093,0.0
1648250942.425871,320754,1.0
1648251459.382606,322164,0.0
1648251635.674541,322736,0.0
1648251653.308873,322782,0.0
1648251840.206965,323301,1.0
1648252683.442587,325752,0.0
1648252865.837706,326324,0.0
1648254234.164563,330148,0.0
1648254893.9279563,332063,1.0
1648255112.427197,332766,0.0
1648255666.350058,334336,1.0
1648256026.263624,335357,0.0
1648256485.866678,336610,1.0
1648256546.219383,336746,0.0
1648256632.540364,337002,0.0
1648256639.507081,337027,0.0
1648256874.859668,337714,0.0
1648256995.36548,338039,1.0
1648257164.097011,338522,1.0
1648257185.571258,338594,0.0
1648257230.113955,338734,0.0
1648257471.835401,339427,1.0
1648257623.308316,339880,1.0
1648257790.469641,340351,0.0
1648258247.79548,341704,0.0
1648258460.676097,342347,0.0
1648258710.527477,343086,0.0
1648259099.741693,344167,0.0
1648259248.539537,344609,1.0
1648259307.4888,344782,1.0
1648259438.166669,345145,0.0
1648259690.674913,345855,0.0
1648259851.71033,346345,0.0
1648259964.992099,346658,0.0
1648260251.538874,347487,1.0
1648260451.7982793,348031,1.0
1648260925.359855,349414,0.0
1648261455.066539,350991,0.0
1648261656.4661403,351566,1.0
1648262287.812771,353511,1.0
1648262314.160855,353581,0.0
1648262485.665131,354054,0.0
1648263053.422776,355651,0.0
1648263304.511477,356323,0.0
1648263409.679032,356575,1.0
1648263638.33314,357265,0.0
1648263858.336196,357957,0.0
1648264219.852017,358966,1.0
1648264508.344356,359791,1.0
1648264883.8457322,360943,0.0
1648264961.794288,361167,1.0
1648265605.616375,362995,0.0
1648265689.462833,363208,1.0
1648266335.627234,365115,1.0
1648266948.289049,366892,0.0
1648267044.514949,367153,0.0
1648267176.571592,367499,1.0
1648267313.963272,367957,0.0
1648267929.442349,369790,0.0
1648267989.486635,369984,0.0
1648268472.244631,371370,0.0
1648268609.233307,371755,0.0
1648269139.678141,373273,1.0
1648269942.391702,375574,0.0
1648270575.81033,377343,1.0
1648270601.434053,377431,0.0
1648270738.258329,377824,0.0
1648270844.57533,378145,0.0
1648270991.152661,378549,1.0
1648271527.033612,379931,1.0
1648271813.632753,380852,0.0
1648271955.893634,381256,0.0
1648271973.93712,381309,0.0
1648272122.359064,381743,1.0
1648272276.348033,382228,0.0
1648272593.587449,383187,0.0
1648272878.906969,383991,1.0
1648273428.139856,385595,1.0
1648273510.83455,385844,0.0
1648273527.282778,385895,1.0
1648273779.616899,386538,1.0
1648274053.852243,387325,1.0
1648274102.593361,387456,1.0
1648274467.816228,388480,1.0
1648274724.014299,389147,1.0
1648275250.953553,390622,0.0
1648275319.388141,390829,0.0
1648275369.3159978,390993,0.0
1648276750.4107583,394880,0.0
1648277009.671739,395648,0.0
1648277264.576091,396323,1.0
1648277298.622235,396429,1.0
1648278127.077432,398668,1.0
1648278452.877835,399539,1.0
1648279412.3776078,402253,1.0
1648279507.6017568,402512,0.0
1648279716.624658,403054,0.0
1648280010.480819,403863,1.0
1648280034.418254,403936,1.0
1648280419.133334,405031,0.0
1648280483.7919402,405211,1.0
1648280919.11233,406470,1.0
1648281005.23896,406684,1.0
1648281549.796529,408296,1.0
1648281815.228275,409069,0.0
1648281934.089545,409407,1.0
1648282010.995613,409629,1.0
1648282582.180966,411274,0.0
1648282808.779817,411935,1.0
1648283125.288508,412777,1.0
1648283851.186642,414853,0.0
1648284170.153563,415702,1.0
1648285118.517953,418354,1.0
1648285170.529206,418501,0.0
1648285305.42639,418848,1.0
1648285395.421865,419095,1.0
1648286267.4143267,421548,1.0
1648286329.045986,421755,0.0
1648287106.296653,423911,0.0
1648287474.828577,424987,1.0
1648287619.694779,425411,1.0
1648288383.405996,427510,1.0
1648288763.529122,428620,1.0
1648289699.754067,431286,0.0
1648290306.215867,432935,1.0
1648290347.765548,433060,1.0
1648291051.242282,435098,0.0
1648291449.705411,436307,0.0
1648291756.071127,437228,0.0
1648292051.817549,438050,1.0
1648292638.969859,439753,0.0
1648293182.661981,441282,0.0
1648293965.492106,443729,1.0
1648294087.858655,444117,1.0
1648294515.531904,445374,1.0
1648294563.414179,445475,1.0
1648295058.568811,446945,1.0
1648295182.384043,447312,0.0
1648295199.1145287,447377,0.0
1648295317.179374,447634,1.0
1648295577.149714,448409,1.0
1648296251.564181,450344,0.0
1648296526.9369578,451091,1.0
1648297228.658207,453069,1.0
1648297492.649819,453850,1.0
1648297824.9769087,454823,1.0
1648298004.071328,455371,0.0
1648299010.335846,458254,0.0
1648300476.419634,462472,0.0
1648300534.173982,462624,1.0
1648300708.495885,463074,1.0
1648301453.332174,465191,1.0
1648301531.038717,465401,1.0
1648301859.422143,466267,1.0
1648302186.209402,467196,1.0
1648302485.226905,468104,1.0
1648302607.285239,468430,1.0
1648303141.485782,469977,0.0
1648303304.746672,470499,0.0
1648303670.806699,471550,0.0
1648304511.2568,473815,0.0
1648304623.045716,474148,1.0
1648304990.059135,475195,0.0
1648305046.845849,475328,1.0
1648305171.8651383,475699,1.0
1648305340.873672,476162,1.0
1648305486.87086,476562,0.0
1648305686.889757,477127,0.0
1648305825.473919,477507,1.0
1648306470.166001,479142,1.0
1648307196.166771,481186,1.0
1648307263.393366,481325,1.0
1648307353.586268,481569,1.0
1648307570.159388,482196,0.0
1648308298.638171,484285,1.0
1648308942.097985,486083,1.0
1648310079.390764,489332,1.0
1648310632.174593,490918,1.0
1648310645.930003,490960,1.0
1648311061.721994,492102,1.0
1648311782.424577,494217,1.0
1648311883.764277,494504,0.0
1648312436.993127,496167,0.0
1648312684.193507,496832,0.0
1648313061.268452,497939,1.0
1648313328.680541,498684,0.0
1648314150.154002,500933,1.0
1648314702.818476,502479,1.0
1648315963.4097793,505696,1.0
1648317700.448604,510256,0.0
1648318206.614065,511560,1.0
1648319036.534719,513669,0.0
1648319365.276857,514544,1.0
1648319571.94606,515107,0.0
1648320737.974523,518180,1.0
1648320752.862457,518227,0.0
1648320831.039533,518403,1.0
1648320965.045303,518743,0.0
1648321026.978477,518928,0.0
1648321190.380027,519381,1.0
1648321639.384252,520481,1.0
1648321856.468789,521021,1.0
1648322308.422822,522108,1.0
1648322334.529528,522171,1.0
1648322351.429798,522213,1.0
1648323015.976906,523848,1.0
1648323131.977712,524146,0.0
1648324068.461991,526557,1.0
1648324261.151586,527140,0.0
1648324725.248272,528268,0.0
1648325502.424088,530260,1.0
1648325982.88382,531488,1.0
1648326522.475712,532891,0.0
1648326724.297362,533382,1.0
1648326921.372697,533916,1.0
1648326969.223566,534034,1.0
1648327597.903467,535679,0.0
1648329331.383824,540162,1.0
1648329446.1775901,540474,0.0
1648329842.118922,541414,1.0
1648330135.635079,542172,0.0
1648330882.062859,544078,0.0
1648330985.50664,544363,1.0
1648331528.898819,545888,0.0
1648331538.806945,545925,0.0
1648332112.174935,547520,1.0
1648333120.047692,550192,1.0
1648333889.673533,552179,1.0
1648334024.873117,552558,1.0
1648334247.41215,553122,1.0
1648334326.598806,553340,0.0
1648334433.671088,553632,1.0
1648334445.736117,553659,1.0
1648334850.082626,554724,1.0
1648335195.766406,555624,0.0
1648335228.078511,555730,0.0
1648335258.562109,555807,1.0
1648335652.157051,556789,1.0
1648335767.2449942,557109,0.0
1648335799.847318,557182,1.0
1648335904.208718,557459,1.0
1648336211.488752,558205,1.0
1648336515.856177,559021,1.0
1648336963.783485,560199,1.0
1648337216.4389613,560940,1.0
1648337339.370827,561290,0.0
1648337552.3031673,561833,1.0
1648338185.7385302,563481,1.0
1648338513.727417,564431,1.0
1648338660.945895,564864,0.0
1648338963.677541,565629,1.0
1648339097.706783,565971,1.0
1648339538.92879,567256,0.0
1648339635.250705,567480,1.0
1648340542.359968,570046,0.0
1648340928.931542,571031,1.0
1648341133.012377,571559,1.0
1648341186.0040011,571734,1.0
1648341406.229602,572341,1.0
1648342004.33738,573920,0.0
1648342049.503611,574028,1.0
1648342209.402957,574425,1.0
1648342340.436661,574833,1.0
1648342397.874195,574973,1.0
1648342982.771686,576523,1.0
1648343447.963294,577783,1.0
1648344049.172114,579337,1.0
1648344198.374646,579687,0.0
1648345082.68915,582004,1.0
1648345818.060349,583937,0.0
1648346059.914275,584579,1.0
1648346978.562133,586882,1.0
1648347282.411402,587706,1.0
1648347640.436959,588556,1.0
1648349068.117757,592374,0.0
1648349471.59185,593404,0.0
1648349633.610364,593830,1.0
1648351796.092528,599640,1.0
1648352081.0003,600437,1.0
1648352401.056233,601292,1.0
1648352447.327295,601408,1.0
1648353477.031984,604104,1.0
1648354293.734634,606258,1.0
1648354658.620506,607234,1.0
1648355510.292759,609525,1.0
1648355798.66212,610306,1.0
1648356040.042797,610914,1.0
1648356055.512271,610956,1.0
1648356450.768783,611987,1.0
1648357598.796041,615141,1.0
1648358126.768561,616605,1.0
1648358375.953074,617215,0.0
1648358549.652345,617668,1.0
