Wall time,Step,Value
1648151790.479628,1,0.0
1648151790.5552,3,0.0
1648151878.4691288,466,-162.39999389648438
1648152171.152939,1769,34.400001525878906
1648152494.297096,3305,-181.60000610351562
1648153187.600802,6486,-198.0
1648153364.149685,7283,-207.1999969482422
1648153533.812364,8020,-85.80000305175781
1648153649.828986,8550,-112.19999694824219
1648153698.621637,8755,-167.8000030517578
1648153794.776775,9219,-7.800000190734863
1648154150.554793,10987,-44.79999923706055
1648154244.593566,11438,-159.8000030517578
1648154473.43344,12561,-46.599998474121094
1648154708.098417,13588,-192.0
1648154889.64337,14386,-209.60000610351562
1648155496.920935,16970,-79.4000015258789
1648155561.539396,17262,-42.0
1648156394.141358,20841,-2.0
1648156448.310112,21053,-192.39999389648438
1648156633.332499,21863,-129.8000030517578
1648156964.465377,23334,-129.60000610351562
1648157071.208762,23803,-96.0
1648157552.258901,25996,-85.19999694824219
1648157708.447261,26715,-97.4000015258789
1648157873.9802313,27447,-108.4000015258789
1648157976.962857,27929,-109.19999694824219
1648158300.370711,29396,-78.19999694824219
1648158538.609028,30460,-180.0
1648158588.086893,30681,-73.80000305175781
1648158643.236042,30907,-152.8000030517578
1648158788.245187,31585,-191.1999969482422
1648158912.079268,32136,-99.5999984741211
1648159206.522011,33473,-13.399999618530273
1648159257.862289,33705,-196.39999389648438
1648159825.128022,36268,-209.60000610351562
1648159936.542311,36784,-202.0
1648160128.950267,37691,115.0
1648161341.862963,43178,-144.0
1648161689.372177,44787,-194.0
1648161743.412367,45040,-73.0
1648161803.668121,45318,-132.0
1648161866.87446,45606,-122.0
1648162104.359798,46684,-93.5999984741211
1648162150.63326,46898,-116.4000015258789
1648162311.965249,47598,-195.1999969482422
1648162374.4978,47887,-5.0
1648162601.946117,48892,-79.4000015258789
1648162814.557795,49845,15.600000381469727
1648163361.156547,52279,-133.60000610351562
1648163456.744302,52717,-155.1999969482422
1648163694.870554,53769,52.400001525878906
1648163868.623688,54516,45.20000076293945
1648164790.34948,58675,-182.60000610351562
1648164839.1239161,58894,-193.8000030517578
1648165422.867404,61472,-31.0
1648165473.425203,61698,-84.0
1648165593.899103,62215,-163.60000610351562
1648165887.956355,63476,-107.5999984741211
1648166054.613821,64219,-58.79999923706055
1648166157.474573,64652,-83.5999984741211
1648166205.0877178,64871,-142.60000610351562
1648166325.935068,65431,-17.200000762939453
1648166387.656058,65688,-36.599998474121094
1648166680.9378712,66984,74.19999694824219
1648166797.843724,67509,-199.1999969482422
1648167383.527129,70132,-36.20000076293945
1648167841.009711,72153,-76.5999984741211
1648167884.938023,72355,-30.399999618530273
1648168061.668644,73158,-14.399999618530273
1648168235.765604,73930,-153.39999389648438
1648168289.88944,74188,-130.0
1648168743.954343,76217,-87.4000015258789
1648168854.625573,76712,-161.8000030517578
1648169326.480303,78742,-39.400001525878906
1648169548.21757,79692,-44.400001525878906
1648169660.081975,80220,209.8000030517578
1648169762.5467288,80695,71.19999694824219
1648169826.221049,80963,43.20000076293945
1648169944.8279543,81504,-15.600000381469727
1648170003.202387,81766,-10.0
1648170131.250182,82309,-13.399999618530273
1648170242.509535,82828,-101.5999984741211
1648170304.8613157,83112,-182.39999389648438
1648170374.834116,83406,-48.400001525878906
1648170607.313901,84453,-74.0
1648170769.943066,85177,-123.19999694824219
1648171245.942372,87282,-98.19999694824219
1648171294.960442,87508,-104.0
1648171418.960118,88086,-55.400001525878906
1648171635.292068,89029,50.0
1648171925.331032,90334,-199.60000610351562
1648172223.817054,91703,44.400001525878906
1648172280.733105,91969,62.79999923706055
1648172575.5370848,93282,-72.4000015258789
1648172625.622407,93511,-127.4000015258789
1648172859.882928,94532,-15.199999809265137
1648172908.172738,94743,-42.0
1648173005.096653,95153,-190.0
1648173184.753189,95912,5.400000095367432
1648173390.648108,96779,-157.60000610351562
1648173522.695496,97322,72.80000305175781
1648174190.012936,100156,-87.5999984741211
1648174257.194978,100424,16.200000762939453
1648174372.050324,100936,-44.400001525878906
1648174596.093792,101929,43.20000076293945
1648174759.742935,102650,-129.8000030517578
1648175619.219783,106449,-194.60000610351562
1648175841.204768,107383,60.0
1648175889.9042351,107604,-114.5999984741211
1648175947.780347,107862,-106.4000015258789
1648176931.070933,112009,16.0
1648176984.204237,112272,-15.399999618530273
1648177324.109131,113751,60.0
1648178084.4223151,116852,110.5999984741211
1648178916.890135,120206,-202.1999969482422
1648179473.119038,122536,-168.0
1648179510.601963,122680,116.19999694824219
1648179682.2331283,123385,-27.600000381469727
1648179909.721626,124332,139.1999969482422
1648180023.739824,124782,-62.599998474121094
1648180423.522632,126360,-51.400001525878906
1648181122.473335,129061,81.80000305175781
1648181658.625975,131105,45.20000076293945
1648181763.835407,131503,-34.400001525878906
1648181816.463162,131705,-5.599999904632568
1648181876.104748,131937,87.5999984741211
1648182013.175656,132467,-199.1999969482422
1648182290.891613,133525,-54.79999923706055
1648182788.995311,135503,-132.39999389648438
1648183150.765547,136881,-6.0
1648183581.298223,138441,123.5999984741211
1648184060.127981,140151,34.79999923706055
1648184390.513657,141341,39.0
1648184529.7926238,141844,155.0
1648185186.127138,144188,-37.400001525878906
1648185758.75624,146196,-33.599998474121094
1648186472.303731,148786,-88.0
1648186759.597189,149785,-25.799999237060547
1648186881.6449122,150190,-26.200000762939453
1648187036.980781,150734,-55.20000076293945
1648187272.50945,151557,42.400001525878906
1648187467.15356,152244,-171.39999389648438
1648187960.330286,154000,-32.79999923706055
1648188976.800996,157526,-26.600000381469727
1648189528.270871,159507,-5.199999809265137
1648189601.231282,159773,-104.80000305175781
1648190212.035135,161887,53.400001525878906
1648190555.275992,163096,-0.4000000059604645
1648190641.382803,163394,-75.19999694824219
1648190891.60185,164259,-13.0
