Wall time,Step,Value
1649539712.148329,539,0.0
1649539942.189356,1901,0.0
1649540092.405314,2350,0.0
1649540192.844807,2603,0.0
1649540284.347128,2873,0.0
1649540287.140175,2881,0.0
1649541158.038878,5376,0.0
1649541575.636709,6586,0.0
1649542653.684128,9646,0.0
1649542816.174012,10122,0.0
1649543004.379369,10682,0.0
1649543796.1369307,12942,0.0
1649544265.399559,14277,0.0
1649544629.801937,15315,0.0
1649545351.246384,17372,0.0
1649546370.842423,20326,0.0
1649547298.839495,23026,0.0
1649547752.534566,24332,0.0
1649548030.506207,25101,0.0
1649548443.139817,26272,0.0
1649548626.13502,26831,0.0
1649549109.2888849,28219,0.0
1649549275.307969,28669,0.0
1649549535.703719,29449,0.0
1649550126.231792,31124,0.0
1649550655.624656,32657,0.0
1649550728.227456,32875,0.0
1649550824.217017,33114,0.0
1649550891.883546,33330,0.0
1649552602.52779,38251,0.0
1649552833.938799,38934,0.0
1649552926.344063,39224,0.0
1649553094.953614,39669,0.0
1649553180.59176,39923,0.0
1649553343.204284,40411,0.0
1649553423.0204043,40613,0.0
1649554935.660242,44988,0.0
1649555111.531672,45477,0.0
1649555957.245107,47921,0.0
1649556900.471828,50655,0.0
1649557071.118102,51173,0.0
1649557147.563256,51401,0.0
1649557648.214166,52807,0.0
1649558306.00706,54822,0.0
1649558551.629993,55627,0.38821327686309814
1649559257.566575,58022,0.0
1649559908.249518,60279,0.0
1649560126.66602,61001,0.0
1649560461.62573,62126,0.0
1649560765.079239,63155,0.0
1649561348.935911,65138,0.0
1649561494.421692,65605,0.0
1649562442.255239,68839,0.0
1649562815.475761,70083,0.0
1649563531.6234298,72483,0.0
1649563954.627767,73895,0.0
1649564110.890183,74407,0.0
1649564320.965107,75133,0.0
1649564621.324524,76135,0.0
1649565135.591571,77849,0.0
1649565626.981308,79519,0.0
1649566330.407932,81856,0.0
1649566382.728141,82056,0.0
1649567140.027223,84589,0.0
1649567289.5334988,85062,0.0764525979757309
1649567373.021516,85355,0.0
1649567530.995976,85903,0.0
1649567612.43717,86141,0.0
1649568152.456302,87979,0.0
1649568315.732252,88515,0.0
1649568675.600871,89749,0.1480730175971985
1649568887.775623,90491,0.0
1649569253.882907,91711,0.0
1649569784.4984,93462,0.0
1649569791.765721,93487,0.0
1649569993.795656,94203,0.0
1649570144.442653,94683,0.0
1649570350.786244,95383,0.0
1649570952.91453,97360,0.0
1649571021.270388,97587,0.0
1649571085.633297,97802,0.0
1649571226.572766,98238,0.5331355333328247
1649572045.704355,101012,0.4118098020553589
1649572428.214219,102289,0.0
1649572599.2903,102830,0.0
1649573389.032359,105495,0.0
1649573458.767819,105732,0.0
1649573661.556636,106391,0.0
1649573817.982574,106938,0.0
1649574300.716737,108537,0.0
1649574526.806037,109272,0.0
1649575173.797983,111456,0.0
1649575481.305418,112470,0.0
1649575561.414627,112749,0.0
1649576011.116176,114265,0.0
1649576181.465966,114794,0.0
1649576838.168851,116982,0.0
1649577425.577747,118989,0.0
1649577502.570767,119255,0.0
1649577720.9922152,119959,0.0
1649578940.751725,124038,0.0
1649579246.404994,125062,0.0
1649579311.992741,125296,0.0
1649579458.191957,125756,0.0
1649579669.748392,126459,0.2737327218055725
1649579829.715439,127023,0.0
1649580429.560061,129030,0.0
1649581018.682118,131016,0.0
1649581374.9845812,132244,0.0
1649581519.147492,132748,0.0
1649582215.868654,135100,0.0
1649582441.644137,135859,0.0
1649582681.06666,136654,0.43264660239219666
1649582822.448855,137137,0.0
1649583492.17132,139404,0.0
1649583773.329539,140372,0.36078253388404846
1649583786.417061,140418,0.0
1649584444.654553,142640,0.0
1649584526.011519,142925,0.0
1649584658.353636,143358,0.0
1649584862.929992,144080,0.0
1649585670.100141,146804,0.3947681188583374
1649585820.332427,147318,0.0
1649585982.74183,147853,0.33848533034324646
1649586063.122138,148138,0.0
1649586191.924581,148603,0.0
1649586376.403051,149157,0.0
1649586620.320696,150013,0.0
1649588349.461681,155929,0.0
1649589028.513805,158249,0.0
1649589128.936223,158554,0.0
1649589371.538692,159369,0.0
1649589371.83922,159370,0.0
1649589644.681458,160292,0.15765352547168732
1649590027.040495,161579,0.0
1649590319.455116,162558,0.0
1649591091.279943,165165,0.0
1649591736.492231,167310,0.0
1649592016.476683,168237,0.0
1649592310.750038,169246,0.5012804269790649
1649592460.91484,169768,0.0
1649593114.558975,171967,0.0
1649593279.671512,172550,0.0
1649593364.085221,172794,0.0
1649593959.029505,174850,0.0
1649594027.679625,175096,0.0
1649594087.588589,175302,0.0
1649594563.120418,176916,0.0
1649594984.088251,178355,0.0
1649595426.439968,179870,0.0
1649595787.233682,181094,0.0
1649596823.231708,184579,0.0
1649597029.75989,185321,0.0
1649597183.776021,185832,0.0
1649597330.572307,186343,0.0
1649597406.751916,186603,0.0
1649597896.339305,188228,0.06785714626312256
1649597972.540438,188495,0.0
1649598496.367528,190262,0.0
1649598677.439146,190846,0.0
1649598756.412719,191129,0.0
1649599008.179412,191969,0.0
1649599078.460606,192214,0.0
1649599369.044309,193167,0.0
1649599434.818196,193396,0.0
1649599517.354453,193623,0.0
1649599825.202655,194697,0.0
1649600292.0977302,196229,0.0
1649600359.797928,196458,0.0
1649600669.933531,197494,0.0
1649600810.633828,197979,0.0
1649601108.3765976,198964,0.0
1649601597.544387,200618,0.0
1649602001.447658,201942,0.0
1649602293.9098587,202959,0.0
1649602373.861791,203201,0.0
1649602524.257157,203728,0.0
1649602589.422076,203954,0.0
1649602589.713432,203955,0.0
1649603020.27465,205366,0.0
1649604167.8212087,209278,0.0
1649604399.902132,210058,0.0
1649604481.749628,210337,0.0
1649604784.311111,211370,0.0
1649605131.610726,212757,0.0
1649605358.614507,213831,0.0
1649605477.988061,214335,0.6489262580871582
1649605855.697472,216048,0.0
1649605916.020014,216276,0.0
1649606062.507246,216979,0.0
1649606319.141879,218145,0.0
1649606344.393063,218262,0.0
1649606409.029343,218519,0.0
1649606881.631788,220650,0.0
1649607003.702145,221177,0.0
1649607055.462721,221416,0.0
1649607112.506179,221693,0.0
1649607511.447641,223467,0.0
1649607604.010683,223901,0.5142180323600769
1649607893.930573,225205,0.5420560836791992
1649608009.266217,225699,0.0
1649608248.819474,226770,0.0
1649608298.187597,226999,0.5769230723381042
1649608356.33282,227226,0.0
1649608463.732593,227727,0.0
1649608721.185078,228893,0.0
1649608782.084346,229175,0.0
1649608901.507159,229681,0.0
1649609585.898021,232790,0.0
1649609591.610873,232791,0.0
1649609832.683517,233884,0.0
1649610078.976989,235014,0.0
1649610121.21561,235210,0.3153564929962158
1649610164.2136772,235408,0.28438082337379456
1649610476.625918,236772,0.0
1649610655.959841,237566,0.0
1649610885.801531,238597,0.09963099658489227
1649611043.601721,239302,0.0
1649611412.721324,240942,0.0
1649611540.307962,241481,0.0
1649611714.446969,242301,0.0
1649611880.032809,243032,0.0
1649612256.801251,244698,0.0
1649612484.8079233,245718,0.541074275970459
1649612814.691961,247198,0.0
1649612816.65598,247207,0.0
1649612823.992361,247209,0.0
1649612868.188907,247413,0.0
1649612920.443896,247654,0.39779767394065857
1649613347.242339,249542,0.0
1649613468.722367,250112,0.0
1649613715.918459,251203,0.0
1649614404.541784,254306,0.0
1649614451.322807,254522,0.0
1649614631.997692,255317,0.0
1649614632.2239842,255318,0.0
1649615136.198591,257581,0.34102243185043335
1649615266.703624,258137,0.0
1649615547.188333,259418,0.0
1649615811.085306,260590,0.0
1649615908.981594,261048,0.0
1649616073.794507,261769,0.3580131232738495
1649616323.735356,262885,0.0
1649616503.869579,263677,0.0
1649616664.247499,264397,0.0
1649616819.091459,265122,0.0
1649616875.298194,265343,0.4101910889148712
1649617752.203308,269229,0.0
1649618024.577604,270447,0.0
1649618132.561415,270953,0.44703391194343567
1649618190.300257,271219,0.0
1649618486.653049,272558,0.0
1649618651.1814332,273278,0.0
