Wall time,Step,Value
1648147315.364023,793,0.0
1648147326.262946,1029,0.0
1648147356.262725,1331,0.0
1648147683.593416,2760,0.0
1648147877.209644,3580,0.0
1648147988.124625,4076,0.0
1648148104.295305,4601,0.0
1648148224.277576,5150,0.0
1648148346.561089,5706,0.0
1648148539.798098,6433,0.0
1648148698.0466633,7161,0.0
1648149132.468457,9136,0.0
1648149173.361312,9320,0.0
1648149353.133431,10123,0.0
1648150335.380075,14415,0.0
1648150485.311554,15073,0.0
1648151222.289263,17857,0.0
1648151327.063026,18187,0.0
1648151638.368211,19064,0.0
1648152248.745594,21001,0.0
1648152257.054596,21022,0.0
1648153335.113573,24513,0.0
1648154329.247941,27682,0.0
1648154540.298068,28389,0.0
1648154708.793113,28958,0.0
1648154800.423055,29230,0.0
1648155234.880675,30311,0.0
1648155765.118624,31508,0.0
1648156252.381623,32727,0.0
1648156429.601155,33158,0.0
1648156617.598834,33623,0.0
1648157286.153226,35338,0.0
1648157441.789314,35729,0.0
1648157848.685551,36759,0.0
1648158205.418587,37515,0.0
1648158288.662154,37730,0.0
1648158453.385929,38161,0.0
1648159146.651198,39966,0.0
1648159715.994088,41478,0.0
1648159834.157987,41794,0.0
1648159844.616041,41818,0.0
1648159918.405748,42023,0.0
1648160159.111744,42687,0.0
1648160911.503225,44576,0.0
1648161987.862269,47453,0.0
1648162475.143889,48729,0.0
1648162619.067068,49116,0.0
1648162800.410808,49601,0.0
1648163189.073055,50488,0.0
1648164287.180309,53420,0.0
1648164547.522065,54120,0.0
1648164557.127663,54143,0.0
1648165044.687498,55441,0.0
1648165617.851207,56837,0.0
1648165846.300724,57452,0.0
1648166436.408074,59012,0.0
1648166567.557226,59361,0.0
1648167649.233521,62123,0.0
1648168575.188431,64606,0.0
1648169269.431069,66439,0.0
1648170653.39339,69950,0.0
1648170718.32326,70127,0.0
1648171214.433697,71443,0.0
1648171557.411049,72361,0.0
1648171892.885887,73252,0.0
1648172347.558003,74328,0.0
1648172380.189957,74412,0.0
1648172424.842896,74530,0.0
1648172544.166018,74853,0.0
1648174222.493928,79272,0.0
1648174736.815851,80531,0.0
1648174757.00586,80583,0.0
1648174820.788765,80758,0.0
1648176066.83186,84052,0.0
1648176745.074732,85680,0.0
1648177003.900036,86355,0.0
1648177172.137197,86800,0.0
1648177349.807599,87269,0.0
1648177492.267084,87632,0.0
1648177687.885075,88122,0.0
1648177956.985932,88821,0.0
1648178267.302193,89650,0.0
1648178335.860442,89834,0.0
1648178421.837709,90064,0.0
1648179139.039503,91814,0.0
1648179278.5299373,92184,0.0
1648179318.99306,92295,0.0
1648179361.787959,92407,0.0
1648180221.046067,94660,0.0
1648180474.636857,95346,0.0
1648180534.6140742,95504,0.0
1648181572.781752,98094,0.0
1648181602.778074,98174,0.0
1648181981.732901,99173,0.0
1648182044.136483,99345,0.0
1648182108.44005,99520,0.0
1648182139.85726,99601,0.0
1648182530.579661,100642,0.0
1648182741.542568,101158,0.0
1648182781.30705,101257,0.0
1648183071.337563,101948,0.0
1648183200.79096,102290,0.0
1648183286.075094,102522,0.0
1648183875.822083,104068,0.0
1648183936.450711,104230,0.0
1648185339.298722,107818,0.0
1648185380.33682,107921,0.0
1648185589.82146,108465,0.0
1648185653.834382,108619,0.0
1648185724.168046,108803,0.0
1648185771.253189,108932,0.0
1648186197.981377,110039,0.0
1648186460.561504,110720,0.0
1648186765.823907,111510,0.0
1648187139.934615,112346,0.0
1648187680.4931347,113739,0.0
1648187707.28622,113804,0.0
1648187940.390706,114392,0.0
1648187975.555375,114483,0.0
1648188064.236995,114714,0.0
1648188843.642361,116736,0.0
1648188978.083452,117031,0.0
1648189642.245799,118646,0.0
1648190156.458595,119997,0.0
1648190837.861055,121783,0.0
1648191092.027667,122395,0.0
1648191246.362948,122700,0.0
1648191596.98753,123617,0.0
1648191812.255532,124157,0.0
1648192050.602175,124780,0.0
1648192058.453447,124796,0.0
1648192242.203927,125278,0.0
1648193057.635471,127328,0.0
1648193098.243562,127429,0.0
1648193597.516302,128645,0.0
1648193680.98785,128859,0.0
1648194080.799054,129893,0.0
1648194968.667474,132183,0.0
1648195240.063812,132832,0.0
1648195806.157996,134198,0.0
1648196035.885723,134791,0.0
1648196284.934428,135432,0.0
1648196710.84868,136499,0.0
1648198257.750051,140350,0.0
1648198295.387296,140446,0.0
1648198304.565057,140467,0.0
1648198807.515244,141781,0.0
1648199002.039125,142238,0.0
1648199502.323852,143453,0.0
1648199729.65694,144037,0.0
1648199987.482719,144706,0.0
1648200862.119072,146973,0.0
1648201659.21034,148876,0.0
1648201670.641023,148907,0.0
1648202258.570851,150415,0.0
1648202656.802038,151430,0.0
1648203739.677373,154024,0.0
1648204100.042924,154930,0.0
1648204400.7484758,155685,0.0
1648204590.12637,156168,0.0
1648204890.365662,156881,0.0
1648205655.681243,158744,0.0
1648206069.449141,159803,0.0
1648206152.281143,160009,0.0
1648206364.4288452,160549,0.0
1648207232.6872342,162606,0.0
1648208678.274549,166217,0.0
1648209413.559433,168013,0.0
1648209444.237979,168092,0.0
1648209474.810025,168170,0.0
1648209655.199463,168624,0.0
1648209913.0228,169251,0.0
1648209978.24611,169406,0.0
1648210139.862187,169819,0.0
1648210886.151162,171580,0.0
1648210967.38574,171771,0.0
1648211605.887374,173397,0.0
1648211749.729334,173770,0.0
1648211897.499483,174141,0.0
1648212680.977254,176054,0.0
1648213117.791366,177020,0.0
1648213167.925163,177144,0.0
1648213896.877478,178964,0.0
1648214008.316399,179244,0.0
1648215556.421091,183005,0.0
1648215600.742433,183110,0.0
1648216586.938315,185450,0.0
1648216822.729525,186026,0.0
