Wall time,Step,Value
1649539712.149501,539,0.0
1649539942.190623,1901,0.0
1649540092.406331,2350,0.0
1649540192.848411,2603,0.0
1649540284.348477,2873,0.0
1649540287.140734,2881,1.0
1649541158.041318,5376,0.0
1649541575.637769,6586,1.0
1649542653.686319,9646,0.0
1649542816.174904,10122,0.0
1649543004.38082,10682,0.0
1649543796.137504,12942,0.0
1649544265.400209,14277,0.0
1649544629.80297,15315,0.0
1649545351.248696,17372,0.0
1649546370.844589,20326,0.0
1649547298.8405561,23026,0.0
1649547752.535707,24332,0.0
1649548030.507132,25101,0.0
1649548443.142039,26272,0.0
1649548626.135667,26831,0.0
1649549109.289491,28219,0.0
1649549275.308533,28669,0.0
1649549535.705057,29449,0.0
1649550126.233523,31124,0.0
1649550655.62523,32657,1.0
1649550728.229368,32875,0.0
1649550824.218695,33114,0.0
1649550891.884649,33330,1.0
1649552602.529244,38251,0.0
1649552833.94058,38934,0.0
1649552926.344624,39224,0.0
1649553094.955623,39669,0.0
1649553180.592864,39923,0.0
1649553343.204853,40411,0.0
1649553423.020965,40613,0.0
1649554935.660829,44988,0.0
1649555111.534712,45477,0.0
1649555957.246779,47921,0.0
1649556900.472409,50655,0.0
1649557071.119318,51173,0.0
1649557147.5656111,51401,0.0
1649557648.214747,52807,0.0
1649558306.008285,54822,0.0
1649558551.630668,55627,1.0
1649559257.567132,58022,0.0
1649559908.251777,60279,0.0
1649560126.667174,61001,0.0
1649560461.627015,62126,0.0
1649560765.081228,63155,0.0
1649561348.938191,65138,0.0
1649561494.42226,65605,0.0
1649562442.256975,68839,0.0
1649562815.476316,70083,0.0
1649563531.6245341,72483,0.0
1649563954.628815,73895,0.0
1649564110.891195,74407,0.0
1649564320.9688928,75133,0.0
1649564621.3265827,76135,0.0
1649565135.592115,77849,1.0
1649565626.981869,79519,0.0
1649566330.409207,81856,1.0
1649566382.729106,82056,1.0
1649567140.027925,84589,0.0
1649567289.535461,85062,1.0
1649567373.022666,85355,0.0
1649567530.996967,85903,1.0
1649567612.440666,86141,0.0
1649568152.457734,87979,0.0
1649568315.733672,88515,0.0
1649568675.602603,89749,1.0
1649568887.7769,90491,0.0
1649569253.884386,91711,0.0
1649569784.500501,93462,0.0
1649569791.76826,93487,1.0
1649569993.796212,94203,0.0
1649570144.443489,94683,0.0
1649570350.787688,95383,0.0
1649570952.9160867,97360,0.0
1649571021.271643,97587,0.0
1649571085.634762,97802,0.0
1649571226.57489,98238,1.0
1649572045.705536,101012,1.0
1649572428.215224,102289,0.0
1649572599.292048,102830,1.0
1649573389.033657,105495,1.0
1649573458.768395,105732,0.0
1649573661.558641,106391,0.0
1649573817.983726,106938,0.0
1649574300.717282,108537,1.0
1649574526.80754,109272,0.0
1649575173.799539,111456,0.0
1649575481.305962,112470,0.0
