Wall time,Step,Value
1649641867.435092,281,0.0
1649642199.983127,2261,0.0
1649642829.134872,4419,0.0
1649642900.9325697,4669,0.0
1649644179.1000283,9064,0.0
1649644777.176211,11156,0.0
1649645271.982453,12839,0.0
1649645431.417509,13406,0.0
1649645739.742952,14462,0.0
1649646038.641529,15463,0.0
1649646109.979367,15725,0.0
1649646246.631159,16194,0.0
1649646318.366831,16446,0.0
1649646753.453334,17920,0.0
1649646957.287536,18642,0.0
1649647470.315139,20390,0.0
1649647989.118635,22189,0.0
1649648353.447106,23458,0.0
1649648557.498989,24139,0.0
1649648706.062996,24660,0.0
1649648837.370523,25141,0.0
1649649194.956267,26388,0.0
1649649328.4834838,26813,0.0
1649649408.547873,27098,0.0
1649649568.392413,27677,0.0
1649649761.568608,28321,1.0
1649649981.050736,29070,0.0
1649650050.079645,29312,0.0
1649650130.0069377,29594,0.0
1649651715.344075,35090,0.0
1649651940.248526,35873,0.0
1649652280.235311,37067,0.0
1649652439.192512,37598,1.0
1649652449.539863,37636,1.0
1649652896.440647,39224,0.0
1649653336.766757,40738,0.0
1649653760.767568,42217,1.0
1649654258.900941,43969,0.0
1649654314.74013,44171,0.0
1649654453.488685,44623,0.0
1649654580.836327,45078,0.0
1649655081.914884,46817,0.0
1649655277.147881,47531,0.0
1649655851.318163,49534,0.0
1649656129.52848,50501,0.0
1649656287.860825,51081,0.0
1649656495.779917,51769,0.0
1649656558.123263,52007,0.0
1649656680.89686,52450,0.0
1649656764.480556,52705,0.0
1649656887.486174,53157,0.0
1649657348.709864,54782,0.0
1649657504.338547,55294,0.0
1649657854.911301,56563,0.0
1649658116.899089,57521,0.0
1649658287.771659,58102,0.0
1649658623.379283,59240,0.0
1649658816.330354,59914,0.0
1649658983.028181,60464,0.0
1649659066.235215,60763,0.0
1649659125.905048,60969,0.0
1649659452.904744,62106,0.0
1649659965.154974,63885,0.0
1649660468.621786,65659,0.0
1649660836.982886,66962,1.0
1649661070.044314,67741,0.0
1649661753.43204,70131,0.0
1649662042.125017,71180,0.0
1649662185.210361,71650,0.0
1649662567.828918,72995,0.0
1649662636.431775,73244,0.0
1649662758.935282,73689,0.0
1649663122.42346,74940,0.0
1649663487.09345,76217,1.0
1649663615.476191,76634,0.0
