Wall time,Step,Value
1649539712.150012,539,0.0
1649539942.191322,1901,0.0
1649540092.407016,2350,0.0
1649540192.849474,2603,0.0
1649540284.3490958,2873,0.0
1649540287.140983,2881,0.0
1649541158.042197,5376,0.0
1649541575.638233,6586,0.0
1649542653.687095,9646,0.0
1649542816.175619,10122,0.0
1649543004.381207,10682,0.0
1649543796.137752,12942,0.0
1649544265.400456,14277,0.0
1649544629.803381,15315,0.0
1649545351.249626,17372,0.0
1649546370.845857,20326,0.0
1649547298.840878,23026,0.0
1649547752.536196,24332,0.0
1649548030.507567,25101,0.0
1649548443.142453,26272,0.0
1649548626.136132,26831,0.0
1649549109.289742,28219,0.0
1649549275.308778,28669,0.0
1649549535.705376,29449,0.0
1649550126.234585,31124,0.0
1649550655.625479,32657,0.0
1649550728.229664,32875,0.0
1649550824.219459,33114,0.0
1649550891.884969,33330,0.0
1649552602.530238,38251,0.0
1649552833.941248,38934,0.0
1649552926.344866,39224,0.0
1649553094.956749,39669,0.0
1649553180.593296,39923,0.0
1649553343.205106,40411,0.0
1649553423.021207,40613,0.0
1649554935.661083,44988,0.0
1649555111.535737,45477,0.0
1649555957.247419,47921,0.0
1649556900.472654,50655,0.0
1649557071.119781,51173,0.0
1649557147.566361,51401,0.0
1649557648.214995,52807,0.0
1649558306.008597,54822,0.0
1649558551.630927,55627,0.0
1649559257.56738,58022,0.0
1649559908.25222,60279,0.0
1649560126.667565,61001,0.0
1649560461.6273704,62126,0.0
1649560765.08193,63155,0.0
1649561348.938721,65138,0.0
1649561494.422505,65605,0.0
1649562442.257519,68839,0.0
1649562815.47656,70083,0.0
1649563531.6249018,72483,0.0
1649563954.629581,73895,0.0
1649564110.891667,74407,0.0
1649564320.969488,75133,0.0
1649564621.327341,76135,0.0
1649565135.5923557,77849,0.0
1649565626.982113,79519,0.0
1649566330.409829,81856,0.0
1649566382.729545,82056,0.0
1649567140.028193,84589,0.0
1649567289.535979,85062,0.0
1649567373.023264,85355,0.0
1649567530.997415,85903,0.0
1649567612.441303,86141,0.0
1649568152.458385,87979,0.0
1649568315.734281,88515,0.0
1649568675.603248,89749,0.0
1649568887.77742,90491,0.0
1649569253.884869,91711,0.0
1649569784.501017,93462,0.0
1649569791.7690313,93487,0.0
1649569993.796458,94203,0.0
1649570144.4438038,94683,0.0
1649570350.7882013,95383,0.0
1649570952.9168,97360,0.0
1649571021.27215,97587,0.0
1649571085.6352751,97802,0.0
1649571226.576136,98238,0.0
1649572045.7064111,101012,0.0
1649572428.215547,102289,0.0
1649572599.292373,102830,0.0
1649573389.034013,105495,0.0
1649573458.768649,105732,0.0
1649573661.55916,106391,0.0
1649573817.984142,106938,0.0
1649574300.7175272,108537,0.0
1649574526.808578,109272,0.0
1649575173.8008032,111456,0.0
1649575481.306202,112470,0.0
1649575561.416608,112749,0.0
1649576011.117006,114265,0.0
1649576181.4676642,114794,0.0
1649576838.169853,116982,0.0
1649577425.580792,118989,0.0
1649577502.571976,119255,0.0
1649577720.9937077,119959,0.0
1649578940.75486,124038,0.0
1649579246.406379,125062,0.0
1649579311.99514,125296,0.0
1649579458.194772,125756,0.0
1649579669.7503748,126459,0.0
1649579829.7162318,127023,0.0
1649580429.562041,129030,0.0
1649581018.683563,131016,0.0
1649581374.986382,132244,0.0
1649581519.148291,132748,0.0
1649582215.871876,135100,0.0
1649582441.645656,135859,0.0
1649582681.067546,136654,0.0
1649582822.450399,137137,0.0
1649583492.172751,139404,0.0
1649583773.330314,140372,0.0
1649583786.418593,140418,0.0
1649584444.655908,142640,0.0
1649584526.012326,142925,0.0
1649584658.3544629,143358,0.0
1649584862.931482,144080,0.0
1649585670.100922,146804,0.0
1649585820.335228,147318,0.0
1649585982.742857,147853,0.0
1649586063.1237912,148138,0.0
1649586191.925384,148603,0.0
1649586376.403983,149157,0.0
1649586620.322769,150013,0.0
1649588349.463055,155929,0.0
1649589028.516657,158249,0.0
1649589128.938928,158554,0.0
1649589371.539474,159369,0.0
1649589371.840019,159370,0.0
1649589644.682284,160292,0.0
1649590027.041305,161579,0.0
1649590319.456658,162558,0.0
1649591091.281354,165165,0.0
1649591736.493036,167310,0.0
1649592016.478557,168237,0.0
1649592310.752335,169246,0.0
1649592460.919124,169768,0.0
1649593114.561034,171967,0.0
1649593279.672294,172550,0.0
1649593364.087206,172794,0.0
1649593959.031179,174850,0.0
1649594027.681599,175096,0.0
1649594087.589885,175302,0.0
1649594563.121224,176916,0.0
1649594984.089625,178355,0.0
1649595426.442306,179870,0.0
1649595787.234522,181094,0.0
1649596823.233483,184579,0.0
1649597029.762624,185321,0.0
1649597183.777502,185832,0.0
1649597330.5756752,186343,0.0
1649597406.753052,186603,0.0
1649597896.340798,188228,0.0
1649597972.541263,188495,0.0
1649598496.371063,190262,0.0
1649598677.439935,190846,0.0
1649598756.414071,191129,0.0
1649599008.182345,191969,0.0
1649599078.462882,192214,0.0
1649599369.045704,193167,0.0
1649599434.820742,193396,0.0
1649599517.357531,193623,0.0
1649599825.203907,194697,0.0
1649600292.099066,196229,0.0
1649600359.800129,196458,0.0
1649600669.93776,197494,0.0
1649600810.634638,197979,0.0
1649601108.377375,198964,0.0
1649601597.545542,200618,0.0
1649602001.449339,201942,0.0
1649602293.912261,202959,0.0
1649602373.862626,203201,0.0
1649602524.258657,203728,0.0
1649602589.422921,203954,0.0
1649602589.714216,203955,0.0
1649603020.277028,205366,0.0
1649604167.822021,209278,0.0
1649604399.904112,210058,0.0
1649604481.751978,210337,0.0
1649604784.311922,211370,0.0
1649605131.612507,212757,0.0
1649605358.617051,213831,0.0
1649605477.990643,214335,0.0
1649605855.699845,216048,0.0
1649605916.022581,216276,0.0
1649606062.50806,216979,0.0
1649606319.142696,218145,0.0
1649606344.393852,218262,0.0
1649606409.030166,218519,0.0
1649606881.632597,220650,0.0
1649607003.70296,221177,0.0
1649607055.46475,221416,0.0
1649607112.50697,221693,0.0
1649607511.44843,223467,0.0
1649607604.011457,223901,0.0
1649607893.931368,225205,0.0
1649608009.267927,225699,0.0
1649608248.820807,226770,0.0
1649608298.188384,226999,0.0
1649608356.334264,227226,0.0
1649608463.735344,227727,0.0
1649608721.185886,228893,0.0
1649608782.085159,229175,0.0
1649608901.507953,229681,0.0
1649609585.89882,232790,0.0
1649609591.611672,232791,0.0
1649609832.684313,233884,0.0
1649610078.977799,235014,0.0
1649610121.216391,235210,0.0
1649610164.214641,235408,0.0
1649610476.627247,236772,0.0
1649610655.962042,237566,0.0
1649610885.802325,238597,0.0
1649611043.6025379,239302,0.0
1649611412.722777,240942,0.0
1649611540.308767,241481,0.0
1649611714.447781,242301,0.0
1649611880.03364,243032,0.0
1649612256.802056,244698,0.0
1649612484.809854,245718,0.0
1649612814.694061,247198,0.0
1649612816.658071,247207,0.0
1649612823.994002,247209,0.0
1649612868.190534,247413,0.0
1649612920.444956,247654,0.0
1649613347.244252,249542,0.0
1649613468.7232,250112,0.0
1649613715.919317,251203,0.0
1649614404.542663,254306,0.0
1649614451.324044,254522,0.0
1649614632.000211,255317,0.0
1649614632.224799,255318,0.0
1649615136.199406,257581,0.0
1649615266.705165,258137,0.0
1649615547.189601,259418,0.0
1649615811.086109,260590,0.0
1649615908.982393,261048,0.0
1649616073.795316,261769,0.0
1649616323.736186,262885,0.0
1649616503.871045,263677,0.0
1649616664.250065,264397,0.0
1649616819.092685,265122,0.0
1649616875.299,265343,0.0
1649617752.205059,269229,0.0
1649618024.579009,270447,0.0
1649618132.562197,270953,0.0
1649618190.301083,271219,0.0
1649618486.653853,272558,0.0
1649618651.182786,273278,0.0
1649619525.697821,277225,0.0
1649620223.032391,280313,0.0
1649620463.80532,281385,0.0
1649620626.0959697,282115,0.0
1649620998.843923,283753,0.0
1649621062.365629,284045,0.0
1649621609.212263,286519,0.0
1649621658.936997,286749,0.0
1649621985.289709,288196,0.0
1649622243.934144,289363,0.0
1649622449.515776,290312,0.0
1649622824.188979,291922,0.0
1649623018.714749,292765,0.0
1649623243.401247,293741,0.0
1649623309.304544,294038,0.0
1649623430.844164,294541,0.0
1649623842.730178,296353,0.0
1649623901.985775,296627,0.0
1649624060.277909,297368,0.0
1649624225.224618,298085,0.0
1649624324.005173,298520,0.0
1649624413.532445,298940,0.0
1649624464.455515,299168,0.0
1649624526.3361468,299411,0.0
1649625064.1512582,301828,0.0
1649625175.104029,302339,0.0
1649625432.405866,303508,0.0
1649625538.622985,304008,0.0
1649625640.74869,304431,0.0
