Wall time,Step,Value
1649539712.150735,539,1.0
1649539942.192196,1901,1.0
1649540092.40797,2350,1.0
1649540192.850666,2603,1.0
1649540284.35007,2873,1.0
1649540287.141472,2881,0.010416666977107525
1649541158.043515,5376,1.0
1649541575.639457,6586,0.0038314175326377153
1649542653.688194,9646,1.0
1649542816.178042,10122,1.0
1649543004.382123,10682,1.0
1649543796.138223,12942,1.0
1649544265.400926,14277,1.0
1649544629.804076,15315,1.0
1649545351.251214,17372,1.0
1649546370.848145,20326,1.0
1649547298.841406,23026,1.0
1649547752.537091,24332,1.0
1649548030.508252,25101,1.0
1649548443.14392,26272,1.0
1649548626.137246,26831,1.0
1649549109.29022,28219,1.0
1649549275.309244,28669,1.0
1649549535.7066677,29449,1.0
1649550126.236176,31124,1.0
1649550655.625972,32657,0.6678966879844666
1649550728.230377,32875,1.0
1649550824.220864,33114,1.0
1649550891.885548,33330,0.9729729890823364
1649552602.531792,38251,1.0
1649552833.941842,38934,1.0
1649552926.345329,39224,1.0
1649553094.9586968,39669,1.0
1649553180.594028,39923,1.0
1649553343.205581,40411,1.0
1649553423.021668,40613,1.0
1649554935.661561,44988,1.0
1649555111.53687,45477,1.0
1649555957.249056,47921,1.0
1649556900.473123,50655,1.0
1649557071.121542,51173,1.0
1649557147.567493,51401,1.0
1649557648.215463,52807,1.0
1649558306.009105,54822,1.0
1649558551.631731,55627,0.9637681245803833
1649559257.567849,58022,1.0
1649559908.252924,60279,1.0
1649560126.6684248,61001,1.0
1649560461.628087,62126,1.0
1649560765.083274,63155,1.0
1649561348.939968,65138,1.0
1649561494.422987,65605,1.0
1649562442.258766,68839,1.0
1649562815.477025,70083,1.0
1649563531.625701,72483,1.0
1649563954.630566,73895,1.0
1649564110.893078,74407,1.0
1649564320.970451,75133,1.0
1649564621.32913,76135,1.0
1649565135.592834,77849,0.9799196720123291
1649565626.9826,79519,1.0
1649566330.410731,81856,0.9959999918937683
1649566382.730426,82056,0.003937007859349251
1649567140.028881,84589,1.0
1649567289.538023,85062,0.9737991094589233
1649567373.025015,85355,1.0
1649567530.9983113,85903,0.232876718044281
1649567612.442932,86141,1.0
1649568152.459198,87979,1.0
1649568315.735265,88515,1.0
1649568675.604218,89749,0.977011501789093
1649568887.778238,90491,1.0
1649569253.886488,91711,1.0
1649569784.5026677,93462,1.0
1649569791.770414,93487,0.08992806077003479
1649569993.796924,94203,1.0
1649570144.444489,94683,1.0
1649570350.789139,95383,1.0
1649570952.917337,97360,1.0
1649571021.274689,97587,1.0
1649571085.636309,97802,1.0
1649571226.578718,98238,0.9626168012619019
1649572045.709115,101012,0.9730769395828247
1649572428.217341,102289,1.0
1649572599.293546,102830,0.3271375596523285
1649573389.034982,105495,0.9801980257034302
1649573458.769133,105732,1.0
1649573661.560389,106391,1.0
1649573817.984919,106938,1.0
1649574300.718035,108537,0.33596837520599365
1649574526.809501,109272,1.0
1649575173.8019001,111456,1.0
1649575481.306673,112470,1.0
1649575561.418016,112749,1.0
1649576011.117478,114265,1.0
1649576181.470392,114794,1.0
1649576838.170364,116982,1.0
1649577425.581783,118989,1.0
1649577502.573024,119255,1.0
1649577720.994589,119959,1.0
1649578940.755881,124038,1.0
1649579246.407062,125062,1.0
1649579311.996694,125296,1.0
1649579458.195842,125756,1.0
1649579669.751307,126459,0.9090909361839294
1649579829.716699,127023,1.0
1649580429.563041,129030,0.003636363660916686
1649581018.684433,131016,1.0
1649581374.98766,132244,1.0
1649581519.148756,132748,1.0
1649582215.873346,135100,1.0
1649582441.646305,135859,0.003546099178493023
1649582681.06803,136654,0.966911792755127
1649582822.450975,137137,1.0
1649583492.173602,139404,1.0
1649583773.330804,140372,0.9537366628646851
1649583786.419637,140418,0.22885571420192719
1649584444.656748,142640,1.0
1649584526.01279,142925,1.0
1649584658.354952,143358,1.0
1649584862.9325,144080,1.0
1649585670.101402,146804,0.7363636493682861
1649585820.335952,147318,1.0
1649585982.743497,147853,0.9773585200309753
1649586063.124703,148138,1.0
1649586191.925869,148603,0.8634538054466248
1649586376.404554,149157,0.9026845693588257
1649586620.323393,150013,1.0
1649588349.463584,155929,1.0
1649589028.517826,158249,1.0
1649589128.939595,158554,0.0988142266869545
1649589371.539934,159369,1.0
1649589371.840495,159370,0.0034246575087308884
1649589644.682792,160292,0.2050359696149826
1649590027.041821,161579,0.011952191591262817
1649590319.457313,162558,1.0
1649591091.2819,165165,1.0
1649591736.493504,167310,1.0
1649592016.479469,168237,1.0
1649592310.753858,169246,0.9180327653884888
1649592460.92045,169768,1.0
1649593114.562553,171967,1.0
1649593279.67277,172550,1.0
1649593364.088412,172794,1.0
1649593959.032917,174850,1.0
1649594027.682374,175096,1.0
1649594087.590761,175302,1.0
1649594563.1216943,176916,1.0
1649594984.090536,178355,1.0
1649595426.443584,179870,0.0044843051582574844
1649595787.235005,181094,1.0
1649596823.234365,184579,1.0
1649597029.76444,185321,1.0
1649597183.779031,185832,1.0
1649597330.577346,186343,1.0
1649597406.753943,186603,1.0
1649597896.341513,188228,0.8812949657440186
1649597972.541734,188495,1.0
1649598496.37288,190262,1.0
1649598677.4404,190846,1.0
1649598756.414702,191129,1.0
1649599008.183102,191969,1.0
1649599078.463836,192214,1.0
1649599369.046583,193167,0.021352313458919525
1649599434.821767,193396,1.0
1649599517.358969,193623,0.016736401244997978
1649599825.205318,194697,0.8530611991882324
1649600292.099936,196229,1.0
1649600359.801215,196458,1.0
1649600669.939675,197494,1.0
1649600810.6353,197979,1.0
1649601108.377834,198964,1.0
1649601597.546219,200618,1.0
1649602001.450047,201942,1.0
1649602293.913769,202959,1.0
1649602373.863089,203201,1.0
1649602524.25994,203728,1.0
1649602589.423387,203954,1.0
1649602589.714719,203955,0.0033444815780967474
1649603020.277976,205366,1.0
1649604167.822487,209278,1.0
1649604399.905034,210058,1.0
1649604481.752716,210337,1.0
1649604784.3124,211370,1.0
1649605131.613362,212757,1.0
1649605358.618604,213831,1.0
1649605477.99185,214335,0.8054474592208862
1649605855.700892,216048,1.0
1649605916.024376,216276,1.0
1649606062.508526,216979,1.0
1649606319.143163,218145,1.0
1649606344.394333,218262,0.4895397424697876
1649606409.030649,218519,0.003389830468222499
1649606881.633062,220650,1.0
1649607003.703422,221177,1.0
1649607055.465704,221416,1.0
1649607112.507424,221693,1.0
1649607511.448885,223467,1.0
1649607604.0119302,223901,0.8628318309783936
1649607893.931855,225205,0.8387096524238586
1649608009.269247,225699,1.0
1649608248.821671,226770,0.7953668236732483
1649608298.188875,226999,0.8149465918540955
1649608356.335365,227226,1.0
1649608463.735982,227727,1.0
1649608721.18635,228893,1.0
1649608782.085624,229175,1.0
1649608901.508414,229681,1.0
1649609585.899283,232790,0.003846153849735856
1649609591.612156,232791,0.0044247787445783615
1649609832.684796,233884,0.004672897048294544
1649610078.978262,235014,1.0
1649610121.216884,235210,0.8868778347969055
1649610164.2153192,235408,0.9041095972061157
1649610476.627758,236772,1.0
1649610655.963249,237566,1.0
1649610885.802814,238597,0.7765957713127136
1649611043.603006,239302,1.0
1649611412.723609,240942,0.0034722222480922937
1649611540.309258,241481,1.0
1649611714.448286,242301,0.7018348574638367
1649611880.034111,243032,1.0
1649612256.802554,244698,1.0
1649612484.810892,245718,0.8831169009208679
1649612814.695228,247198,1.0
1649612816.659141,247207,0.04285714402794838
1649612823.995112,247209,0.0038759689778089523
1649612868.191392,247413,1.0
1649612920.445964,247654,0.8795620203018188
1649613347.245127,249542,1.0
1649613468.72367,250112,1.0
1649613715.919781,251203,1.0
1649614404.543152,254306,0.8630136847496033
1649614451.324581,254522,1.0
1649614632.001185,255317,1.0
1649614632.225275,255318,0.0036496350076049566
1649615136.19993,257581,0.9605262875556946
1649615266.706058,258137,0.02500000037252903
1649615547.1904662,259418,1.0
1649615811.086581,260590,1.0
1649615908.982862,261048,1.0
1649616073.795814,261769,0.8415841460227966
1649616323.736656,262885,1.0
1649616503.871801,263677,1.0
1649616664.251581,264397,1.0
1649616819.09315,265122,1.0
1649616875.299486,265343,0.9205020666122437
1649617752.205946,269229,0.9375
1649618024.580042,270447,1.0
1649618132.562677,270953,0.8980392217636108
1649618190.301553,271219,1.0
1649618486.654319,272558,1.0
1649618651.18339,273278,1.0
1649619525.698293,277225,1.0
1649620223.032857,280313,1.0
1649620463.805812,281385,0.876288652420044
1649620626.096427,282115,1.0
1649620998.844393,283753,0.004201680887490511
1649621062.366087,284045,1.0
1649621609.2130592,286519,0.8684210777282715
1649621658.937456,286749,1.0
1649621985.290193,288196,0.8917748928070068
1649622243.934727,289363,1.0
1649622449.516245,290312,1.0
1649622824.190156,291922,1.0
1649623018.715207,292765,1.0
1649623243.401713,293741,1.0
1649623309.305011,294038,1.0
1649623430.844723,294541,1.0
1649623842.731092,296353,0.46590909361839294
1649623901.986933,296627,0.9580419659614563
1649624060.27837,297368,1.0
1649624225.22509,298085,0.004347825888544321
1649624324.006022,298520,1.0
1649624413.5329263,298940,0.8072289228439331
1649624464.455997,299168,0.9330543875694275
1649624526.336629,299411,0.8741007447242737
1649625064.151729,301828,0.0035211266949772835
1649625175.10538,302339,1.0
1649625432.406917,303508,1.0
1649625538.625133,304008,1.0
1649625640.749178,304431,0.0047846888191998005
1649625742.486488,304907,1.0
1649626382.701182,307736,0.004347825888544321
1649626490.162471,308180,0.8122743964195251
1649626729.966292,309256,1.0
1649626777.878123,309476,1.0
1649627051.911622,310696,1.0
1649627378.554099,312110,1.0
1649628575.801892,317448,1.0
1649628714.097819,318086,0.8878923654556274
1649629498.291214,321528,1.0
1649629543.865814,321748,1.0
1649629704.812569,322444,0.8229665160179138
1649629826.8739488,322999,1.0
1649630311.993365,325163,0.9027777910232544
1649630355.2911973,325369,0.0038910505827516317
1649630420.760501,325626,1.0
1649630593.529425,326429,1.0
1649630828.708171,327508,0.9850000143051147
1649631198.123624,329138,1.0
1649631939.007227,332495,0.9122137427330017
1649632265.582161,333929,0.9196786880493164
1649632370.991725,334426,0.014388489536941051
1649632484.787222,334908,1.0
1649632600.003347,335444,0.8989899158477783
1649632716.736927,335936,1.0
1649632803.607393,336349,0.023728813976049423
1649633135.232309,337813,1.0
1649633197.321776,338100,1.0
1649633248.356212,338344,0.9348658919334412
1649633498.30286,339456,1.0
1649633616.004153,339965,1.0
1649633873.222874,341112,1.0
1649633924.710021,341359,0.9320755004882812
1649634050.180691,341908,1.0
1649634521.988646,343998,1.0
1649634583.746428,344293,1.0
1649634878.930974,345605,0.3079584836959839
1649634998.677203,346108,1.0
1649635235.729986,347159,0.9531915187835693
1649635445.183258,348075,1.0
1649635673.822872,349092,0.0044052861630916595
1649635796.808004,349615,1.0
1649635907.464894,350133,0.971731424331665
1649636224.936171,351572,1.0
1649636473.817222,352643,0.00374531839042902
1649636526.46362,352882,1.0
1649636779.005854,354036,0.004999999888241291
1649637029.744292,355153,1.0
1649637167.43309,355796,0.8418972492218018
1649637238.844743,356088,1.0
1649637489.2368,357199,1.0
1649637722.64697,358238,1.0
1649638174.895919,360299,0.887499988079071
1649638274.770602,360712,0.8893805146217346
1649638537.210559,361878,1.0
1649638584.338316,362096,1.0
1649638635.3783302,362286,0.9405940771102905
1649638684.871587,362519,1.0
1649639128.418342,364490,1.0
1649639173.385441,364697,1.0
1649639365.330989,365533,0.9379310607910156
1649639519.4111922,366250,0.9013605713844299
1649640742.800164,371702,0.954954981803894
1649640743.039774,371703,0.003968254197388887
1649640828.465385,372055,0.013937282375991344
1649641033.068663,372965,1.0
1649641305.000552,374184,1.0
1649641352.645982,374401,0.9004149436950684
1649641521.070161,375150,0.9341563582420349
1649641627.359651,375603,0.9182692170143127
1649641888.530551,376767,0.9273356199264526
1649642329.564252,378369,1.0
1649642536.985713,379064,0.003496503457427025
1649642941.890502,380472,1.0
1649643514.827862,382461,1.0
1649643577.036673,382687,1.0
1649643761.124601,383308,1.0
1649643978.933037,384033,0.9695817232131958
1649644175.908356,384745,1.0
1649644455.28207,385689,0.8801843523979187
1649644587.572551,386176,0.9551724195480347
1649645130.80877,388010,1.0
1649645506.050501,389278,0.02448979578912258
1649645579.145999,389536,0.908450722694397
1649645783.423078,390233,1.0
1649645843.618869,390454,1.0
1649645993.305095,390997,1.0
1649646353.609145,392263,0.9217081665992737
1649646591.353904,393055,0.017543859779834747
1649646829.58417,393860,1.0
1649647034.13014,394611,0.9520000219345093
1649647185.087252,395098,1.0
1649647262.75232,395377,0.9457626938819885
1649647556.40267,396379,1.0
1649647703.870447,396909,0.991416335105896
1649647785.3040283,397170,0.8817567825317383
1649647852.338004,397407,1.0
1649648518.234862,399751,0.8285714387893677
1649648794.170557,400671,0.9458333253860474
1649649123.322772,401802,0.8958333134651184
1649649341.955253,402580,0.9103942513465881
1649649553.229512,403330,0.9363296031951904
1649650159.710481,405437,1.0
1649650371.737257,406150,0.0041841003112494946
1649650436.263161,406378,0.887159526348114
1649650487.426131,406559,0.8872548937797546
1649650896.6513693,407945,1.0
1649650953.557476,408152,0.9810426831245422
1649651157.306801,408890,1.0
1649651305.249136,409386,0.0035587188322097063
1649651599.579808,410419,1.0
1649652540.059078,413693,0.936241626739502
1649652740.922294,414432,1.0
1649652933.48827,415077,0.9409282803535461
1649653155.305946,415832,1.0
1649653539.206991,417168,0.9200000166893005
1649653620.630148,417455,1.0
1649653826.727141,418146,0.016597511246800423
1649654237.798041,419531,0.7804877758026123
1649654359.742347,419982,0.0044843051582574844
1649654710.860478,421201,0.9638554453849792
1649654711.134189,421202,0.004098360426723957
1649654985.063222,422101,0.9278350472450256
1649655044.475264,422312,0.004807692486792803
1649655515.496766,423929,0.9838056564331055
1649655597.993551,424221,1.0
1649655674.217858,424504,1.0
1649655914.419233,425321,0.9587628841400146
1649656726.9865253,428160,1.0
1649657029.505398,429198,0.9143968820571899
1649657310.882565,430177,1.0
