Wall time,Step,Value
1649641867.435393,281,258.0
1649642199.983393,2261,56.0
1649642829.135819,4419,24.0
1649642900.932829,4669,0.0
1649644179.100536,9064,1.0
1649644777.1766837,11156,29.0
1649645271.982868,12839,13.0
1649645431.417894,13406,0.0
1649645739.743197,14462,8.0
1649646038.6419299,15463,0.0
1649646109.979781,15725,0.0
1649646246.6314456,16194,0.0
1649646318.36708,16446,62.0
1649646753.453717,17920,0.0
1649646957.287869,18642,0.0
1649647470.31539,20390,0.0
1649647989.119041,22189,3.0
1649648353.447364,23458,10.0
1649648557.499286,24139,40.0
1649648706.063434,24660,13.0
1649648837.370774,25141,0.0
1649649194.95652,26388,0.0
1649649328.484232,26813,0.0
1649649408.548137,27098,79.0
1649649568.393013,27677,10.0
1649649761.568852,28321,7.0
1649649981.051183,29070,9.0
1649650050.079913,29312,179.0
1649650130.007453,29594,1.0
1649651715.344317,35090,26.0
1649651940.248849,35873,104.0
1649652280.235768,37067,55.0
1649652439.193003,37598,0.0
1649652449.54011,37636,0.0
1649652896.440906,39224,128.0
1649653336.767388,40738,21.0
1649653760.767811,42217,3.0
1649654258.901193,43969,29.0
1649654314.74037,44171,48.0
1649654453.48895,44623,34.0
1649654580.837378,45078,72.0
1649655081.915497,46817,0.0
1649655277.14812,47531,0.0
1649655851.318583,49534,0.0
1649656129.528926,50501,2.0
1649656287.86136,51081,173.0
1649656495.780163,51769,11.0
1649656558.123547,52007,98.0
1649656680.89713,52450,120.0
1649656764.480862,52705,169.0
1649656887.486462,53157,50.0
1649657348.710306,54782,10.0
1649657504.338794,55294,23.0
1649657854.911786,56563,1.0
1649658116.899363,57521,0.0
1649658287.772034,58102,6.0
1649658623.379568,59240,0.0
1649658816.3310819,59914,49.0
1649658983.028473,60464,4.0
1649659066.235706,60763,113.0
1649659125.905381,60969,2.0
1649659452.905061,62106,48.0
1649659965.155536,63885,9.0
1649660468.622206,65659,180.0
1649660836.9833384,66962,2.0
1649661070.044628,67741,147.0
1649661753.432285,70131,0.0
1649662042.125597,71180,13.0
1649662185.210617,71650,61.0
1649662567.829185,72995,44.0
1649662636.432393,73244,0.0
1649662758.935542,73689,2.0
1649663122.423711,74940,3.0
1649663487.094312,76217,19.0
1649663615.476636,76634,9.0
1649664277.948764,78954,91.0
1649664416.690963,79455,115.0
1649665107.575158,81854,17.0
1649665394.362389,82837,13.0
1649665696.796796,83904,127.0
1649666196.863035,85645,0.0
1649666253.680239,85863,0.0
1649666383.94011,86276,15.0
1649666530.087496,86818,0.0
1649666591.027348,87038,6.0
1649666744.945533,87543,180.0
1649666967.463503,88354,0.0
1649667230.442008,89262,0.0
1649667291.408541,89486,0.0
1649667929.696429,91716,57.0
1649668131.3051322,92408,0.0
1649668864.254194,95139,6.0
1649669075.263037,96057,0.0
1649669273.417564,96958,110.0
1649669523.015937,98035,0.0
1649669642.252993,98523,94.0
1649669948.137065,99855,0.0
1649670062.176114,100376,0.0
1649670128.458901,100666,205.0
1649670390.171095,101802,0.0
1649670439.887069,102023,0.0
1649670828.522589,103698,3.0
1649670981.868142,104399,0.0
1649671170.689434,105192,48.0
1649671326.625862,105864,0.0
1649671551.704406,106884,0.0
1649671824.670875,108076,0.0
1649671882.261397,108289,0.0
1649672449.283439,110759,19.0
1649672504.983722,111006,0.0
1649672612.750027,111490,0.0
1649672793.446583,112253,0.0
1649673236.97245,114227,124.0
1649673298.859369,114450,0.0
1649673462.724884,115193,79.0
1649673514.952168,115428,9.0
1649673981.20521,117447,1.0
1649674078.020882,117876,1.0
1649674466.260918,119541,21.0
1649674630.529217,120283,0.0
1649675138.619082,122459,0.0
1649675624.143256,124568,43.0
1649675727.061361,125037,5.0
1649675787.040799,125305,43.0
1649676054.031921,126459,60.0
1649676219.259919,127169,6.0
1649676338.949631,127722,178.0
1649676460.091235,128204,0.0
1649676679.762038,129151,0.0
1649676845.357398,129906,136.0
1649677069.108948,130850,5.0
1649677175.888014,131341,0.0
1649677244.332454,131589,210.0
1649677304.8028927,131877,260.0
1649677700.320252,133608,109.0
1649677814.728981,134079,0.0
1649677970.856477,134793,0.0
1649678024.563396,135031,6.0
1649678082.715761,135240,58.0
1649678207.0383732,135807,0.0
1649678570.871159,137399,81.0
1649678640.064468,137677,0.0
1649678802.336334,138409,16.0
1649679031.2414532,139405,15.0
1649679070.731127,139587,1.0
1649679119.334409,139810,14.0
1649679721.391365,142465,4.0
1649679933.451801,143452,0.0
1649679993.403998,143676,1.0
1649680395.957811,145482,186.0
1649680440.615229,145685,0.0
1649680506.799596,145977,49.0
1649681090.096953,148553,142.0
1649681148.831212,148769,0.0
1649681500.086149,150301,0.0
1649681559.8019001,150582,40.0
1649681670.546027,151086,3.0
1649682022.178953,152608,10.0
1649682249.458633,153659,0.0
1649682716.802147,155700,44.0
1649682995.869348,156923,43.0
1649683111.775677,157446,3.0
1649683331.90813,158412,14.0
1649683389.196756,158669,28.0
1649683976.536669,161249,0.0
1649684178.577203,162114,0.0
1649684236.118451,162394,8.0
1649684297.494664,162624,0.0
1649684399.540701,163082,43.0
1649684677.737869,164307,2.0
1649684787.212593,164808,0.0
1649685006.696606,165762,5.0
1649685073.082832,166060,76.0
1649685135.1687,166290,19.0
1649685298.516602,167028,7.0
1649685604.922682,168353,11.0
1649685702.3714979,168757,2.0
1649685865.41043,169489,2.0
1649685985.559378,169999,71.0
1649686031.2981613,170201,0.0
1649686125.788322,170625,0.0
1649686200.347721,170918,0.0
1649686257.425089,171173,5.0
1649687008.676477,174466,0.0
1649687120.818084,174973,0.0
1649687399.798697,176215,0.0
1649687516.209977,176751,28.0
1649687573.457276,176960,17.0
1649688059.888149,179119,0.0
1649688271.553534,180038,141.0
1649688386.2391133,180521,0.0
1649688535.526437,181197,102.0
1649688817.616334,182459,30.0
1649688935.312965,182958,44.0
1649688981.7733,183167,4.0
1649689095.472119,183679,0.0
1649689150.196973,183948,0.0
1649689259.897421,184397,0.0
1649689316.986254,184655,35.0
1649690118.703521,188140,0.0
1649690528.070569,189943,186.0
1649690649.06155,190445,161.0
1649690697.463588,190670,0.0
1649691320.885023,193410,0.0
1649691502.121227,194174,6.0
1649691735.304248,195183,41.0
1649691893.766289,195916,0.0
1649692202.792415,197265,0.0
1649692272.521122,197530,0.0
1649692316.168823,197746,7.0
1649692473.1624193,198454,0.0
1649692528.934501,198653,0.0
1649692617.961402,199070,19.0
