Wall time,Step,Value
1649641867.434148,281,-450.6000061035156
1649642199.9821508,2261,-210.60000610351562
1649642829.131095,4419,-228.1999969482422
1649642900.931596,4669,-210.8000030517578
1649644179.097239,9064,-205.1999969482422
1649644777.174112,11156,-75.5999984741211
1649645271.979721,12839,-134.60000610351562
1649645431.415366,13406,-212.8000030517578
1649645739.7420118,14462,-208.0
1649646038.638159,15463,-201.8000030517578
1649646109.977337,15725,-179.39999389648438
1649646246.629524,16194,-107.5999984741211
1649646318.3658361,16446,-142.0
1649646753.451864,17920,-191.0
1649646957.286612,18642,-230.1999969482422
1649647470.314094,20390,-88.4000015258789
1649647989.116948,22189,-35.20000076293945
1649648353.446097,23458,-215.0
1649648557.497962,24139,-234.39999389648438
1649648706.061774,24660,-240.8000030517578
1649648837.369547,25141,-117.19999694824219
1649649194.955341,26388,-281.6000061035156
1649649328.481253,26813,-191.60000610351562
1649649408.5469341,27098,-286.0
1649649568.389799,27677,-256.3999938964844
1649649761.567636,28321,-36.20000076293945
1649649981.049282,29070,-180.60000610351562
1649650050.078675,29312,-321.0
1649650130.004638,29594,-199.8000030517578
1649651715.343179,35090,-239.0
1649651940.2464,35873,-237.39999389648438
1649652280.231693,37067,-199.0
1649652439.190706,37598,-6.599999904632568
1649652449.538927,37636,-32.400001525878906
1649652896.439733,39224,-152.1999969482422
1649653336.764248,40738,-257.0
1649653760.766597,42217,-46.0
1649654258.900015,43969,-133.8000030517578
1649654314.739241,44171,-281.3999938964844
1649654453.487606,44623,-244.39999389648438
1649654580.8338,45078,-266.0
1649655081.912525,46817,-211.1999969482422
1649655277.146945,47531,-123.19999694824219
1649655851.314993,49534,-172.0
1649656129.526758,50501,-144.1999969482422
1649656287.857291,51081,-181.1999969482422
1649656495.778962,51769,-207.39999389648438
1649656558.12181,52007,-296.6000061035156
1649656680.895872,52450,-147.1999969482422
1649656764.47932,52705,-367.6000061035156
1649656887.485056,53157,-181.1999969482422
1649657348.708555,54782,-135.60000610351562
1649657504.3376188,55294,-232.60000610351562
