Wall time,Step,Value
1648147315.364798,793,19.0
1648147326.263805,1029,0.0
1648147356.263518,1331,10.0
1648147683.594243,2760,9.0
1648147877.210441,3580,9.0
1648147988.125668,4076,0.0
1648148104.2961197,4601,14.0
1648148224.278366,5150,9.0
1648148346.561891,5706,3.0
1648148539.798947,6433,7.0
1648148698.047502,7161,5.0
1648149132.469281,9136,2.0
1648149173.3621492,9320,6.0
1648149353.134248,10123,4.0
1648150335.380882,14415,0.0
1648150485.31237,15073,1.0
1648151222.290081,17857,7.0
1648151327.065808,18187,17.0
1648151638.369027,19064,0.0
1648152248.74673,21001,3.0
1648152257.057628,21022,11.0
1648153335.114422,24513,7.0
1648154329.249647,27682,8.0
1648154540.301389,28389,5.0
1648154708.794749,28958,0.0
1648154800.423846,29230,0.0
1648155234.881476,30311,1.0
1648155765.122131,31508,0.0
1648156252.383142,32727,0.0
1648156429.6022432,33158,1.0
1648156617.601041,33623,24.0
1648157286.154043,35338,0.0
1648157441.79105,35729,0.0
1648157848.690064,36759,9.0
1648158205.4194229,37515,9.0
1648158288.663008,37730,0.0
1648158453.386788,38161,0.0
1648159146.652042,39966,11.0
1648159715.994932,41478,0.0
1648159834.159088,41794,2.0
1648159844.617487,41818,13.0
1648159918.406805,42023,6.0
1648160159.112572,42687,4.0
1648160911.504854,44576,8.0
1648161987.863084,47453,10.0
1648162475.145659,48729,6.0
1648162619.068459,49116,0.0
1648162800.413699,49601,0.0
1648163189.074559,50488,7.0
1648164287.183643,53420,1.0
1648164547.525035,54120,0.0
1648164557.128515,54143,10.0
1648165044.688733,55441,7.0
1648165617.85313,56837,0.0
1648165846.303208,57452,1.0
1648166436.40998,59012,6.0
1648166567.559172,59361,7.0
1648167649.234481,62123,0.0
1648168575.18926,64606,8.0
1648169269.431887,66439,10.0
1648170653.394235,69950,8.0
1648170718.32409,70127,1.0
1648171214.434605,71443,6.0
1648171557.412559,72361,11.0
1648171892.886732,73252,0.0
1648172347.558858,74328,3.0
1648172380.19082,74412,0.0
1648172424.843706,74530,9.0
1648172544.166864,74853,8.0
1648174222.496072,79272,17.0
1648174736.818365,80531,4.0
1648174757.0096178,80583,14.0
1648174820.789578,80758,0.0
1648176066.832882,84052,6.0
1648176745.075546,85680,2.0
1648177003.900868,86355,6.0
1648177172.1380208,86800,3.0
1648177349.808415,87269,0.0
1648177492.268738,87632,15.0
1648177687.885911,88122,2.0
1648177956.986771,88821,11.0
1648178267.304177,89650,1.0
1648178335.862956,89834,22.0
1648178421.838555,90064,0.0
1648179139.04094,91814,4.0
1648179278.532023,92184,15.0
1648179318.99511,92295,5.0
1648179361.788917,92407,0.0
1648180221.047389,94660,0.0
1648180474.637706,95346,9.0
1648180534.614914,95504,6.0
1648181572.78257,98094,4.0
1648181602.778922,98174,0.0
1648181981.733735,99173,7.0
1648182044.1379483,99345,16.0
1648182108.442481,99520,4.0
1648182139.858962,99601,10.0
