Wall time,Step,Value
1648147315.363681,793,0.0
1648147326.262585,1029,0.0
1648147356.2621021,1331,0.0
1648147683.592734,2760,0.0
1648147877.209056,3580,0.0
1648147988.123998,4076,0.0
1648148104.294892,4601,0.0
1648148224.27697,5150,0.0
1648148346.560467,5706,0.0
1648148539.797503,6433,0.0
1648148698.045872,7161,0.0
1648149132.468045,9136,0.0
1648149173.360888,9320,0.0
1648149353.133012,10123,0.0
1648150335.379653,14415,0.0
1648150485.311148,15073,0.0
1648151222.288858,17857,0.0
1648151327.060905,18187,0.0
1648151638.367807,19064,0.0
1648152248.744849,21001,0.0
1648152257.053123,21022,0.0
1648153335.112819,24513,0.0
1648154329.247019,27682,0.0
1648154540.295891,28389,0.0
1648154708.79144,28958,0.0
1648154800.422447,29230,0.0
1648155234.880276,30311,0.0
1648155765.114467,31508,0.0
1648156252.380237,32727,0.0
1648156429.599211,33158,0.0
1648156617.596239,33623,0.0
1648157286.152544,35338,0.0
1648157441.787745,35729,0.0
1648157848.683378,36759,0.0
1648158205.417593,37515,0.0
1648158288.66115,37730,0.0
1648158453.385028,38161,0.0
1648159146.650052,39966,0.0
1648159715.993668,41478,0.0
1648159834.156422,41794,0.0
1648159844.615283,41818,0.0
1648159918.405247,42023,0.0
1648160159.111079,42687,0.0
1648160911.501982,44576,0.0
1648161987.861706,47453,0.0
1648162475.142572,48729,0.0
1648162619.065602,49116,0.0
1648162800.408385,49601,0.0
1648163189.071753,50488,0.0
1648164287.178182,53420,0.0
1648164547.520657,54120,0.0
1648164557.127144,54143,0.0
1648165044.68665,55441,0.0
1648165617.849388,56837,0.0
1648165846.297393,57452,0.0
1648166436.406234,59012,0.0
1648166567.556522,59361,0.0
1648167649.232593,62123,0.0
1648168575.187878,64606,0.0
1648169269.430438,66439,0.0
1648170653.392795,69950,0.0
1648170718.322658,70127,0.0
1648171214.432961,71443,0.0
1648171557.410272,72361,0.0
1648171892.88526,73252,0.0
1648172347.557025,74328,0.0
1648172380.188949,74412,0.0
1648172424.841838,74530,0.0
1648172544.164906,74853,0.0
1648174222.492725,79272,0.0
1648174736.813344,80531,0.0
1648174757.002291,80583,0.0
1648174820.787808,80758,0.0
1648176066.8309433,84052,0.0
1648176745.073761,85680,0.0
1648177003.8990448,86355,0.0
1648177172.1363583,86800,0.0
1648177349.806659,87269,0.0
1648177492.2644658,87632,0.0
1648177687.8844333,88122,0.0
1648177956.985298,88821,0.0
1648178267.300745,89650,0.0
1648178335.858259,89834,0.0
1648178421.8370533,90064,0.0
1648179139.038073,91814,0.0
1648179278.527813,92184,0.0
1648179318.989905,92295,0.0
1648179361.786873,92407,0.0
1648180221.045293,94660,0.0
1648180474.636216,95346,0.0
1648180534.613456,95504,0.0
1648181572.780979,98094,0.0
1648181602.777317,98174,0.0
1648181981.731988,99173,0.0
1648182044.135103,99345,0.0
1648182108.439025,99520,0.0
1648182139.856177,99601,0.0
1648182530.579017,100642,0.0
1648182741.541925,101158,0.0
1648182781.30533,101257,0.0
1648183071.334695,101948,0.0
1648183200.789882,102290,0.0
1648183286.073627,102522,0.0
1648183875.821064,104068,0.0
1648183936.449832,104230,0.0
1648185339.296527,107818,0.0
1648185380.334496,107921,0.0
1648185589.820417,108465,0.0
1648185653.832314,108619,0.0
1648185724.16741,108803,0.0
1648185771.2516422,108932,0.0
1648186197.980688,110039,0.0
1648186460.560204,110720,0.0
1648186765.823009,111510,0.0
1648187139.931197,112346,0.0
1648187680.492088,113739,0.0
1648187707.284089,113804,0.0
1648187940.38973,114392,0.0
1648187975.554367,114483,0.0
1648188064.23612,114714,0.0
1648188843.640544,116736,0.0
1648188978.082678,117031,0.0
1648189642.244764,118646,0.0
1648190156.458173,119997,0.0
1648190837.86034,121783,0.0
1648191092.026603,122395,0.0
1648191246.361709,122700,0.0
1648191596.986284,123617,0.0
1648191812.25455,124157,0.0
