Wall time,Step,Value
1648147315.365263,793,1.0
1648147326.2643,1029,1.0
1648147356.263986,1331,1.0
1648147683.594739,2760,1.0
1648147877.210926,3580,1.0
1648147988.126331,4076,1.0
1648148104.296598,4601,1.0
1648148224.278845,5150,1.0
1648148346.562357,5706,1.0
1648148539.799437,6433,1.0
1648148698.04798,7161,1.0
1648149132.469763,9136,1.0
1648149173.36264,9320,1.0
1648149353.134735,10123,1.0
1648150335.381353,14415,1.0
1648150485.312842,15073,1.0
1648151222.290559,17857,1.0
1648151327.066896,18187,1.0
1648151638.3694952,19064,1.0
1648152248.747227,21001,1.0
1648152257.058508,21022,1.0
1648153335.114927,24513,1.0
1648154329.2506633,27682,1.0
1648154540.302238,28389,1.0
1648154708.79645,28958,1.0
1648154800.424314,29230,1.0
1648155234.8819442,30311,1.0
1648155765.124066,31508,1.0
1648156252.384,32727,1.0
1648156429.603104,33158,1.0
1648156617.601899,33623,1.0
1648157286.154525,35338,1.0
1648157441.791994,35729,1.0
1648157848.69151,36759,1.0
1648158205.419899,37515,1.0
1648158288.664051,37730,1.0
1648158453.387274,38161,1.0
1648159146.652519,39966,1.0
1648159715.995414,41478,1.0
1648159834.159852,41794,1.0
1648159844.618827,41818,1.0
1648159918.407286,42023,1.0
1648160159.113045,42687,1.0
1648160911.50629,44576,1.0
1648161987.863565,47453,1.0
1648162475.146208,48729,1.0
1648162619.069147,49116,1.0
1648162800.415211,49601,1.0
1648163189.075543,50488,1.0
1648164287.185048,53420,1.0
1648164547.526265,54120,1.0
1648164557.129004,54143,1.0
1648165044.689559,55441,1.0
1648165617.854423,56837,1.0
1648165846.304144,57452,1.0
1648166436.410609,59012,1.0
1648166567.560255,59361,1.0
1648167649.235053,62123,1.0
1648168575.1897368,64606,1.0
1648169269.432376,66439,1.0
1648170653.394751,69950,1.0
1648170718.324574,70127,1.0
1648171214.435146,71443,1.0
1648171557.414436,72361,1.0
1648171892.887205,73252,1.0
1648172347.55933,74328,1.0
1648172380.191296,74412,1.0
1648172424.844176,74530,1.0
1648172544.167348,74853,1.0
1648174222.497237,79272,1.0
1648174736.820014,80531,1.0
1648174757.011336,80583,1.0
1648174820.79005,80758,1.0
1648176066.833476,84052,1.0
1648176745.076017,85680,1.0
1648177003.901345,86355,1.0
1648177172.1384933,86800,1.0
1648177349.808892,87269,1.0
1648177492.269485,87632,1.0
1648177687.886393,88122,1.0
1648177956.98726,88821,1.0
1648178267.305078,89650,1.0
1648178335.864182,89834,1.0
1648178421.839033,90064,1.0
1648179139.041537,91814,1.0
1648179278.532503,92184,1.0
1648179318.995761,92295,1.0
1648179361.789477,92407,1.0
1648180221.049685,94660,1.0
1648180474.638185,95346,1.0
1648180534.615391,95504,1.0
1648181572.783052,98094,1.0
1648181602.7793937,98174,1.0
1648181981.734216,99173,1.0
1648182044.138917,99345,1.0
1648182108.443333,99520,1.0
1648182139.859744,99601,1.0
1648182530.5818233,100642,1.0
1648182741.543873,101158,1.0
1648182781.310286,101257,1.0
1648183071.340743,101948,1.0
1648183200.792278,102290,1.0
1648183286.077139,102522,1.0
1648183875.823417,104068,1.0
1648183936.451978,104230,1.0
1648185339.301662,107818,1.0
1648185380.33854,107921,1.0
1648185589.822946,108465,1.0
1648185653.839167,108619,1.0
1648185724.169346,108803,1.0
1648185771.256106,108932,1.0
1648186197.983482,110039,1.0
1648186460.5628717,110720,1.0
1648186765.825273,111510,1.0
1648187139.939204,112346,1.0
1648187680.494448,113739,1.0
1648187707.288292,113804,1.0
1648187940.391998,114392,1.0
1648187975.556703,114483,1.0
1648188064.238337,114714,1.0
1648188843.6437697,116736,1.0
1648188978.084806,117031,1.0
1648189642.247123,118646,1.0
1648190156.4599712,119997,1.0
1648190837.862445,121783,1.0
1648191092.028998,122395,1.0
1648191246.364296,122700,1.0
1648191596.989628,123617,1.0
1648191812.256873,124157,1.0
1648192050.603589,124780,1.0
1648192058.458582,124796,1.0
1648192242.20521,125278,1.0
1648193057.63848,127328,1.0
1648193098.2448618,127429,1.0
1648193597.51765,128645,1.0
1648193680.991331,128859,1.0
1648194080.802128,129893,1.0
1648194968.668761,132183,1.0
1648195240.0651248,132832,1.0
1648195806.161842,134198,1.0
1648196035.889588,134791,1.0
1648196284.93574,135432,1.0
1648196710.850032,136499,1.0
1648198257.751394,140350,1.0
1648198295.391251,140446,1.0
1648198304.568295,140467,1.0
1648198807.518062,141781,1.0
1648199002.040507,142238,1.0
1648199502.32799,143453,1.0
1648199729.658242,144037,1.0
