Wall time,Step,Value
1649427237.695077,283,0.08603239059448242
1649427316.555117,659,0.10802919417619705
1649427453.667994,1373,0.0
1649427585.247954,2043,0.0
1649427698.19101,2585,0.0
1649428358.997134,5887,0.0
1649428470.897952,6437,0.0
1649428512.339715,6644,0.0
1649428866.7136178,8424,0.0
1649428969.933971,8897,0.0
1649429195.470885,9917,0.0
1649429415.72584,10981,0.0
1649429512.97276,11454,0.0
1649429565.631546,11705,0.0
1649429828.4868793,13014,0.0
1649429878.868525,13239,0.0
1649429988.927867,13801,0.0
1649430147.811381,14568,0.0
1649430399.578335,15807,0.0
1649430977.302146,18817,0.0
1649431024.974938,19072,0.0
1649431797.192754,23232,0.0
1649431902.185661,23780,0.0
1649431950.376263,24042,0.0
1649432041.6870637,24555,0.0
1649432371.942326,26353,0.0
1649432409.657201,26573,0.0
1649432828.802361,28838,0.0
1649433210.618655,30934,0.0
1649433291.625556,31370,0.0
1649433672.637604,33495,0.0
1649433755.78936,33954,0.0
1649433891.3595939,34713,0.0
1649433999.677412,35285,0.0
1649434120.592139,35942,0.0
1649434484.008159,37952,0.0
1649434520.3181922,38159,0.0
1649434559.1768472,38378,0.0
1649434958.104445,40573,0.0
1649435055.017841,41094,0.0
1649435106.096358,41382,0.0
1649435497.613788,43536,0.0
1649435588.004663,44029,0.0
1649435637.864997,44314,0.0
1649435766.709892,45024,0.0
1649436016.407686,46464,0.0
1649436221.088746,47635,0.0
1649436296.540637,48076,0.0
1649436483.036846,49102,0.0
1649436564.82064,49578,0.0
1649436662.796829,50107,0.0
1649436749.740571,50620,0.0
1649437083.742603,52490,0.0
1649437315.218692,53778,0.0
1649437427.177275,54414,0.0
1649437670.898174,55726,0.0
1649437802.738251,56410,0.0
1649437989.590642,57417,0.0
1649438155.852444,58349,0.0
1649438210.195467,58620,0.0
1649438262.849011,58914,0.0
1649438457.918343,59984,0.0
1649438925.492575,62559,0.0
1649439018.557483,63092,0.0
1649439490.213211,65682,0.0
1649439577.0926647,66140,0.49365749955177307
1649439660.444804,66616,0.0
1649439709.229527,66889,0.0
1649439756.298573,67151,0.0
1649440019.955877,68563,0.0
1649440116.391597,69112,0.0
1649440207.447989,69617,0.0
1649440350.997028,70392,0.0
1649440388.358139,70602,0.0
1649440875.707288,73253,0.0
1649441081.534805,74395,0.0
1649441160.98667,74818,0.0
1649441597.131188,77211,0.0
1649441913.98549,78933,0.0
1649442165.312826,80310,0.7790697813034058
1649442698.326043,83229,0.0
1649443112.304734,85496,0.0
1649443203.479915,85977,0.0
1649443375.584674,86937,0.0
1649443432.58077,87222,0.0
1649443732.704751,88867,0.0
1649443818.768803,89317,0.0
1649444024.946369,90453,0.0
1649444119.349135,90979,0.0
1649444222.187898,91530,0.0
1649444260.478377,91741,0.0
1649444349.393812,92250,0.0
1649444627.432965,93767,0.0
1649445179.185184,96820,0.0
1649445445.180733,98285,0.8348214030265808
1649445608.716067,99193,0.0
1649445775.911367,100104,0.0
1649445911.353325,100868,0.0
1649446098.607156,101891,0.0
1649446197.508906,102417,0.0
1649446246.722822,102692,0.0
1649446334.465695,103189,0.0
1649446432.195287,103696,0.0
1649446476.192102,103939,0.0
1649446607.837878,104675,0.0
1649446709.90569,105215,0.0
1649447029.30329,106971,0.0
1649447399.023548,108972,0.0
1649447494.356528,109504,0.0
1649447935.142546,111910,0.0
1649447986.050762,112160,0.0
1649448076.057854,112662,0.0
1649448447.081021,114687,0.0
1649448490.399876,114930,0.0
1649448811.407935,116682,0.0
1649448913.047196,117218,0.0
1649449002.746885,117724,0.6142697930335999
1649449148.945161,118499,0.0
1649449284.486837,119252,0.5691489577293396
1649449481.7687428,120318,0.0
1649449683.206201,121409,0.0
1649449911.011356,122645,0.0
1649450220.913418,124341,0.0
1649450450.700564,125609,0.0
1649450803.391388,127579,0.0
1649451179.989274,129632,0.0
1649452014.461726,134327,0.0
1649452238.001001,135570,0.0
1649452442.952718,136747,0.0
1649452485.44574,136991,0.0
1649452998.893208,139960,0.0
1649453675.946542,143766,0.0
1649453737.377371,144091,0.0
1649453784.518443,144358,0.0
1649453984.597725,145473,0.0
1649454205.730648,146720,0.0
1649454252.012797,146957,0.0
1649455138.261969,151929,0.0
1649455260.041488,152595,0.7584615349769592
1649455722.122075,155195,0.0
1649455814.43958,155728,0.0
1649455853.899235,155963,0.0
1649456223.7991538,158041,0.0
1649456271.509333,158324,0.0
1649456550.874747,159907,0.0
1649456770.404434,161148,0.7797619104385376
1649457149.362523,163290,0.0
1649457263.324406,163909,0.0
1649457362.594869,164466,0.0
1649457409.169735,164730,0.0
1649457656.425945,166119,0.0
1649457962.774835,167839,0.0
1649458003.336409,168045,0.0
1649458048.799017,168303,0.0
1649458132.553746,168780,0.0
1649458225.182504,169294,0.0
1649458318.779146,169824,0.0
1649458399.152355,170280,0.0
1649458484.739911,170740,0.0
1649458811.986994,172551,0.0
1649458887.925813,172990,0.0
1649458938.696047,173278,0.0
1649458964.537803,173401,0.8377862572669983
1649459006.558192,173640,0.0
1649459243.365008,174961,0.0
1649459514.422673,176484,0.0
1649459612.257298,177024,0.0
1649459866.468651,178456,0.0
1649459906.039957,178683,0.7607361674308777
1649460106.249959,179817,0.0
1649460390.402928,181409,0.7052810788154602
1649460990.59376,184842,0.014705882407724857
1649461036.288765,185090,0.0
1649461629.659291,188470,0.0
1649461982.101385,190450,0.0
1649462206.555849,191719,0.0
1649462249.686974,191969,0.0
1649462332.092804,192421,0.0
1649462590.566143,193888,0.5018766522407532
1649462703.309346,194537,0.0
1649462852.990682,195372,0.0
1649463372.518459,198319,0.0
1649463499.342231,199026,0.0
1649463667.932545,199990,0.0
1649463758.495532,200519,0.0030030030757188797
1649463915.317678,201402,0.06741572916507721
1649464165.85817,202785,0.0
1649464253.396181,203291,0.0
1649464351.4232802,203828,0.0
1649464423.168619,204247,0.0
1649464510.398169,204748,0.0
1649464609.142326,205300,0.0
1649464609.302162,205301,0.0
1649465218.251717,208740,0.0
1649465353.16668,209502,0.0
1649465437.475611,209987,0.0
1649465452.212404,210073,0.6123260259628296
1649465634.250131,211106,0.04214559495449066
1649465913.643775,212669,0.0
1649466120.723308,213861,0.0
1649466198.017722,214320,0.4186307489871979
1649466504.863969,216046,0.0
