Wall time,Step,Value
1649423866.192061,295,1.0
1649424056.60872,1444,0.0
1649424312.682489,2995,0.0
1649424675.633179,5163,0.0
1649424709.241174,5365,0.0
1649424841.434841,6158,0.0
1649424967.8209903,6953,0.0
1649425133.89567,7948,0.0
1649425167.306575,8163,0.0
1649425297.204274,8931,0.0
1649425374.228995,9407,0.0
1649425830.038987,12166,0.0
1649425874.936403,12419,0.0
1649426026.898429,13362,0.0
1649426202.159671,14415,0.0
1649426289.3816488,14921,0.0
1649426336.554256,15210,0.0
1649426370.838702,15434,0.0
1649426901.940494,18613,0.0
1649427007.17515,19266,0.0
1649427219.934708,20584,0.0
1649427580.772852,22766,0.0
1649427874.242376,24563,0.0
1649427916.229987,24767,0.0
1649428044.173988,25561,0.0
1649428286.067081,27042,0.0
1649428334.531662,27292,0.0
1649428463.661919,28107,0.0
1649428630.999148,29115,0.0
1649428713.919161,29623,0.0
1649428916.939132,30860,0.0
1649429128.654029,32142,0.0
1649429273.393271,33022,0.0
1649429385.243878,33659,1.0
1649429674.874954,35447,0.0
1649430241.818865,38870,0.0
1649430290.569133,39165,0.0
1649430415.489765,39889,0.0
1649430582.856794,40900,0.0
1649430622.614979,41142,0.0
1649430694.85705,41591,0.0
1649430878.9585059,42696,0.0
1649430968.351903,43269,0.0
1649431019.928716,43547,0.0
1649431053.798421,43762,0.0
1649431090.506632,43986,0.0
1649431599.201267,47048,0.0
1649431614.28293,47139,1.0
1649432087.932289,49995,0.0
1649432471.790715,52307,0.0
1649432902.430873,54908,0.0
1649433379.1775832,57819,0.0
1649433473.340286,58366,0.0
1649433510.317766,58604,0.0
1649433592.371888,59118,0.0
1649433627.769813,59336,0.0
1649433667.732296,59540,0.0
1649433701.358542,59746,0.0
1649433824.119041,60520,0.0
1649433950.038032,61282,1.0
1649434113.501576,62256,0.0
1649434310.573966,63446,0.0
1649434417.597272,64126,0.0
1649434678.295096,65655,0.0
1649435218.422259,68966,0.0
1649435361.480567,69810,0.0
1649435397.2456048,70038,0.0
1649435438.561925,70288,0.0
1649435481.161939,70520,0.0
1649435602.741842,71294,0.0
1649435777.908344,72338,0.0
1649435915.059885,73156,0.0
1649436124.701056,74424,0.0
1649436367.352987,75898,0.0
1649436475.9115393,76575,0.0
1649436523.427273,76836,0.0
1649436566.338887,77116,0.0
1649436998.742187,79725,0.0
1649437045.735382,80013,0.0
1649437208.584245,80992,0.0
1649437329.767917,81697,0.0
1649437414.018356,82238,0.0
1649437620.77665,83484,0.0
1649437758.080223,84303,0.0
1649437805.16722,84599,0.0
1649437958.182203,85504,1.0
1649438159.174284,86727,0.0
1649438265.270778,87383,0.0
1649438359.5888147,87931,0.0
1649438647.747713,89677,0.0
1649438685.215247,89918,0.0
1649438899.049388,91219,0.0
1649438935.731134,91443,0.0
1649439054.125361,92160,0.0
1649439138.247901,92682,0.0
1649439185.892822,92951,0.0
1649439267.063696,93462,0.0
1649439468.224597,94695,0.0
1649439678.281844,95958,0.0
1649440014.37216,97973,0.0
1649440050.098797,98205,0.0
1649440142.093785,98767,0.0
1649440186.241823,99039,0.0
1649440690.275164,102091,0.0
1649440733.304413,102355,0.0
1649440853.899949,103066,0.0
1649440892.660755,103306,1.0
1649440979.308124,103836,0.0
1649441277.285497,105621,0.0
1649441350.937618,106071,0.0
1649441982.164255,109881,0.0
1649442016.81958,110091,0.0
1649442171.150201,111008,1.0
1649442330.529877,111967,0.0
1649442370.747402,112212,0.0
1649442405.341821,112423,0.0
1649442497.732474,112981,0.0
1649442577.843757,113471,0.0
1649442696.237858,114185,0.0
1649442856.054566,115118,0.0
1649443063.8653498,116363,0.0
1649443099.575749,116595,0.0
1649443217.882438,117325,0.0
1649443355.162976,118151,0.0
1649443400.962496,118428,0.0
1649443630.621428,119815,0.0
1649443668.083558,120047,0.0
1649443786.476324,120760,0.0
1649443927.718261,121623,0.0
1649444093.856193,122657,0.0
1649444222.421485,123426,0.0
1649444303.821239,123932,0.0
1649444493.857284,125075,0.0
1649444570.53698,125528,1.0
1649444604.807375,125740,1.0
1649444647.540138,126017,0.0
1649444928.194109,127705,0.0
1649444970.826604,127963,0.0
1649445136.963975,128974,0.0
1649445424.831757,130744,0.0
1649445589.064872,131720,0.0
1649445785.679324,132908,1.0
1649445946.57786,133873,0.0
1649446201.689541,135414,0.0
1649446322.754528,136170,0.0
1649446514.180082,137321,0.0
1649446597.924279,137809,0.0
1649446942.327661,139922,0.0
1649446984.04061,140141,0.0
1649447029.975912,140421,0.0
1649447066.659698,140656,0.0
1649447313.884782,142151,0.0
1649447346.807641,142352,0.0
1649447442.331606,142914,1.0
1649447647.873515,144174,0.0
1649447686.783898,144422,0.0
1649447728.798294,144678,0.0
1649447929.164793,145903,0.0
1649448058.827538,146682,0.0
1649448135.207054,147166,1.0
1649448296.398604,148120,0.0
1649448376.795721,148586,0.0
1649448641.8330472,150186,0.0
1649448742.37193,150815,1.0
1649448999.617132,152335,0.0
1649449239.019427,153794,0.0
1649449272.226064,153995,1.0
1649449615.661413,156074,0.0
1649449692.567452,156546,0.0
1649449730.205582,156791,0.0
1649449942.405549,158076,1.0
1649450106.654801,159070,0.0
1649450152.399259,159361,0.0
1649450365.172986,160658,0.0
1649450571.206302,161902,0.0
1649450939.806887,164111,0.0
1649451338.99775,166523,0.0
1649451768.029541,169098,0.0
1649451808.260008,169344,0.0
1649451969.352285,170308,0.0
1649452051.038703,170822,0.0
1649452181.79038,171596,0.0
1649452223.802559,171858,0.0
1649452266.947192,172133,0.0
1649452808.234157,175373,0.0
1649453001.936315,176546,0.0
1649453048.849264,176832,0.0
1649453971.445543,182440,0.0
1649454051.785118,182939,0.0
1649454138.312798,183452,0.0
1649454249.753516,184134,0.0
1649454590.355997,186202,0.0
1649454675.251453,186733,0.0
1649454723.226645,187027,0.0
1649454926.230109,188272,0.0
1649454982.130961,188569,0.0
1649455066.7613137,189088,0.0
1649455110.991319,189369,0.0
1649455316.257503,190608,1.0
1649455397.5418549,191074,0.0
1649455753.170175,193273,0.0
1649456254.640394,196278,0.0
1649456322.32436,196703,0.0
1649456460.787027,197521,0.0
1649456506.879436,197817,0.0
1649457365.9932077,203020,0.0
1649457890.983022,206191,1.0
1649457972.905978,206701,0.0
1649458096.396668,207420,0.0
1649458324.273325,208822,0.0
1649458532.037004,210068,0.0
1649458571.32714,210306,0.0
1649458658.232988,210815,0.0
1649458748.156796,211374,0.0
1649458927.88563,212452,0.0
1649459133.246737,213722,0.0
1649459539.913227,216170,0.0
1649459659.365794,216894,0.0
1649459700.535039,217150,1.0
1649459893.959896,218344,0.0
1649459973.076263,218851,0.0
1649460138.072433,219845,1.0
1649460372.722411,221284,0.0
1649460463.446633,221808,0.0
1649460614.969897,222763,1.0
1649460661.265557,223000,0.0
1649460703.642892,223263,0.0
1649460736.386665,223463,0.0
1649460952.189024,224811,1.0
1649460991.6938229,225052,0.0
1649461032.0663402,225261,0.0
1649461300.085366,226901,0.0
1649461340.424381,227154,0.0
1649461372.818344,227373,0.0
1649461565.318782,228521,1.0
1649461595.085104,228679,1.0
1649461633.948342,228920,0.0
1649461666.618832,229122,0.0
1649461709.908985,229392,0.0
1649461742.583746,229594,0.0
