Wall time,Step,Value
1649427237.695704,283,1.0
1649427316.556515,659,1.0
1649427453.668551,1373,0.0
1649427585.24854,2043,1.0
1649427698.191601,2585,0.0
1649428358.997771,5887,0.0
1649428470.89849,6437,0.0
1649428512.340759,6644,0.0
1649428866.714176,8424,0.0
1649428969.934553,8897,0.0
1649429195.471498,9917,0.0
1649429415.726578,10981,0.0
1649429512.97341,11454,0.0
1649429565.632145,11705,0.0
1649429828.4877157,13014,0.0
1649429878.869435,13239,0.0
1649429988.928768,13801,0.0
1649430147.811968,14568,0.0
1649430399.578874,15807,0.0
1649430977.302902,18817,0.0
1649431024.975553,19072,0.0
1649431797.193489,23232,0.0
1649431902.186275,23780,0.0
1649431950.376912,24042,0.0
1649432041.687615,24555,0.0
1649432371.942896,26353,0.0
1649432409.657757,26573,1.0
1649432828.802897,28838,0.0
1649433210.619196,30934,0.0
1649433291.626121,31370,0.0
1649433672.638164,33495,0.0
1649433755.789902,33954,0.0
1649433891.360133,34713,0.0
1649433999.677953,35285,0.0
1649434120.592682,35942,0.0
1649434484.008742,37952,0.0
1649434520.318736,38159,0.0
1649434559.177414,38378,0.0
1649434958.104999,40573,0.0
1649435055.018398,41094,0.0
1649435106.096901,41382,0.0
1649435497.614467,43536,0.0
1649435588.005227,44029,0.0
1649435637.865569,44314,0.0
1649435766.710428,45024,0.0
1649436016.408229,46464,0.0
1649436221.089305,47635,0.0
1649436296.541183,48076,0.0
1649436483.03741,49102,0.0
1649436564.821228,49578,0.0
1649436662.797625,50107,0.0
1649436749.741358,50620,0.0
1649437083.743153,52490,0.0
1649437315.219244,53778,0.0
1649437427.177845,54414,0.0
1649437670.898703,55726,0.0
1649437802.738904,56410,0.0
1649437989.591195,57417,0.0
1649438155.852979,58349,0.0
1649438210.196011,58620,0.0
1649438262.849843,58914,0.0
1649438457.918909,59984,0.0
1649438925.49315,62559,0.0
1649439018.558034,63092,0.0
1649439490.213745,65682,0.0
1649439577.093244,66140,1.0
1649439660.445375,66616,0.0
1649439709.230096,66889,0.0
1649439756.299107,67151,0.0
1649440019.956426,68563,0.0
1649440116.392153,69112,0.0
1649440207.448541,69617,0.0
1649440350.997585,70392,0.0
1649440388.358707,70602,0.0
1649440875.707834,73253,0.0
1649441081.53532,74395,0.0
1649441160.9872158,74818,0.0
1649441597.131752,77211,0.0
1649441913.986038,78933,0.0
1649442165.313372,80310,1.0
1649442698.326559,83229,0.0
1649443112.305318,85496,0.0
1649443203.480494,85977,0.0
1649443375.585261,86937,0.0
1649443432.581386,87222,0.0
1649443732.705364,88867,0.0
1649443818.769369,89317,0.0
1649444024.9469247,90453,0.0
1649444119.349696,90979,0.0
1649444222.1884422,91530,0.0
1649444260.478957,91741,0.0
1649444349.394356,92250,0.0
1649444627.4335213,93767,0.0
1649445179.185731,96820,0.0
1649445445.181298,98285,1.0
1649445608.71666,99193,0.0
1649445775.911988,100104,0.0
1649445911.353874,100868,0.0
1649446098.607696,101891,0.0
1649446197.509487,102417,0.0
1649446246.723357,102692,1.0
1649446334.466232,103189,0.0
1649446432.195844,103696,0.0
1649446476.192655,103939,0.0
1649446607.8384593,104675,0.0
1649446709.90625,105215,0.0
1649447029.303834,106971,0.0
1649447399.024097,108972,0.0
1649447494.357085,109504,0.0
1649447935.143098,111910,0.0
1649447986.051284,112160,0.0
1649448076.05837,112662,0.0
1649448447.081681,114687,0.0
1649448490.400478,114930,0.0
1649448811.408494,116682,0.0
1649448913.047746,117218,0.0
1649449002.747399,117724,1.0
1649449148.945741,118499,0.0
1649449284.487353,119252,1.0
1649449481.769327,120318,0.0
1649449683.2069,121409,0.0
1649449911.011933,122645,0.0
1649450220.913964,124341,0.0
1649450450.701123,125609,0.0
1649450803.392149,127579,0.0
1649451179.989813,129632,0.0
1649452014.462303,134327,0.0
1649452238.001563,135570,1.0
1649452442.953274,136747,0.0
1649452485.44628,136991,0.0
1649452998.8937302,139960,1.0
1649453675.94707,143766,1.0
1649453737.3781078,144091,0.0
1649453784.519,144358,0.0
1649453984.5982609,145473,1.0
1649454205.731178,146720,1.0
1649454252.013341,146957,1.0
1649455138.262528,151929,0.0
1649455260.0420392,152595,1.0
1649455722.122631,155195,0.0
1649455814.440138,155728,0.0
1649455853.899783,155963,0.0
1649456223.799901,158041,0.0
1649456271.509892,158324,0.0
1649456550.875296,159907,0.0
1649456770.404966,161148,1.0
1649457149.363137,163290,0.0
1649457263.324953,163909,0.0
