Wall time,Step,Value
1648977780.733443,211,1.0
1648977790.286924,272,1.0
1648977796.056919,310,1.0
1648978173.074306,2760,0.0
1648978354.607084,3897,0.0
1648978362.869514,3950,0.0
1648978494.242538,4893,0.0
1648978659.528144,5951,0.0
1648978817.673038,7016,0.0
1648978850.428113,7253,0.0
1648978875.153942,7424,0.0
1648978883.762516,7487,0.0
1648979102.023536,8986,0.0
1648979307.093843,10452,0.0
1648979315.972017,10520,0.0
1648979494.211037,11658,0.0
1648979518.082043,11833,0.0
1648979580.769499,12278,0.0
1648979622.206689,12569,0.0
1648979745.168019,13440,0.0
1648979781.643405,13705,0.0
1648979952.74207,14884,0.0
1648980059.420196,15645,0.0
1648980074.830814,15754,0.0
1648980200.217734,16660,0.0
1648980327.0408623,17467,0.0
1648980560.228123,19099,0.0
1648980564.619821,19130,0.0
1648980595.417285,19347,0.0
1648980737.310728,20355,0.0
1648980795.270529,20777,0.0
1648981087.193038,22806,0.0
1648981309.104656,24268,0.0
1648981355.929459,24618,0.0
1648981899.498711,28479,0.0
1648981993.245939,29096,0.0
1648982061.894218,29496,0.0
1648982083.108358,29650,0.0
1648982325.207536,31341,0.0
1648982372.031937,31669,0.0
1648982702.788237,33947,0.0
1648982768.310743,34407,0.0
1648982821.887882,34785,0.0
1648982831.303041,34850,0.0
1648982959.511132,35666,0.0
1648983196.218112,37326,0.0
1648983222.026319,37515,0.0
1648983329.614005,38269,0.0
1648983364.386034,38500,0.0
1648983986.545189,42822,0.0
1648983991.3778057,42852,0.0
1648984061.389556,43329,0.0
1648984064.940435,43353,0.0
1648984325.949306,45170,0.0
1648984330.170287,45201,0.0
1648984335.863032,45243,0.0
1648984485.095549,46280,0.0
1648984522.079757,46536,0.0
1648984596.578916,47033,0.0
1648984655.03186,47371,0.0
1648984719.132665,47818,0.0
1648984744.555596,47993,0.0
1648984832.502471,48612,0.0
1648985136.177706,50745,0.0
1648985144.372034,50804,0.0
1648985433.515119,52855,0.0
1648985574.560195,53760,0.0
1648985734.434481,54911,0.0
1648985766.552679,55144,0.0
1648985878.928199,55946,0.0
1648986125.083826,57674,0.0
1648986129.789322,57708,0.0
1648986306.1473176,58874,0.0
1648986405.498173,59516,0.0
1648986443.110392,59786,0.0
1648986605.2104902,60939,0.0
1648986639.221094,61191,0.0
1648986647.747098,61252,0.0
1648986729.30998,61835,0.0
1648986781.0973618,62211,0.0
1648986830.092479,62554,0.0
1648987029.164726,63943,0.0
1648987074.198178,64254,0.0
1648987125.887278,64621,0.0
1648987703.637452,68619,0.0
1648987833.684146,69540,0.0
1648987895.299084,69988,0.0
