Wall time,Step,Value
1649423866.192416,295,0.0
1649424056.608988,1444,49.0
1649424312.682745,2995,0.0
1649424675.6334283,5163,0.0
1649424709.241442,5365,126.0
1649424841.435112,6158,19.0
1649424967.8214903,6953,45.0
1649425133.895933,7948,9.0
1649425167.306834,8163,0.0
1649425297.204705,8931,0.0
1649425374.2292607,9407,50.0
1649425830.039235,12166,0.0
1649425874.9373467,12419,3.0
1649426026.898827,13362,9.0
1649426202.159935,14415,30.0
1649426289.381919,14921,14.0
1649426336.554512,15210,0.0
1649426370.838953,15434,0.0
1649426901.940747,18613,0.0
1649427007.175412,19266,42.0
1649427219.934958,20584,13.0
1649427580.77324,22766,0.0
1649427874.242628,24563,0.0
1649427916.230913,24767,1.0
1649428044.174232,25561,0.0
1649428286.067335,27042,1.0
1649428334.531912,27292,9.0
1649428463.662162,28107,0.0
1649428630.999865,29115,81.0
1649428713.9194303,29623,168.0
1649428916.939373,30860,103.0
1649429128.654271,32142,0.0
1649429273.393533,33022,43.0
1649429385.244123,33659,0.0
1649429674.875207,35447,0.0
1649430241.81911,38870,1.0
1649430290.569387,39165,49.0
1649430415.490012,39889,199.0
1649430582.857066,40900,255.0
1649430622.615233,41142,43.0
1649430694.857294,41591,0.0
1649430878.958775,42696,2.0
1649430968.352153,43269,28.0
1649431019.928964,43547,7.0
1649431053.798675,43762,0.0
1649431090.506885,43986,38.0
1649431599.201511,47048,1.0
1649431614.283173,47139,0.0
1649432087.932811,49995,0.0
1649432471.7909682,52307,19.0
1649432902.431121,54908,118.0
1649433379.17783,57819,167.0
1649433473.3405492,58366,59.0
1649433510.318028,58604,68.0
1649433592.372704,59118,31.0
1649433627.77006,59336,0.0
1649433667.732539,59540,0.0
1649433701.358795,59746,12.0
1649433824.119289,60520,0.0
1649433950.038277,61282,14.0
1649434113.501817,62256,6.0
1649434310.574212,63446,110.0
1649434417.597514,64126,80.0
1649434678.295347,65655,0.0
1649435218.4224987,68966,9.0
1649435361.4810402,69810,40.0
1649435397.246283,70038,0.0
1649435438.562167,70288,12.0
1649435481.1621833,70520,0.0
1649435602.742221,71294,182.0
1649435777.908587,72338,42.0
1649435915.060503,73156,0.0
1649436124.701722,74424,85.0
1649436367.353249,75898,0.0
1649436475.911799,76575,129.0
