Wall time,Step,Value
1649427237.695966,283,0.0
1649427316.556849,659,0.0
1649427453.668804,1373,0.0
1649427585.248798,2043,0.0
1649427698.191867,2585,0.0
1649428358.9980297,5887,0.0
1649428470.898745,6437,0.0
1649428512.341037,6644,0.0
1649428866.714433,8424,0.0
1649428969.934814,8897,0.0
1649429195.471821,9917,0.0
1649429415.726871,10981,0.0
1649429512.973688,11454,0.0
1649429565.632413,11705,0.0
1649429828.488064,13014,0.0
1649429878.869709,13239,0.0
1649429988.929052,13801,0.0
1649430147.812233,14568,0.0
1649430399.579129,15807,0.0
1649430977.30316,18817,0.0
1649431024.975816,19072,0.0
1649431797.193751,23232,0.0
1649431902.186534,23780,0.0
1649431950.377216,24042,0.0
1649432041.687867,24555,0.0
1649432371.943149,26353,0.0
1649432409.65801,26573,0.0
1649432828.803141,28838,0.0
1649433210.619443,30934,0.0
1649433291.626366,31370,0.0
1649433672.638412,33495,0.0
1649433755.790147,33954,0.0
1649433891.360381,34713,0.0
1649433999.678204,35285,0.0
1649434120.592927,35942,0.0
1649434484.008998,37952,0.0
1649434520.318985,38159,0.0
1649434559.177662,38378,0.0
1649434958.10529,40573,0.0
1649435055.018653,41094,0.0
1649435106.097184,41382,0.0
1649435497.614719,43536,0.0
1649435588.005474,44029,0.0
1649435637.865828,44314,0.0
1649435766.71067,45024,0.0
1649436016.408482,46464,0.0
1649436221.089552,47635,0.0
1649436296.541427,48076,0.0
1649436483.037656,49102,0.0
1649436564.821478,49578,0.0
1649436662.797882,50107,0.0
1649436749.741673,50620,0.0
1649437083.7434108,52490,0.0
1649437315.219496,53778,0.0
1649437427.178222,54414,0.0
1649437670.898947,55726,0.0
1649437802.739174,56410,0.0
1649437989.591446,57417,0.0
1649438155.8532617,58349,0.0
1649438210.196257,58620,0.0
1649438262.850097,58914,0.0
1649438457.919348,59984,0.0
1649438925.4933987,62559,0.0
1649439018.558284,63092,0.0
1649439490.213989,65682,0.0
1649439577.0935,66140,0.0
1649439660.445623,66616,0.0
1649439709.230343,66889,0.0
