Wall time,Step,Value
1649427237.696226,283,1.0
1649427316.557321,659,1.0
1649427453.669054,1373,0.0
1649427585.249133,2043,1.0
1649427698.192119,2585,0.0
1649428358.9983113,5887,0.0
1649428470.898995,6437,0.0
1649428512.341322,6644,0.0
1649428866.714673,8424,0.0
1649428969.935065,8897,0.0
1649429195.472078,9917,0.0
1649429415.727153,10981,0.0
1649429512.97398,11454,0.0
1649429565.632672,11705,0.0
1649429828.488384,13014,0.0
1649429878.869985,13239,0.0
1649429988.929495,13801,0.0
1649430147.812481,14568,0.0
1649430399.579535,15807,0.0
1649430977.303413,18817,0.0
1649431024.976069,19072,0.0
1649431797.193994,23232,0.0
1649431902.186789,23780,0.0
1649431950.377488,24042,0.0
1649432041.688114,24555,0.0
1649432371.943394,26353,0.0
1649432409.658261,26573,1.0
1649432828.803378,28838,0.0
1649433210.619682,30934,0.0
1649433291.626606,31370,0.0
1649433672.638662,33495,0.0
1649433755.790385,33954,0.0
1649433891.36062,34713,0.0
1649433999.678441,35285,0.0
1649434120.593201,35942,0.0
1649434484.009301,37952,0.0
1649434520.319225,38159,0.0
1649434559.177903,38378,0.0
1649434958.1055408,40573,0.0
1649435055.0189078,41094,0.0
1649435106.097427,41382,0.0
1649435497.614971,43536,0.0
1649435588.005713,44029,0.0
1649435637.86607,44314,0.0
1649435766.710905,45024,0.0
1649436016.408718,46464,0.0
1649436221.089788,47635,0.0
1649436296.541666,48076,0.0
1649436483.037893,49102,0.0
1649436564.821718,49578,0.0
1649436662.79813,50107,0.0
1649436749.741924,50620,0.0
1649437083.74384,52490,0.0
1649437315.219737,53778,0.0
1649437427.17852,54414,0.0
1649437670.899181,55726,0.0
1649437802.739444,56410,0.0
1649437989.591689,57417,0.0
1649438155.8534977,58349,0.0
1649438210.196492,58620,0.0
1649438262.850369,58914,0.0
1649438457.919588,59984,0.0
1649438925.4936347,62559,0.0
1649439018.55853,63092,0.0
1649439490.214224,65682,0.0
1649439577.093749,66140,1.0
1649439660.445865,66616,0.0
1649439709.230581,66889,0.0
1649439756.299759,67151,0.0
1649440019.956922,68563,0.0
1649440116.392649,69112,0.0
1649440207.449019,69617,0.0
1649440350.998067,70392,0.0
1649440388.359198,70602,0.0
1649440875.708316,73253,0.0
1649441081.535801,74395,0.0
1649441160.987703,74818,0.0
1649441597.132249,77211,0.0
1649441913.9865253,78933,0.0
1649442165.313867,80310,1.0
1649442698.327042,83229,0.0
1649443112.305813,85496,0.0
1649443203.4809878,85977,0.0
1649443375.585869,86937,0.0
1649443432.5819,87222,0.0
1649443732.705854,88867,0.0
1649443818.77005,89317,0.0
1649444024.947414,90453,0.0
1649444119.350187,90979,0.0
1649444222.18893,91530,0.0
1649444260.479442,91741,0.0
1649444349.394847,92250,0.0
