Wall time,Step,Value
1649427237.696482,283,0.22177419066429138
1649427316.557755,659,0.4652014672756195
1649427453.669312,1373,1.0
1649427585.249417,2043,0.012096773833036423
1649427698.192364,2585,1.0
1649428358.9985473,5887,1.0
1649428470.899234,6437,1.0
1649428512.341564,6644,1.0
1649428866.714909,8424,1.0
1649428969.935308,8897,1.0
1649429195.472318,9917,1.0
1649429415.727492,10981,1.0
1649429512.97429,11454,1.0
1649429565.632917,11705,1.0
1649429828.488687,13014,1.0
1649429878.870302,13239,1.0
1649429988.9299421,13801,1.0
1649430147.812722,14568,1.0
1649430399.579769,15807,1.0
1649430977.303653,18817,1.0
1649431024.976332,19072,1.0
1649431797.194232,23232,1.0
1649431902.187029,23780,1.0
1649431950.377727,24042,1.0
1649432041.688347,24555,1.0
1649432371.943627,26353,1.0
1649432409.658513,26573,0.8627451062202454
1649432828.803604,28838,1.0
1649433210.619909,30934,1.0
1649433291.626835,31370,1.0
1649433672.638894,33495,1.0
1649433755.790612,33954,1.0
1649433891.360847,34713,1.0
1649433999.678671,35285,1.0
1649434120.593435,35942,1.0
1649434484.009583,37952,1.0
1649434520.319454,38159,1.0
1649434559.178131,38378,1.0
1649434958.1058047,40573,1.0
1649435055.019152,41094,1.0
1649435106.09766,41382,1.0
1649435497.615221,43536,1.0
1649435588.00594,44029,1.0
1649435637.866305,44314,1.0
1649435766.711128,45024,1.0
1649436016.408952,46464,1.0
1649436221.090017,47635,1.0
1649436296.541897,48076,1.0
1649436483.038121,49102,1.0
1649436564.821948,49578,1.0
1649436662.798363,50107,1.0
1649436749.742177,50620,1.0
1649437083.744077,52490,1.0
1649437315.219968,53778,1.0
1649437427.178806,54414,1.0
1649437670.899404,55726,1.0
1649437802.7396927,56410,1.0
1649437989.591924,57417,1.0
1649438155.853725,58349,1.0
1649438210.196722,58620,1.0
1649438262.850603,58914,1.0
1649438457.919819,59984,1.0
1649438925.4938638,62559,1.0
1649439018.558764,63092,1.0
1649439490.2144513,65682,1.0
1649439577.094001,66140,0.9901960492134094
1649439660.446094,66616,1.0
1649439709.230813,66889,1.0
1649439756.299988,67151,1.0
1649440019.957201,68563,1.0
1649440116.392881,69112,1.0
1649440207.449297,69617,1.0
1649440350.998295,70392,1.0
1649440388.359428,70602,1.0
1649440875.708552,73253,1.0
1649441081.536029,74395,1.0
1649441160.987929,74818,1.0
1649441597.132483,77211,1.0
1649441913.986773,78933,1.0
1649442165.314115,80310,0.9768518805503845
1649442698.327268,83229,1.0
1649443112.3060448,85496,1.0
1649443203.481248,85977,1.0
1649443375.586115,86937,1.0
1649443432.582136,87222,1.0
1649443732.706084,88867,1.0
1649443818.770281,89317,1.0
1649444024.947646,90453,1.0
1649444119.350417,90979,1.0
1649444222.189195,91530,1.0
1649444260.47967,91741,1.0
1649444349.39508,92250,1.0
1649444627.434244,93767,1.0
1649445179.186442,96820,1.0
1649445445.182048,98285,0.4099617004394531
1649445608.7174923,99193,1.0
1649445775.91276,100104,1.0
1649445911.354615,100868,1.0
1649446098.608417,101891,1.0
1649446197.510202,102417,1.0
1649446246.7241,102692,0.9683098793029785
1649446334.466945,103189,1.0
1649446432.196579,103696,1.0
1649446476.1933959,103939,1.0
1649446607.839201,104675,1.0
1649446709.906986,105215,1.0
1649447029.304549,106971,1.0
1649447399.024822,108972,1.0
1649447494.357803,109504,1.0
1649447935.1438153,111910,1.0
1649447986.052007,112160,1.0
1649448076.0592577,112662,1.0
1649448447.082466,114687,1.0
1649448490.401312,114930,1.0
1649448811.409262,116682,1.0
1649448913.048467,117218,1.0
1649449002.74813,117724,0.9740740656852722
1649449148.9464908,118499,1.0
1649449284.488078,119252,0.9054054021835327
1649449481.770046,120318,1.0
1649449683.207621,121409,1.0
1649449911.012675,122645,1.0
1649450220.914688,124341,1.0
1649450450.701829,125609,1.0
1649450803.393089,127579,1.0
1649451179.990525,129632,1.0
1649452014.463046,134327,1.0
1649452238.002301,135570,0.043478261679410934
1649452442.953998,136747,1.0
1649452485.446991,136991,1.0
1649452998.894458,139960,0.9457626938819885
1649453675.947819,143766,0.9133333563804626
1649453737.378838,144091,1.0
1649453784.519716,144358,1.0
1649453984.598995,145473,0.424369752407074
1649454205.732084,146720,0.12184873968362808
1649454252.014265,146957,0.8943396210670471
1649455138.263247,151929,1.0
1649455260.04279,152595,0.6527196764945984
1649455722.123341,155195,1.0
1649455814.440862,155728,1.0
1649455853.900509,155963,1.0
1649456223.8006191,158041,1.0
1649456271.510613,158324,1.0
1649456550.876015,159907,1.0
1649456770.40572,161148,1.0
1649457149.363888,163290,1.0
1649457263.325713,163909,1.0
1649457362.596141,164466,1.0
1649457409.170987,164730,1.0
1649457656.427407,166119,1.0
1649457962.776125,167839,1.0
1649458003.337769,168045,1.0
1649458048.800443,168303,1.0
1649458132.5550332,168780,1.0
1649458225.183993,169294,1.0
1649458318.780443,169824,1.0
1649458399.153654,170280,1.0
1649458484.741221,170740,1.0
1649458811.988254,172551,1.0
1649458887.92707,172990,1.0
1649458938.69731,173278,1.0
1649458964.539059,173401,0.45724907517433167
1649459006.559445,173640,1.0
1649459243.36632,174961,1.0
1649459514.423952,176484,1.0
1649459612.258556,177024,1.0
1649459866.469953,178456,1.0
1649459906.0412369,178683,0.8937007784843445
1649460106.25121,179817,1.0
1649460390.404185,181409,0.9110169410705566
1649460990.595003,184842,0.8826087117195129
1649461036.290068,185090,1.0
1649461629.660542,188470,0.8814229369163513
1649461982.102632,190450,1.0
1649462206.557126,191719,1.0
1649462249.6884,191969,1.0
1649462332.094112,192421,1.0
1649462590.567397,193888,0.9236947894096375
1649462703.31063,194537,1.0
1649462852.991935,195372,0.0041841003112494946
1649463372.519699,198319,1.0
1649463499.3434997,199026,1.0
1649463667.93386,199990,1.0
1649463758.496798,200519,0.13765181601047516
1649463915.318939,201402,0.6584362387657166
1649464165.859638,202785,1.0
1649464253.397529,203291,0.003597122384235263
1649464351.424683,203828,0.9960317611694336
1649464423.169932,204247,1.0
1649464510.399648,204748,1.0
1649464609.14359,205300,1.0
1649464609.303591,205301,0.004273504484444857
1649465218.252957,208740,1.0
1649465353.167956,209502,1.0
1649465437.476868,209987,1.0
1649465452.213753,210073,0.3481781482696533
1649465634.2514787,211106,0.8945454359054565
1649465913.645205,212669,1.0
1649466120.724575,213861,1.0
1649466198.0189672,214320,0.8313252925872803
1649466504.865264,216046,1.0
