Wall time,Step,Value
1648977780.733695,211,0.0
1648977790.287199,272,0.0
1648977796.057203,310,0.0
1648978173.074555,2760,0.0
1648978354.607332,3897,0.0
1648978362.86976,3950,0.0
1648978494.24279,4893,0.0
1648978659.528393,5951,0.0
1648978817.6733,7016,9.0
1648978850.428361,7253,13.0
1648978875.1541948,7424,5.0
1648978883.762769,7487,0.0
1648979102.0237818,8986,0.0
1648979307.094091,10452,0.0
1648979315.972266,10520,2.0
1648979494.2112849,11658,3.0
1648979518.082292,11833,0.0
1648979580.769753,12278,0.0
1648979622.206935,12569,0.0
1648979745.168278,13440,1.0
1648979781.643662,13705,0.0
1648979952.742318,14884,0.0
1648980059.420449,15645,1.0
1648980074.831061,15754,0.0
1648980200.217983,16660,2.0
1648980327.041131,17467,1.0
1648980560.228405,19099,1.0
1648980564.6200662,19130,0.0
1648980595.4175382,19347,8.0
1648980737.310991,20355,1.0
1648980795.270771,20777,3.0
1648981087.193312,22806,0.0
1648981309.104907,24268,5.0
1648981355.929705,24618,4.0
1648981899.498961,28479,0.0
1648981993.246176,29096,3.0
1648982061.894474,29496,0.0
1648982083.108617,29650,1.0
1648982325.207785,31341,0.0
1648982372.032193,31669,10.0
1648982702.78849,33947,0.0
1648982768.310994,34407,5.0
1648982821.888132,34785,15.0
1648982831.3032923,34850,4.0
1648982959.51138,35666,0.0
1648983196.218363,37326,0.0
1648983222.026569,37515,0.0
1648983329.614256,38269,0.0
1648983364.386293,38500,0.0
1648983986.545445,42822,8.0
1648983991.378079,42852,11.0
1648984061.389807,43329,11.0
1648984064.940688,43353,1.0
1648984325.949565,45170,0.0
1648984330.17054,45201,0.0
1648984335.863285,45243,0.0
1648984485.0958,46280,1.0
1648984522.080007,46536,4.0
1648984596.579155,47033,4.0
1648984655.032109,47371,0.0
1648984719.1329176,47818,2.0
1648984744.555843,47993,0.0
1648984832.502724,48612,2.0
1648985136.177953,50745,5.0
1648985144.3722932,50804,2.0
1648985433.515373,52855,0.0
1648985574.560447,53760,0.0
1648985734.434743,54911,21.0
1648985766.55293,55144,5.0
1648985878.928441,55946,5.0
1648986125.084081,57674,4.0
1648986129.789574,57708,0.0
1648986306.147583,58874,6.0
1648986405.498432,59516,9.0
1648986443.110638,59786,0.0
1648986605.2107399,60939,0.0
1648986639.221348,61191,0.0
1648986647.747346,61252,7.0
1648986729.310228,61835,22.0
1648986781.097614,62211,0.0
1648986830.092737,62554,0.0
1648987029.164979,63943,0.0
1648987074.19843,64254,0.0
1648987125.887527,64621,0.0
1648987703.637893,68619,0.0
1648987833.684402,69540,0.0
1648987895.299338,69988,0.0
1648988087.424614,71208,0.0
1648988106.298736,71337,3.0
1648988280.000126,72556,0.0
1648988331.454004,72919,6.0
1648988455.749137,73780,8.0
1648988485.607035,73997,0.0
1648988744.920879,75760,0.0
1648988762.525649,75878,0.0
1648988819.725249,76271,0.0
1648989141.717816,78428,0.0
1648989210.271886,78914,0.0
1648989353.277307,79924,16.0
1648989476.268932,80779,0.0
1648989774.748492,82793,11.0
1648989815.5036259,83073,12.0
1648989941.78946,83945,0.0
1648990008.251151,84405,0.0
1648990201.518832,85748,2.0
1648990206.428192,85781,0.0
1648990219.111202,85863,19.0
1648990352.910527,86800,6.0
1648990358.114984,86837,0.0
1648990380.964813,86999,0.0
1648990602.554401,88488,1.0
1648990662.0162802,88856,0.0
1648991398.01105,93926,0.0
1648991762.977131,96337,13.0
1648991913.674245,97358,0.0
1648991973.142741,97766,0.0
1648992000.218036,97951,0.0
1648992156.095046,99037,0.0
1648992240.218525,99628,0.0
1648992694.742371,102633,3.0
1648992708.613764,102723,3.0
1648992899.079773,103976,12.0
1648992947.903382,104296,2.0
1648992960.475338,104377,2.0
1648993086.551929,105192,3.0
1648993157.77294,105652,0.0
1648993461.327701,107604,5.0
1648993632.152829,108688,5.0
1648993779.490653,109655,0.0
1648993975.347645,110904,9.0
1648994070.740389,111510,5.0
1648994169.643097,112150,3.0
1648994247.205487,112612,0.0
1648994358.117388,113269,0.0
1648994531.519895,114403,0.0
1648994639.482721,115100,2.0
1648994836.823849,116369,5.0
1648994883.17224,116667,0.0
1648994906.5761092,116824,0.0
1648995209.895941,118715,0.0
1648995223.446208,118810,12.0
1648995261.448656,119054,4.0
1648995569.974483,121111,0.0
1648995586.979176,121231,0.0
