Wall time,Step,Value
1648977780.733943,211,1.0
1648977790.287449,272,1.0
1648977796.0574841,310,1.0
1648978173.074798,2760,0.0
1648978354.607575,3897,0.0
1648978362.870005,3950,0.0
1648978494.243035,4893,0.0
1648978659.528636,5951,0.0
1648978817.6735423,7016,0.0
1648978850.428604,7253,0.0
1648978875.15444,7424,0.0
1648978883.763017,7487,0.0
1648979102.0240252,8986,0.0
1648979307.094332,10452,0.0
1648979315.972508,10520,0.0
1648979494.21153,11658,0.0
1648979518.082531,11833,0.0
1648979580.769999,12278,0.0
1648979622.207176,12569,0.0
1648979745.168523,13440,0.0
1648979781.643914,13705,0.0
1648979952.742562,14884,0.0
1648980059.420699,15645,0.0
1648980074.831304,15754,0.0
1648980200.218225,16660,0.0
1648980327.041379,17467,0.0
1648980560.228676,19099,0.0
1648980564.620306,19130,0.0
1648980595.417783,19347,0.0
1648980737.311241,20355,0.0
1648980795.271012,20777,0.0
1648981087.193561,22806,0.0
1648981309.105178,24268,0.0
1648981355.929948,24618,0.0
1648981899.499204,28479,0.0
1648981993.246406,29096,0.0
1648982061.89472,29496,0.0
1648982083.108862,29650,0.0
1648982325.208032,31341,0.0
1648982372.03244,31669,0.0
1648982702.788741,33947,0.0
1648982768.3112419,34407,0.0
1648982821.888376,34785,0.0
1648982831.303539,34850,0.0
1648982959.511619,35666,0.0
1648983196.2186103,37326,0.0
1648983222.026809,37515,0.0
1648983329.614506,38269,0.0
1648983364.386547,38500,0.0
1648983986.545695,42822,0.0
1648983991.378329,42852,0.0
1648984061.390052,43329,0.0
1648984064.940932,43353,0.0
1648984325.949816,45170,0.0
1648984330.170792,45201,0.0
1648984335.863535,45243,0.0
1648984485.096044,46280,0.0
1648984522.080259,46536,0.0
1648984596.57939,47033,0.0
1648984655.032354,47371,0.0
1648984719.133188,47818,0.0
1648984744.556087,47993,0.0
1648984832.502972,48612,0.0
1648985136.178198,50745,0.0
1648985144.372542,50804,0.0
1648985433.5156167,52855,0.0
1648985574.56069,53760,0.0
1648985734.4349933,54911,0.0
1648985766.55319,55144,0.0
1648985878.928683,55946,0.0
1648986125.084327,57674,0.0
1648986129.78982,57708,0.0
1648986306.147832,58874,0.0
1648986405.498679,59516,0.0
1648986443.110881,59786,0.0
1648986605.210981,60939,0.0
1648986639.221591,61191,0.0
1648986647.747588,61252,0.0
1648986729.310473,61835,0.0
1648986781.097862,62211,0.0
1648986830.092983,62554,0.0
1648987029.165264,63943,0.0
1648987074.198675,64254,0.0
1648987125.88777,64621,0.0
1648987703.6381392,68619,0.0
1648987833.684651,69540,0.0
1648987895.299587,69988,0.0
1648988087.424862,71208,0.0
1648988106.298981,71337,0.0
1648988280.000368,72556,0.0
1648988331.454246,72919,0.0
1648988455.749385,73780,0.0
1648988485.607288,73997,0.0
1648988744.921156,75760,0.0
1648988762.525897,75878,0.0
1648988819.7255,76271,0.0
1648989141.71806,78428,0.0
1648989210.272129,78914,0.0
1648989353.277552,79924,0.0
1648989476.269218,80779,0.0
1648989774.748734,82793,0.0
1648989815.503877,83073,0.0
1648989941.789705,83945,0.0
1648990008.251586,84405,0.0
1648990201.519076,85748,0.0
1648990206.428442,85781,0.0
1648990219.1114533,85863,0.0
1648990352.910775,86800,0.0
1648990358.115228,86837,0.0
1648990380.965072,86999,0.0
1648990602.554646,88488,0.0
1648990662.0165231,88856,0.0
1648991398.011296,93926,0.0
1648991762.977383,96337,0.0
1648991913.674492,97358,0.0
1648991973.142983,97766,0.0
1648992000.21828,97951,0.0
1648992156.095292,99037,0.0
1648992240.218771,99628,0.0
1648992694.742617,102633,0.0
1648992708.614014,102723,0.0
1648992899.080022,103976,0.0
1648992947.9036307,104296,0.0
1648992960.475583,104377,0.0
1648993086.55218,105192,0.0
1648993157.7732038,105652,0.0
1648993461.327947,107604,0.0
1648993632.153087,108688,0.0
1648993779.490896,109655,0.0
1648993975.347893,110904,0.0
1648994070.740635,111510,0.0
1648994169.643345,112150,0.0
1648994247.205739,112612,0.0
1648994358.117634,113269,0.0
1648994531.520142,114403,0.0
1648994639.482968,115100,0.0
1648994836.824093,116369,0.0
1648994883.172489,116667,0.0
1648994906.57636,116824,0.0
1648995209.896178,118715,0.0
1648995223.446455,118810,0.0
1648995261.448896,119054,0.0
1648995569.974725,121111,0.0
1648995586.97942,121231,0.0
1648995651.38551,121682,0.0
1648995713.434727,122109,0.0
1648996061.851277,124488,0.0
1648996497.820849,127429,0.0
1648996590.689196,128062,0.0
1648996690.82078,128766,0.0
1648996924.028194,130375,0.0
1648996990.524487,130784,0.0
1648997106.829529,131626,0.0
1648997347.736939,133312,0.0
1648997483.54846,134253,0.0
1648997665.144102,135522,0.0
1648997690.356721,135705,0.0
1648998011.7579,137891,0.0
1648998150.826909,138883,0.0
1648998188.198269,139146,0.0
1648998226.220518,139407,0.0
1648998334.744726,140173,0.0
1648998960.189732,144455,0.0
1648999067.575825,145241,0.0
1648999175.717426,146011,0.0
1648999306.595603,146970,0.0
1648999807.581849,150426,0.0
1648999820.249726,150509,0.0
1648999932.515978,151243,0.0
1649000298.681886,153318,0.0
1649000354.450259,153626,0.0
1649000382.255461,153792,0.0
1649000433.098017,154068,0.0
1649000459.990356,154219,0.0
1649000589.8452983,154860,0.0
1649000947.649838,156845,0.0
1649001103.101635,157703,0.0
1649001259.566427,158557,0.0
1649001371.814654,159240,0.0
1649001621.162817,160591,0.0
1649002336.437134,164385,0.0
1649002539.437954,165509,0.0
1649002730.248508,166539,0.0
1649002832.784311,167050,0.0
1649002890.5458162,167369,0.0
1649002963.379044,167783,0.0
1649003028.360426,168141,0.0
1649003101.185483,168547,0.0
1649003190.8260832,169028,0.0
1649003214.901511,169151,0.0
1649003314.556437,169696,0.0
1649003536.3950698,170940,0.0
1649003723.259933,171931,0.0
1649003852.093206,172579,0.0
1649004057.257194,173685,0.0
1649004080.091537,173806,0.0
1649004484.456255,176000,0.0
1649004510.095602,176144,0.0
1649004975.684142,178597,0.0
1649005099.346823,179289,0.0
1649005484.041974,181422,0.0
