Wall time,Step,Value
1648977780.734207,211,0.3574468195438385
1648977790.287778,272,0.0043668122962117195
1648977796.057791,310,0.06329113990068436
1648978173.075032,2760,1.0
1648978354.607807,3897,1.0
1648978362.870237,3950,1.0
1648978494.243271,4893,1.0
1648978659.528867,5951,1.0
1648978817.673773,7016,1.0
1648978850.428834,7253,1.0
1648978875.154672,7424,1.0
1648978883.763254,7487,1.0
1648979102.024255,8986,1.0
1648979307.09456,10452,1.0
1648979315.97274,10520,1.0
1648979494.211763,11658,1.0
1648979518.0827572,11833,1.0
1648979580.770238,12278,1.0
1648979622.207406,12569,1.0
1648979745.168898,13440,1.0
1648979781.644153,13705,1.0
1648979952.742797,14884,1.0
1648980059.420934,15645,1.0
1648980074.831534,15754,1.0
1648980200.218455,16660,1.0
1648980327.0416121,17467,1.0
1648980560.228916,19099,1.0
1648980564.620539,19130,1.0
1648980595.418021,19347,1.0
1648980737.311479,20355,1.0
1648980795.271242,20777,1.0
1648981087.193811,22806,1.0
1648981309.105412,24268,1.0
1648981355.930177,24618,1.0
1648981899.499437,28479,1.0
1648981993.246624,29096,1.0
1648982061.894955,29496,1.0
1648982083.10912,29650,1.0
1648982325.208267,31341,1.0
1648982372.032671,31669,1.0
1648982702.788974,33947,1.0
1648982768.311476,34407,1.0
1648982821.888609,34785,1.0
1648982831.303772,34850,1.0
1648982959.511851,35666,1.0
1648983196.218848,37326,1.0
1648983222.0270417,37515,1.0
1648983329.614744,38269,1.0
1648983364.386791,38500,1.0
1648983986.54593,42822,1.0
1648983991.378569,42852,1.0
1648984061.390291,43329,1.0
1648984064.941186,43353,1.0
1648984325.950061,45170,1.0
1648984330.171031,45201,1.0
1648984335.86377,45243,1.0
1648984485.096277,46280,1.0
1648984522.080495,46536,1.0
1648984596.579612,47033,1.0
1648984655.03259,47371,1.0
1648984719.133429,47818,1.0
1648984744.556317,47993,1.0
1648984832.503211,48612,1.0
1648985136.1784298,50745,1.0
1648985144.372777,50804,1.0
1648985433.515852,52855,1.0
1648985574.560927,53760,1.0
1648985734.435231,54911,1.0
1648985766.553428,55144,1.0
1648985878.92891,55946,1.0
1648986125.084565,57674,1.0
1648986129.79005,57708,1.0
1648986306.148071,58874,1.0
1648986405.498911,59516,1.0
1648986443.111112,59786,1.0
1648986605.211211,60939,1.0
1648986639.221823,61191,1.0
1648986647.747819,61252,1.0
