Wall time,Step,Value
1648154878.388057,735,0.0
1648155038.351454,1623,0.0
1648155254.0092502,2863,0.0
1648155338.710906,3372,0.0
1648155377.087308,3598,0.0
1648155527.856375,4464,0.0
1648155649.890698,5210,0.0
1648155766.460711,5894,0.0
1648155846.999652,6372,0.0
1648156115.849127,7893,0.0
1648156302.28572,8991,0.0
1648156352.786731,9268,0.0
1648156600.507598,10706,0.0
1648156878.13827,12309,0.0
1648156961.732303,12820,0.0
1648157139.570851,13830,0.0
1648157251.452464,14466,0.0
1648157476.492552,15789,0.0
1648157510.718927,15996,0.0
1648157640.4193122,16725,0.0
1648157761.705494,17459,0.0
1648157898.971714,18256,0.0
1648158067.844069,19241,0.0
1648158146.275238,19738,0.0
1648158383.1940072,21178,0.0
1648158650.759245,22746,0.0
1648158707.520396,23039,0.0
1648158795.491391,23585,0.0
1648158833.82964,23812,0.0
1648158879.602355,24090,0.0
1648159039.618294,25037,0.0
1648159156.268656,25703,0.0
1648159203.15748,25985,0.0
1648159238.578322,26200,0.0
1648159750.6475017,29222,0.0
1648159997.486676,30694,0.0
1648160204.839704,31905,0.0
1648160377.837703,32919,0.0
1648160424.720672,33203,0.0
1648160464.924344,33467,0.0
1648160529.104808,33875,0.0
1648161347.596177,38753,0.0
1648161472.467055,39457,0.0
1648161963.16433,42399,0.0
1648162047.330501,42866,0.0
1648162777.435165,47257,0.0
1648163333.463334,50627,0.0
1648163408.7522528,51094,0.0
1648163562.572175,52001,0.0
1648164029.32274,54781,0.0
1648164542.470122,57778,0.0
1648164671.496443,58584,0.0
1648164888.909073,59874,0.0
1648164982.485863,60401,0.0
1648165027.212821,60681,0.0
1648165103.233771,61148,0.0
1648165195.843091,61711,0.0
1648165351.697649,62678,0.0
1648165421.189456,63118,0.0
1648166042.143248,66837,0.0
1648166427.221493,69107,0.0
1648166513.699099,69643,0.0
1648166591.374468,70118,0.0
1648166724.996785,70884,0.0
1648167156.807784,73461,0.0
1648167282.1637802,74175,0.0
1648167365.851268,74700,0.0
1648167443.758779,75178,0.0
1648167518.107428,75616,0.0
1648167634.730026,76390,0.0
1648167690.470164,76683,0.0
1648167771.637252,77205,0.0
1648167999.648206,78606,0.0
1648168250.217895,80126,0.0
1648168522.447645,81712,0.0
1648168605.85922,82221,0.0
1648168781.249906,83278,0.0
1648168912.769651,84105,0.0
1648169177.060261,85648,0.0
1648169348.467828,86716,0.0
1648169508.053831,87672,0.0
1648169782.418211,89300,0.0
1648169935.755137,90302,0.0
1648170073.268828,91121,0.0
1648170156.635803,91640,0.0
1648170312.248801,92574,0.0
1648170348.906406,92801,0.0
1648170392.971402,93027,0.0
1648170467.098102,93496,0.0
1648170511.111392,93770,0.0
1648170927.097706,96250,0.0
1648171012.934284,96736,0.0
1648171134.62323,97506,0.0
1648171312.245146,98553,0.0
1648171564.452141,100066,0.0
1648171650.498598,100548,0.0
1648171699.349752,100847,0.0
1648172026.093922,102877,0.0
1648172151.784734,103654,0.0
1648173141.321323,109557,0.0
1648173259.122463,110299,0.0
1648173431.45259,111327,0.0
1648173680.21155,112815,0.0
1648173974.61212,114559,0.0
1648174021.082722,114843,0.0
1648174065.96389,115118,0.0
1648174144.732349,115562,0.0
1648174486.696736,117725,0.0
1648174830.914223,119782,0.0
1648174945.757438,120493,0.0
1648175083.361761,121312,0.0
1648175298.399356,122600,0.0
1648175429.605418,123382,0.0
1648175508.4500842,123873,0.0
1648175648.47862,124685,0.0
1648175683.103216,124909,0.0
1648175731.43706,125204,0.0
1648175776.654559,125479,0.0
1648175902.977158,126209,0.0
1648176152.309374,127715,0.0
1648176344.360526,128864,0.0
1648176503.256193,129842,0.0
1648176677.297678,130970,0.0
1648176752.556229,131402,0.0
1648176993.838087,132853,0.0
1648177120.662873,133600,0.0
1648177208.434747,134151,0.0
1648177389.806695,135239,0.0
1648177543.145574,136146,0.0
1648177687.623485,137063,0.0
1648177727.2498024,137265,0.0
1648177803.304788,137750,0.0
1648178195.731755,140106,0.04612546041607857
1648178351.568222,140999,0.0
1648178398.06282,141299,0.0
1648178432.907386,141514,0.0
1648178471.852366,141756,0.0
1648178831.005955,143980,0.0
1648178870.99036,144232,0.0
1648179323.487294,146904,0.0
1648179490.972098,147937,0.0
1648179684.118754,149115,0.0
1648180016.429344,151071,0.0
1648180144.999028,151825,0.0
1648180287.476489,152704,0.0
1648180329.901283,152966,0.0
1648180459.786647,153721,0.0
1648180495.080256,153937,0.0
1648180698.003218,155194,0.0
1648181441.549902,159698,0.0
1648181519.5427089,160182,0.0
1648181611.61276,160712,0.0
1648181780.525592,161769,0.0
1648181819.443371,161971,0.0
1648181865.3990521,162254,0.0
1648182236.479667,164479,0.0
1648182395.61728,165479,0.0
1648182439.186411,165699,0.0
1648182556.099809,166435,0.0
1648182669.52891,167094,0.0
1648182797.642664,167906,0.0
1648182918.373252,168663,0.0
1648182954.518589,168887,0.0
1648183248.144415,170620,0.0
1648183325.681766,171114,0.0
1648183400.295301,171573,0.0
1648183629.3895261,172958,0.0
1648184100.155832,175752,0.0
1648184371.957379,177402,0.0
1648184490.234336,178087,0.0
1648184524.910096,178302,0.0
1648184749.049964,179648,0.0
1648184986.511108,181173,0.0
1648185061.353119,181636,0.0
1648185116.773754,181925,0.0
1648185249.363159,182750,0.0
1648185337.390743,183246,0.0
1648185482.04165,184155,0.0
1648186257.8680298,188821,0.0
1648186553.981663,190577,0.0
1648186639.150692,191115,0.0
1648186683.663427,191388,0.0
1648186760.3990521,191818,0.7395263910293579
1648186949.064805,192984,0.0
1648186990.713843,193243,0.0
1648187245.838045,194863,0.0
1648187331.606946,195394,0.0
1648187680.014827,197494,0.0
1648187892.00846,198779,0.0
1648187979.567895,199320,0.0
1648188149.395453,200330,0.0
1648188185.1206179,200550,0.0
1648188275.647,201075,0.7513571977615356
1648188308.828281,201277,0.0
1648188694.419174,203592,0.0
1648188819.192954,204385,0.0
1648188957.024542,205228,0.0
1648189044.41312,205742,0.0
1648189396.109351,207949,0.0
1648189448.091678,208221,0.0
1648189560.9097407,208924,0.0
1648189603.098181,209199,0.0
1648189647.024562,209425,0.0
1648190033.513522,211750,0.0
1648190198.234827,212764,0.0
1648190237.5544362,212972,0.0
1648190284.929852,213264,0.0
1648190332.618383,213551,0.0
1648190378.975472,213838,0.0
1648190556.4163613,214917,0.0
1648190595.326795,215153,0.0
1648190629.2361,215360,0.0
1648190679.335507,215640,0.0
1648190851.260191,216708,0.0
1648191341.343515,219729,0.0
1648191454.115123,220433,0.8404099345207214
1648191668.641844,221735,0.0
1648191717.082614,221998,0.0
1648191923.309358,223243,0.0
1648192301.801488,225530,0.0
1648192354.930609,225820,0.0
1648192473.623277,226551,0.0
1648192938.606656,229355,0.0
1648193092.003631,230297,0.6966443061828613
1648193301.994556,231613,0.0
1648193626.557982,233553,0.0
1648193799.895739,234605,0.0
1648194150.525423,236714,0.0
1648194269.696699,237415,0.0
1648194436.874403,238404,0.0
1648194476.736393,238648,0.0
1648194596.531508,239389,0.0
1648194793.487527,240576,0.0
1648195075.215825,242294,0.0
1648195250.793697,243348,0.0
1648195435.051161,244503,0.0
1648195482.081465,244799,0.0
1648196109.274474,248591,0.0
1648196704.042231,252197,0.0
1648196736.886383,252401,0.0
1648196911.678934,253454,0.7538759708404541
1648197118.324908,254735,0.0
1648197578.574745,257578,0.817619800567627
1648197770.499501,258753,0.6233183741569519
1648197800.508512,258935,0.6452282071113586
1648197882.518704,259418,0.0
1648198171.488179,261181,0.0
1648198203.620102,261378,0.9498680830001831
1648198294.576003,261913,0.0
1648198323.652165,262092,0.6974790096282959
1648198487.712245,263077,0.0
1648198925.427372,265719,0.5323973894119263
1648198962.480701,265980,0.0
1648199088.6153827,266731,0.0
1648199205.701664,267477,0.8377425074577332
1648199400.906143,268681,0.7949259877204895
1648199445.904911,268935,0.7601918578147888
1648199522.233882,269410,0.8654970526695251
1648199567.604585,269689,0.8504902124404907
1648199806.404097,271152,0.0
1648200051.390264,272601,0.6503225564956665
1648200129.880744,273092,0.0
1648200405.939341,274775,0.8684684634208679
1648200691.600509,276501,0.0
1648200889.065455,277694,0.7771739363670349
1648200918.979496,277905,0.7865459322929382
1648200999.053779,278397,0.0
1648201079.71889,278873,0.0
1648201252.351807,279959,0.0
1648201376.723105,280739,0.0
1648201418.437742,280956,0.0
1648201573.663208,281943,0.0
1648201754.14887,283029,0.0
1648201788.798144,283242,0.0
1648203014.7268,290739,0.0
1648203368.215392,292923,0.0
1648203405.943621,293165,0.7204884886741638
1648203564.465505,294130,0.0
1648203641.619097,294614,0.9354243278503418
1648203965.549811,296585,0.0
1648204142.277586,297632,0.7992831468582153
1648204226.672864,298181,0.0
1648204253.787815,298350,0.7266187071800232
1648204295.307001,298557,0.0
1648204531.320096,299996,0.0
1648204653.524481,300765,0.0
1648204843.61534,301960,0.6361829042434692
1648204929.15636,302444,0.0
1648205129.247889,303700,0.7745839357376099
1648205331.051401,304915,0.0
1648205430.678734,305556,0.0
1648205849.979202,308080,0.7815533876419067
1648206004.201007,308997,0.0
1648206084.352402,309469,0.0
1648206118.9561348,309683,0.0
1648206284.307825,310679,0.0
1648206571.484678,312450,0.0
1648206840.990669,314139,0.0
1648206917.877531,314574,0.9048724174499512
1648207325.297885,317101,0.8247232437133789
1648207370.1598783,317382,0.24807198345661163
1648207866.328305,320386,0.0
1648207942.082174,320858,0.0
1648208056.293901,321546,0.8188405632972717
1648208095.542788,321793,0.25806450843811035
1648208585.834765,324768,0.6568848490715027
1648208616.374466,324972,0.0
1648208753.184389,325820,0.0
1648209186.745424,328505,0.0
1648209558.542266,330745,0.0
1648209700.062923,331591,0.0
1648209788.368111,332140,0.8316008448600769
1648209980.352404,333310,0.0
1648210099.326334,334014,0.5892857313156128
1648210137.774743,334253,0.0
1648210247.186674,334937,0.7655860185623169
1648210297.325679,335212,0.8715953230857849
1648210330.844398,335417,0.7057496905326843
1648210413.129264,335928,0.8623063564300537
1648210540.292076,336723,0.784679114818573
1648210794.09729,338260,0.0
1648210833.784541,338527,0.725806474685669
1648210989.104971,339483,0.808474600315094
1648211136.929976,340357,0.7530120611190796
1648211290.229691,341270,0.8939096331596375
1648211610.224966,343239,0.0
1648211799.028202,344382,0.7846153974533081
1648211835.273672,344604,0.6957746744155884
1648211951.178901,345299,0.8271604776382446
1648211987.496537,345529,0.657952070236206
1648212027.913432,345789,0.0
1648212119.921048,346341,0.8058968186378479
1648212652.969138,349618,0.0
1648212702.563703,349901,0.9177215099334717
1648212728.548434,350098,0.7309321761131287
1648213162.089516,352780,0.0
1648213205.288764,353049,0.4082396924495697
1648213244.843797,353295,0.0
1648213288.389968,353524,0.8137603998184204
1648213318.785559,353729,0.0
1648213363.903173,354006,0.8181818127632141
1648213396.553862,354208,0.5039370059967041
1648213715.275218,356122,0.5928571224212646
1648213838.922291,356901,0.0
1648214070.201074,358270,0.0
1648214277.297047,359548,0.0
1648214656.063596,361964,0.0
1648214945.835867,363705,0.792792797088623
1648214983.712335,363946,0.0
1648215048.903047,364353,0.7364531755447388
1648215213.796088,365365,0.0
1648215330.67025,366073,0.0
1648215447.532044,366795,0.7931034564971924
1648215573.9866776,367569,0.0
1648215614.504633,367824,0.940446674823761
