Wall time,Step,Value
1649696257.972834,3,0.03976435959339142
1649696267.316965,456,0.0
1649696272.668092,686,0.0
1649696277.152012,691,0.0
1649696285.054999,949,0.0
1649696285.118787,952,0.0
1649696290.607099,1195,0.0
1649696290.664878,1198,0.03316953405737877
1649696290.689568,1199,0.0
1649696330.82341,1493,0.0
1649696363.46683,1720,0.0
1649696564.733789,3073,0.0
1649696648.672433,3655,0.0
1649696688.164508,3922,0.0
1649696802.307219,4669,0.0
1649696844.703132,4954,0.0
1649697065.531975,6424,0.0
1649697138.185701,6924,0.0
1649697364.047341,8463,0.0
1649697409.017846,8749,0.0
1649697488.351821,9298,0.0
1649697557.964232,9793,0.0
1649697876.165404,12004,0.0
1649698072.343797,13397,0.0
1649698117.590961,13692,0.0
1649698266.579338,14776,0.0
1649698302.7594147,15007,0.0
1649698374.167463,15529,0.0
1649698582.595763,17033,0.0
1649698619.095553,17313,0.0
1649698695.871271,17836,0.0
1649698734.95673,18124,0.0
1649698773.1405103,18406,0.0
1649698806.473035,18651,0.0
1649698885.927904,19211,0.0
1649699228.246017,21654,0.0
1649699265.570487,21927,0.0
1649699514.195702,23757,0.0
1649699712.676038,25087,0.0
1649699960.203596,26753,0.0
1649700108.799797,27753,0.0
1649700291.2545202,28972,0.0
1649700499.159939,30387,0.0
1649700596.505771,31050,0.0
1649700642.378929,31338,0.0
1649700760.141719,32154,0.0
1649700981.5755572,33664,0.0
1649701060.240541,34183,0.0
1649701120.739261,34607,0.0
1649701610.004272,37946,0.0
1649701857.186279,39646,0.0
1649702119.342834,41412,0.0
1649702192.232228,41921,0.0
1649702296.689495,42616,0.5113043189048767
1649702337.494018,42895,0.0
1649702446.38838,43652,0.0
1649702489.494362,43918,0.0
1649702677.626941,45187,0.0
1649703114.708718,48138,0.0
1649703213.73996,48802,0.0
1649703731.778979,52322,0.0
1649704068.093377,54579,0.0
1649704176.970481,55293,0.0
1649704381.244352,56668,0.0
1649704538.640154,57716,0.0
1649704657.629695,58534,0.0
1649704849.476786,59815,0.0
1649704885.902248,60031,0.0
1649705041.419817,61090,0.0
1649705088.349263,61389,0.0
1649705130.760474,61681,0.0
1649705655.289036,65201,0.0
1649705720.107751,65647,0.0
1649705900.771074,66858,0.0
1649706265.940951,69295,0.0
1649706418.392398,70306,0.0
1649706627.994124,71697,0.0
1649706756.18753,72572,0.0
1649707235.887204,75737,0.0
1649707275.280253,75939,0.0
1649707459.00644,76939,0.0
1649707559.73358,77611,0.0
