Wall time,Step,Value
1648154482.186895,658,0.0
1648154496.169388,999,0.0
1648154630.237466,1551,0.0
1648154793.217112,2001,0.0
1648155071.566143,2783,0.0
1648155372.323965,3624,0.0
1648155899.064392,5150,0.0
1648155988.013826,5403,0.0
1648156497.706744,6787,0.0
1648156507.452702,6814,0.0
1648156675.025882,7273,0.0
1648157073.801199,8437,0.0
1648157335.448517,9219,0.0
1648157344.252112,9246,0.0
1648157593.162089,10012,0.0
1648157924.276329,11028,0.0
1648158042.127123,11390,0.0
1648158363.566555,12278,0.0
1648158525.064669,12763,0.0
1648158853.6218328,13760,0.0
1648158919.215144,13955,0.0
1648159016.67065,14246,0.0
1648159099.24744,14502,0.0
1648159365.131971,15313,0.0
1648159888.80778,16925,0.0
1648160208.4325767,17857,0.0
1648160522.594001,18820,0.0
1648160632.857665,19160,0.0
1648161057.95841,20492,0.0
1648161319.494286,21294,0.0
1648161604.827297,22198,0.0
1648162203.496646,24020,0.0
1648162345.120419,24464,0.0
1648162461.859852,24831,0.0
1648162605.174549,25276,0.0
1648162921.324122,26249,0.0
1648163018.893935,26559,0.0
1648163027.088912,26585,0.0
1648163190.369509,27090,0.0
1648163226.8042712,27205,0.0
1648163324.206638,27510,0.0
1648163652.1235478,28526,0.0
1648164718.317615,31813,0.0
1648164887.739668,32333,0.0
1648165122.160961,33057,0.0
1648165284.645948,33566,0.0
1648165512.874405,34265,0.0
1648165742.909743,34948,0.0
1648165752.605693,34975,0.0
1648165883.2593627,35323,0.0
1648166019.884023,35729,0.0
1648166050.882272,35825,0.0
1648166332.870469,36712,0.0
1648166437.060129,37023,0.0
1648166455.8966737,37080,0.0
1648166808.977379,38161,0.0
1648167195.441533,39361,0.0
1648167668.188229,40794,0.0
1648167838.255037,41272,0.0
1648167920.243239,41531,0.0
1648168456.486269,43211,0.0
1648168679.069368,43906,0.0
1648168873.7392588,44508,0.0
1648169027.974288,44989,0.0
1648169469.677498,46362,0.0
1648169779.182561,47260,0.0
1648170205.328519,48582,0.0
1648170215.472016,48612,0.0
1648170250.009209,48720,0.0
1648170510.406594,49528,0.0
1648170749.660734,50284,0.0
1648170953.800197,50916,0.0
1648171263.429474,51856,0.0
1648171608.730863,52861,0.0
1648171779.235686,53387,0.0
1648171953.247447,53915,0.0
1648172355.695823,55175,0.0
1648172413.279296,55349,0.0
1648173072.67009,57340,0.0
1648173109.342551,57452,0.0
1648173209.006416,57741,0.0
1648173363.306885,58163,0.0
1648173579.330734,58829,0.0
1648173733.479938,59302,0.0
1648173886.713122,59757,0.0
1648173954.756068,59957,0.0
1648175121.168077,63501,0.0
1648175209.856364,63727,0.0
1648175230.313326,63789,0.0
1648175240.812515,63821,0.0
1648175589.532181,64908,0.0
1648175609.273728,64968,0.0
1648175965.432827,66050,0.0
1648176565.209536,67936,0.0
1648176582.942118,67991,0.0
1648176775.409777,68619,0.0
1648177046.793257,69404,0.0
1648177090.863088,69540,0.0
1648177109.500782,69596,0.0
1648177197.35406,69874,0.0
1648177279.403519,70120,0.0
1648177557.642729,70988,0.0
1648177768.761335,71655,0.0
1648177912.634706,72100,0.0
1648178727.813648,74629,0.0
1648178843.383898,74953,0.0
1648178955.273193,75300,0.0
1648178977.06638,75365,0.0
1648179180.592736,76017,0.0
1648179543.589233,77155,0.0
1648179772.632747,77861,0.0
1648179850.411909,78108,0.0
1648180210.778141,79278,0.0
1648180289.434006,79547,0.0
1648181190.317012,82378,0.0
1648181254.525137,82580,0.0
1648181498.991534,83371,0.0
1648182044.284468,85081,0.0
1648182052.225472,85104,0.0
1648182597.685742,86760,0.0
1648183016.8202748,88086,0.0
1648183152.664945,88529,0.0
1648183179.32321,88614,0.0
1648183567.362867,89834,0.0
1648183840.565015,90712,0.0
1648184285.081266,92079,0.0
1648184401.626966,92457,0.0
1648184551.887872,92944,0.0
1648185159.679322,94905,0.0
1648185271.415936,95268,0.0
1648185741.502964,96811,0.0
1648185831.485257,97079,0.0
1648186058.774547,97766,0.0
1648186123.20742,97974,0.0
1648186305.540013,98559,0.0
1648186424.471849,98945,0.0
1648186551.313491,99345,0.0
1648186789.746833,100110,0.0
1648187266.654998,101613,0.0
1648187661.216442,102851,0.0
1648187670.470921,102877,0.0
1648187841.918193,103380,0.0
1648187886.371651,103520,0.0
1648188030.427388,103976,0.0
1648188109.245728,104226,0.0
1648188601.807307,105759,0.0
1648189272.151771,107862,0.0
1648189332.253522,108024,0.0
1648189609.104787,108869,0.0
1648190560.662873,111880,0.0
1648191006.265227,113301,0.0
1648191127.6324632,113666,0.0
1648191303.251224,114171,0.0
1648191559.803666,114954,0.0
1648192501.953195,117878,0.0
1648192798.928125,118808,0.0
1648193264.847332,120185,0.0
1648193407.680854,120615,0.0
1648193701.09699,121504,0.0
1648194004.821838,122449,0.0
1648194137.706413,122870,0.0
1648194333.050797,123470,0.0
1648194609.520011,124327,0.0
1648194713.884069,124654,0.0
1648194807.374112,124896,0.0
1648195907.622893,128365,0.0
1648196202.866579,129295,0.0
1648196369.531507,129798,0.0
1648196605.459295,130493,0.0
1648196697.523799,130784,0.0
1648196730.354739,130889,0.0
1648198150.350926,135273,0.0
1648198180.123306,135364,0.0
1648198206.361375,135445,0.0
1648198277.526124,135618,0.0
1648198357.181613,135861,0.0
1648198450.261767,136146,0.0
1648198598.450248,136598,0.0
1648198911.783215,137563,0.0
1648199517.95797,139437,0.0
1648199713.346964,140021,0.0
1648200329.381509,141860,0.0
1648200514.638522,142424,0.0
1648200557.522117,142558,0.0
1648201356.008525,145001,0.0
1648201643.664122,145903,0.0
1648202371.208622,148159,0.0
1648202436.238346,148368,0.0
1648202685.823813,149166,0.0
1648203007.339499,150188,0.0
1648203933.712302,153155,0.0
1648204192.94077,154000,0.0
1648204907.755214,156263,0.0
1648205125.784698,156983,0.0
1648205400.1503973,157875,0.0
1648205407.707993,157905,0.0
1648205683.757721,158793,0.0
1648206023.795954,159875,0.0
1648206178.008832,160381,0.0
1648206651.7962759,161838,0.0
1648206780.002122,162240,0.0
1648207054.385282,163115,0.0
1648207281.875838,163837,0.0
1648207348.621592,164042,0.0
1648207501.845396,164513,0.0
1648208091.687848,166353,0.0
1648208197.186937,166647,0.0
1648208599.258104,167902,0.0
1648208780.178803,168469,0.0
1648209115.324581,169518,0.0
1648209315.303485,170141,0.0
1648209365.544135,170306,0.0
1648209892.408377,171907,0.0
1648210209.655364,172925,0.0
1648210543.800585,174007,0.0
1648210584.961875,174143,0.0
1648210650.8235211,174353,0.0
1648210741.393824,174655,0.0
1648211362.613151,176678,0.0
1648211596.06686,177412,0.0
1648211774.43262,177996,0.0
1648211796.895249,178068,0.0
1648212034.429672,178851,0.0
1648212190.7071328,179376,0.0
1648212253.344495,179595,0.0
1648212352.053691,179935,0.0
1648212381.975171,180037,0.0
1648212471.23901,180339,0.0
1648212784.741267,181336,0.0
1648212884.98661,181667,0.0
1648213565.398428,183891,0.0
1648213822.372433,184523,0.0
