Wall time,Step,Value
1648154878.39051,735,0.0
1648155038.353201,1623,0.0
1648155254.0100904,2863,0.0
1648155338.711485,3372,0.0
1648155377.087859,3598,0.0
1648155527.857107,4464,0.0
1648155649.891253,5210,0.0
1648155766.4616199,5894,1.0
1648155847.000247,6372,0.0
1648156115.849706,7893,0.0
1648156302.286354,8991,0.0
1648156352.787364,9268,0.0
1648156600.5081532,10706,0.0
1648156878.139966,12309,0.0
1648156961.7329926,12820,0.0
1648157139.572262,13830,0.0
1648157251.4530277,14466,0.0
1648157476.493214,15789,0.0
1648157510.719501,15996,0.0
1648157640.419877,16725,0.0
1648157761.707166,17459,0.0
1648157898.97272,18256,0.0
1648158067.844626,19241,0.0
1648158146.27596,19738,0.0
1648158383.198216,21178,0.0
1648158650.759802,22746,0.0
1648158707.520965,23039,0.0
1648158795.49195,23585,0.0
1648158833.830667,23812,0.0
1648158879.602922,24090,0.0
1648159039.618883,25037,0.0
1648159156.269556,25703,0.0
1648159203.158051,25985,0.0
1648159238.580374,26200,0.0
1648159750.6480536,29222,0.0
1648159997.487401,30694,0.0
1648160204.840482,31905,0.0
1648160377.838755,32919,0.0
1648160424.722236,33203,0.0
1648160464.924893,33467,0.0
1648160529.105376,33875,0.0
1648161347.596777,38753,0.0
1648161472.467668,39457,0.0
1648161963.165345,42399,0.0
1648162047.3312137,42866,0.0
1648162777.4363923,47257,0.0
1648163333.463949,50627,0.0
1648163408.752802,51094,0.0
1648163562.573565,52001,0.0
1648164029.323299,54781,0.0
1648164542.47071,57778,0.0
1648164671.497914,58584,0.0
1648164888.909901,59874,0.0
1648164982.486677,60401,0.0
1648165027.213367,60681,0.0
1648165103.235097,61148,0.0
1648165195.843951,61711,0.0
1648165351.698827,62678,0.0
1648165421.19032,63118,0.0
1648166042.144088,66837,0.0
1648166427.222768,69107,0.0
1648166513.7000303,69643,0.0
1648166591.375502,70118,0.0
1648166724.997342,70884,0.0
1648167156.80834,73461,0.0
1648167282.164348,74175,0.0
1648167365.851983,74700,0.0
1648167443.759352,75178,0.0
1648167518.107974,75616,0.0
1648167634.730925,76390,0.0
1648167690.472535,76683,0.0
1648167771.638236,77205,0.0
1648167999.651026,78606,0.0
1648168250.218468,80126,0.0
1648168522.448596,81712,0.0
1648168605.863354,82221,0.0
1648168781.250464,83278,0.0
1648168912.772148,84105,0.0
1648169177.061014,85648,0.0
1648169348.469048,86716,0.0
1648169508.05439,87672,0.0
1648169782.418802,89300,0.0
1648169935.7561553,90302,0.0
1648170073.270434,91121,0.0
1648170156.636366,91640,0.0
1648170312.249524,92574,0.0
1648170348.907917,92801,0.0
1648170392.971962,93027,0.0
1648170467.099625,93496,0.0
1648170511.112819,93770,0.0
1648170927.100431,96250,0.0
1648171012.935208,96736,0.0
1648171134.625916,97506,0.0
1648171312.245711,98553,0.0
1648171564.452695,100066,0.0
1648171650.499157,100548,0.0
1648171699.351322,100847,0.0
1648172026.09464,102877,0.0
1648172151.785298,103654,0.0
1648173141.322574,109557,0.0
1648173259.123047,110299,0.0
1648173431.453137,111327,0.0
1648173680.212991,112815,0.0
1648173974.613607,114559,0.0
1648174021.083284,114843,0.0
1648174065.96529,115118,0.0
1648174144.73291,115562,0.0
1648174486.698814,117725,0.0
1648174830.9148,119782,0.0
1648174945.758422,120493,0.0
1648175083.363561,121312,0.0
1648175298.39991,122600,0.0
1648175429.606567,123382,0.0
1648175508.450868,123873,0.0
1648175648.47961,124685,0.0
1648175683.104181,124909,0.0
1648175731.437603,125204,0.0
1648175776.6556082,125479,0.0
1648175902.977722,126209,0.0
1648176152.309939,127715,0.0
1648176344.361102,128864,0.0
1648176503.256752,129842,0.0
1648176677.298235,130970,0.0
1648176752.556776,131402,0.0
1648176993.838648,132853,0.0
1648177120.664191,133600,0.0
1648177208.435304,134151,0.0
1648177389.807716,135239,0.0
1648177543.146958,136146,0.0
1648177687.624062,137063,0.0
1648177727.251659,137265,0.0
1648177803.306161,137750,0.0
1648178195.732342,140106,1.0
1648178351.568801,140999,0.0
1648178398.063383,141299,0.0
1648178432.907944,141514,0.0
1648178471.852912,141756,0.0
1648178831.007178,143980,0.0
1648178870.99144,144232,0.0
1648179323.488085,146904,0.0
1648179490.972655,147937,0.0
1648179684.119797,149115,0.0
1648180016.430321,151071,0.0
1648180144.999605,151825,0.0
1648180287.477035,152704,0.0
1648180329.901823,152966,0.0
1648180459.787231,153721,0.0
1648180495.081999,153937,0.0
1648180698.004457,155194,0.0
1648181441.551785,159698,0.0
1648181519.543269,160182,0.0
1648181611.614945,160712,0.0
1648181780.526191,161769,0.0
1648181819.443926,161971,0.0
1648181865.4000168,162254,0.0
1648182236.480503,164479,0.0
1648182395.617853,165479,0.0
1648182439.1872342,165699,0.0
1648182556.100369,166435,0.0
1648182669.529467,167094,0.0
1648182797.644592,167906,0.0
1648182918.374274,168663,0.0
1648182954.519442,168887,0.0
1648183248.144964,170620,0.0
1648183325.682311,171114,0.0
1648183400.295862,171573,0.0
1648183629.390712,172958,0.0
1648184100.156872,175752,0.0
