Wall time,Step,Value
1649696257.9733608,3,1.0
1649696267.3178382,456,1.0
1649696272.668955,686,1.0
1649696277.152888,691,1.0
1649696285.055528,949,1.0
1649696285.119268,952,1.0
1649696290.607977,1195,0.0
1649696290.66574,1198,1.0
1649696290.6904142,1199,1.0
1649696330.823979,1493,0.0
1649696363.467381,1720,0.0
1649696564.734345,3073,0.0
1649696648.672995,3655,0.0
1649696688.165099,3922,0.0
1649696802.307761,4669,0.0
1649696844.703695,4954,0.0
1649697065.532516,6424,0.0
1649697138.186249,6924,0.0
1649697364.047889,8463,0.0
1649697409.018383,8749,0.0
1649697488.352368,9298,0.0
1649697557.964784,9793,0.0
1649697876.16596,12004,0.0
1649698072.344339,13397,0.0
1649698117.591504,13692,0.0
1649698266.5798929,14776,0.0
1649698302.759964,15007,0.0
1649698374.16803,15529,0.0
1649698582.596307,17033,0.0
1649698619.096103,17313,0.0
1649698695.871828,17836,0.0
1649698734.957299,18124,0.0
1649698773.141257,18406,0.0
1649698806.473595,18651,0.0
1649698885.928483,19211,0.0
1649699228.246586,21654,0.0
1649699265.57102,21927,0.0
1649699514.196232,23757,0.0
1649699712.676578,25087,0.0
1649699960.204127,26753,0.0
1649700108.800338,27753,0.0
1649700291.255069,28972,0.0
1649700499.160484,30387,0.0
1649700596.506329,31050,0.0
1649700642.379467,31338,0.0
1649700760.142269,32154,0.0
1649700981.576094,33664,0.0
1649701060.241093,34183,0.0
1649701120.73982,34607,0.0
1649701610.00481,37946,0.0
1649701857.186832,39646,0.0
1649702119.34338,41412,0.0
1649702192.232773,41921,0.0
1649702296.690036,42616,1.0
1649702337.494566,42895,0.0
1649702446.388931,43652,0.0
1649702489.494899,43918,0.0
1649702677.627487,45187,0.0
1649703114.709291,48138,0.0
1649703213.740496,48802,0.0
1649703731.779525,52322,0.0
1649704068.0939388,54579,0.0
1649704176.971038,55293,0.0
1649704381.244894,56668,0.0
1649704538.640711,57716,0.0
1649704657.630238,58534,0.0
1649704849.477366,59815,0.0
1649704885.902791,60031,0.0
1649705041.420349,61090,0.0
1649705088.349829,61389,0.0
1649705130.761041,61681,0.0
1649705655.289592,65201,0.0
1649705720.108293,65647,0.0
1649705900.771608,66858,0.0
1649706265.941511,69295,0.0
1649706418.392951,70306,0.0
1649706627.994675,71697,0.0
1649706756.188084,72572,0.0
1649707235.887794,75737,0.0
1649707275.280844,75939,0.0
1649707459.007004,76939,0.0
1649707559.734123,77611,0.0
1649707760.0965009,78914,0.0
1649708046.942847,80761,0.0
1649708375.72401,82882,0.0
1649708758.038832,85389,0.0
1649708787.357685,85587,1.0
1649708850.513605,86012,0.0
1649708995.626313,86962,0.0
1649709146.128532,87951,0.0
1649709186.028983,88221,0.0
1649709221.308267,88456,0.0
1649709522.067754,90433,0.0
1649709845.11189,92554,0.0
1649709881.898658,92801,0.0
1649710055.403968,93943,0.0
1649710242.46742,95170,0.0
1649710346.560808,95878,0.0
1649710582.198553,97414,0.0
1649711167.5854578,101314,1.0
1649711699.816003,104877,0.0
1649711730.341624,105086,0.0
1649711766.698908,105338,0.0
1649712133.92267,107784,0.0
1649712243.995593,108516,0.0
1649712451.544812,109910,1.0
1649712693.849518,111573,0.0
1649712835.477957,112511,0.0
1649713166.471563,114742,0.0
1649713527.544759,117138,0.0
1649713637.3371537,117859,0.0
1649713724.709516,118425,0.0
1649714154.523336,121301,0.0
1649714197.739874,121601,0.0
1649714242.872951,121897,0.0
1649714351.298675,122665,0.0
1649714576.133713,124178,0.0
1649714657.118925,124717,0.0
1649714902.576261,126396,0.0
1649715051.020106,127393,0.0
1649715162.1915767,128122,0.0
1649715302.985951,129092,1.0
1649715380.227896,129598,0.0
1649715412.711446,129820,0.0
1649715480.160462,130292,0.0
1649715652.9368,131441,0.0
1649715943.647504,133382,0.0
1649715984.490182,133660,0.0
1649716082.5032651,134306,0.0
1649716113.896442,134521,0.0
1649716185.926359,135012,0.0
1649716301.8945842,135767,0.0
1649716483.4294558,136992,0.0
1649716567.546179,137563,0.0
1649716635.1141,137999,0.0
1649716670.016941,138240,0.0
1649716680.708616,138312,1.0
1649717143.899058,141381,0.0
1649717208.0787299,141811,1.0
1649717239.841468,142024,0.0
1649717369.839957,142873,0.0
1649718169.811362,148169,0.0
1649718192.194095,148318,1.0
1649718222.881022,148531,0.0
1649718302.571942,149077,0.0
1649718414.7991538,149800,0.0
1649718500.055923,150374,0.0
1649718534.682109,150581,0.0
1649718761.210634,152088,0.0
1649718800.63129,152343,0.0
1649718953.028106,153332,0.0
1649718997.0887,153626,0.0
1649719040.758493,153916,0.0
1649719458.069563,156640,0.0
1649719651.440159,157903,0.0
1649720003.252012,160178,0.0
1649720125.415926,160969,0.0
1649720467.518818,163164,0.0
1649720700.312091,164643,0.0
1649720809.853225,165393,0.0
1649720842.326743,165596,0.0
1649720995.328983,166655,0.0
1649721321.500507,168861,0.0
1649721625.367598,170924,0.0
1649721683.471796,171330,0.0
1649722161.285877,174501,0.0
1649722390.332008,176031,0.0
1649722510.111245,176793,0.0
1649722552.451119,177075,0.0
1649722586.893749,177306,0.0
1649722669.44703,177868,0.0
1649722895.551907,179370,0.0
1649722968.194845,179881,1.0
1649723085.702139,180686,0.0
1649723159.034956,181218,0.0
1649723228.04706,181710,0.0
1649723331.832167,182424,0.0
1649723366.10873,182670,0.0
1649723464.452099,183363,0.0
1649723496.293448,183595,0.0
1649723561.418979,184072,0.0
1649723635.2103653,184574,0.0
1649723672.65122,184843,0.0
1649723705.542455,185080,0.0
1649723735.371129,185302,0.0
1649723821.659741,185912,0.0
1649724005.708686,187233,0.0
1649724042.670499,187507,0.0
1649724350.418857,189657,0.0
1649724414.79281,190126,0.0
1649724488.917426,190629,0.0
1649724552.616739,191089,0.0
1649724617.560719,191523,0.0
1649724683.818371,191994,1.0
1649724815.266725,192904,0.0
1649724970.3853602,193944,0.0
1649725063.70197,194602,0.0
1649725176.861851,195372,0.0
1649725404.87636,196941,0.0
1649725537.949829,197846,0.0
1649725733.418469,199178,0.0
1649725774.051653,199466,0.0
1649725834.108565,199883,0.0
1649725909.3357,200385,0.0
1649725947.1501,200649,0.0
1649726461.367068,204164,0.0
1649726498.125302,204423,0.0
1649726561.95121,204871,0.0
1649726594.393314,205076,0.0
1649726732.788725,206055,0.0
1649726890.100488,207131,0.0
1649727288.527502,209871,0.0
1649727625.584263,212197,1.0
1649727762.506281,213131,0.0
1649728219.562345,216266,0.0
1649728655.693372,219276,0.0
1649728816.706468,220382,0.0
1649728837.240115,220499,1.0
1649728867.424201,220712,0.0
1649729234.041681,223234,0.0
1649729517.4773357,225193,0.0
1649729551.098134,225404,0.0
1649729980.949521,228385,0.0
1649730119.9233253,229328,0.0
1649730159.630039,229604,0.0
1649730234.954581,230130,0.0
1649730518.4641507,232057,0.0
1649730767.45977,233772,0.0
1649730842.925539,234292,1.0
1649730954.820695,235081,0.0
1649731531.331048,239031,0.0
1649731598.292262,239471,0.0
1649731764.73762,240619,0.0
1649732032.2418664,242461,0.0
1649732066.828811,242705,0.0
1649732095.8763862,242912,0.0
1649732251.743894,243993,1.0
1649732453.744197,245363,0.0
1649732546.648989,246018,1.0
1649732800.271297,247741,0.0
1649732901.636329,248450,0.0
1649733050.454085,249473,0.0
1649733119.721824,249929,1.0
1649733482.011286,252383,0.0
1649733595.3995,253164,0.0
1649733673.628999,253682,0.0
1649733771.22114,254361,1.0
1649733967.235819,255685,0.0
1649734010.942633,255983,0.0
1649734109.630317,256628,0.0
1649734209.075177,257297,0.0
1649734304.941434,257954,0.0
1649734336.039149,258169,0.0
1649734409.228157,258655,0.0
1649734515.300506,259393,0.0
1649734720.548889,260777,0.0
1649734749.66697,260986,1.0
1649734952.974846,262380,0.0
1649734990.218597,262634,1.0
1649735079.520613,263218,0.0
1649735292.676523,264656,0.0
1649735323.279816,264865,1.0
1649735355.494892,265083,0.0
1649735518.490578,266180,1.0
1649735816.774837,268150,0.0
1649735982.6903617,269248,0.0
1649736363.316707,271796,0.0
1649736461.7035332,272453,1.0
1649736539.886341,272987,0.0
1649736624.964237,273537,1.0
1649736662.071602,273787,0.0
1649737112.303728,276782,0.0
1649737500.907098,279339,1.0
1649737717.8457909,280778,0.0
1649737834.909394,281534,1.0
1649737917.552804,282087,0.0
1649737959.9995923,282371,0.0
1649738155.999921,283641,0.0
1649738192.610532,283885,1.0
1649738428.2018251,285400,1.0
1649738503.618591,285898,1.0
1649738546.031209,286181,1.0
1649738719.051429,287326,0.0
1649738785.741297,287749,1.0
1649738820.712135,287987,0.0
1649738923.626723,288649,1.0
1649739213.966799,290558,0.0
1649739247.800004,290782,0.0
1649739366.384965,291541,0.0
1649739479.172831,292260,1.0
1649739713.223323,293809,0.0
1649739778.305911,294220,1.0
1649739847.736176,294689,1.0
1649740078.455909,296226,1.0
1649740148.734117,296675,0.0
1649740383.889825,298254,1.0
1649740425.195322,298532,1.0
1649740574.524382,299528,1.0
1649740763.03781,300787,1.0
1649740799.733119,301039,0.0
1649741254.7450147,304020,0.0
1649741370.556618,304791,1.0
1649741470.361114,305438,1.0
1649741556.523036,305992,1.0
1649741627.192048,306463,0.0
1649741669.909966,306751,1.0
1649742089.924694,309487,1.0
1649742142.919591,309844,0.0
1649742380.026045,311391,0.0
1649742536.151343,312407,1.0
1649742575.1062043,312668,0.0
1649742679.5168703,313340,0.0
1649742788.747264,314036,1.0
1649743025.028451,315580,1.0
1649743208.78806,316760,1.0
1649743322.648538,317488,1.0
1649743464.196528,318417,1.0
1649743606.903536,319330,1.0
1649743651.422725,319625,0.0
1649743875.188968,321058,0.0
1649743941.009726,321488,1.0
1649743973.954365,321706,0.0
1649744084.112612,322413,1.0
1649744122.474587,322672,0.0
1649744679.82283,326281,1.0
1649744832.806126,327273,0.0
1649744903.521469,327748,1.0
1649744971.787042,328177,1.0
1649745015.019306,328468,0.0
1649745122.153262,329162,0.0
1649745206.618833,329736,1.0
1649745434.11513,331247,0.0
1649745512.987297,331754,0.0
1649745661.949026,332771,1.0
1649745842.411722,333943,0.0
1649745955.590665,334678,0.0
1649746164.476415,336064,1.0
1649746259.36344,336676,1.0
