Wall time,Step,Value
1648147315.364559,793,0.0
1648147326.2635393,1029,0.0
1648147356.263274,1331,0.0
1648147683.593996,2760,0.0
1648147877.210193,3580,0.0
1648147988.125334,4076,0.0
1648148104.295873,4601,0.0
1648148224.278123,5150,0.0
1648148346.561651,5706,0.0
1648148539.798692,6433,0.0
1648148698.047252,7161,0.0
1648149132.469034,9136,0.0
1648149173.361899,9320,0.0
1648149353.134003,10123,0.0
1648150335.380635,14415,0.0
1648150485.312121,15073,0.0
1648151222.289833,17857,0.0
1648151327.065266,18187,0.0
1648151638.368786,19064,0.0
1648152248.746403,21001,0.0
1648152257.057027,21022,0.0
1648153335.114169,24513,0.0
1648154329.24927,27682,0.0
1648154540.301036,28389,0.0
1648154708.79427,28958,0.0
1648154800.423607,29230,0.0
1648155234.881226,30311,0.0
1648155765.121091,31508,0.0
1648156252.382651,32727,0.0
1648156429.601903,33158,0.0
1648156617.600234,33623,0.0
1648157286.153795,35338,0.0
1648157441.790484,35729,0.0
1648157848.689031,36759,0.0
1648158205.419173,37515,0.0
1648158288.662745,37730,0.0
1648158453.386531,38161,0.0
1648159146.651788,39966,0.0
1648159715.994682,41478,0.0
1648159834.158791,41794,0.0
1648159844.617039,41818,0.0
1648159918.4065263,42023,0.0
1648160159.112327,42687,0.0
1648160911.50424,44576,0.0
1648161987.862836,47453,0.0
1648162475.145268,48729,0.0
1648162619.067938,49116,0.0
1648162800.413206,49601,0.0
1648163189.074117,50488,0.0
1648164287.182579,53420,0.0
1648164547.523902,54120,0.0
1648164557.128262,54143,0.0
1648165044.688238,55441,0.0
1648165617.852675,56837,0.0
1648165846.302233,57452,0.0
1648166436.40943,59012,0.0
1648166567.558775,59361,0.0
1648167649.234195,62123,0.0
1648168575.189011,64606,0.0
1648169269.431641,66439,0.0
1648170653.3939729,69950,0.0
1648170718.32384,70127,0.0
1648171214.434331,71443,0.0
1648171557.412088,72361,0.0
1648171892.886468,73252,0.0
1648172347.558607,74328,0.0
1648172380.190568,74412,0.0
1648172424.843458,74530,0.0
1648172544.166611,74853,0.0
1648174222.495194,79272,0.0
1648174736.817264,80531,0.0
1648174757.008441,80583,0.0
1648174820.789332,80758,0.0
1648176066.832556,84052,0.0
1648176745.0753,85680,0.0
1648177003.900616,86355,0.0
1648177172.137772,86800,0.0
1648177349.80816,87269,0.0
1648177492.26839,87632,0.0
1648177687.885658,88122,0.0
1648177956.986505,88821,0.0
1648178267.303473,89650,0.0
1648178335.862324,89834,0.0
1648178421.838299,90064,0.0
1648179139.040564,91814,0.0
1648179278.531721,92184,0.0
1648179318.994629,92295,0.0
1648179361.788621,92407,0.0
1648180221.046814,94660,0.0
1648180474.637456,95346,0.0
1648180534.614665,95504,0.0
1648181572.782311,98094,0.0
1648181602.778674,98174,0.0
1648181981.733486,99173,0.0
1648182044.137502,99345,0.0
1648182108.441632,99520,0.0
1648182139.858488,99601,0.0
1648182530.580657,100642,0.0
1648182741.543152,101158,0.0
1648182781.308426,101257,0.0
1648183071.339166,101948,0.0
1648183200.791544,102290,0.0
1648183286.076183,102522,0.0
1648183875.822691,104068,0.0
1648183936.451264,104230,0.0
1648185339.300422,107818,0.0
1648185380.337677,107921,0.0
1648185589.822135,108465,0.0
1648185653.836968,108619,0.0
1648185724.168624,108803,0.0
