Wall time,Step,Value
1648154878.391159,735,5.0
1648155038.35453,1623,10.0
1648155254.010493,2863,0.0
1648155338.711742,3372,0.0
1648155377.088137,3598,6.0
1648155527.8573933,4464,3.0
1648155649.891528,5210,13.0
1648155766.462015,5894,0.0
1648155847.00054,6372,43.0
1648156115.84996,7893,17.0
1648156302.286613,8991,15.0
1648156352.787645,9268,0.0
1648156600.508401,10706,2.0
1648156878.1403468,12309,203.0
1648156961.73325,12820,26.0
1648157139.572661,13830,6.0
1648157251.453277,14466,0.0
1648157476.493705,15789,257.0
1648157510.71977,15996,195.0
1648157640.42013,16725,62.0
1648157761.707943,17459,2.0
1648157898.973176,18256,170.0
1648158067.844881,19241,23.0
1648158146.2762592,19738,0.0
1648158383.198761,21178,0.0
1648158650.760067,22746,116.0
1648158707.521217,23039,17.0
1648158795.492221,23585,55.0
1648158833.831341,23812,39.0
1648158879.6031697,24090,27.0
1648159039.619149,25037,11.0
1648159156.269862,25703,0.0
1648159203.1583,25985,0.0
1648159238.580683,26200,93.0
1648159750.648311,29222,0.0
1648159997.488086,30694,0.0
1648160204.840755,31905,90.0
1648160377.8390248,32919,0.0
1648160424.723027,33203,97.0
1648160464.925136,33467,39.0
1648160529.105627,33875,97.0
1648161347.597037,38753,0.0
1648161472.468168,39457,69.0
1648161963.165793,42399,3.0
1648162047.331525,42866,1.0
1648162777.436873,47257,1.0
1648163333.464435,50627,0.0
1648163408.753044,51094,172.0
1648163562.574056,52001,0.0
1648164029.323548,54781,0.0
1648164542.470959,57778,11.0
1648164671.498369,58584,30.0
1648164888.910317,59874,27.0
1648164982.487052,60401,0.0
1648165027.213619,60681,58.0
1648165103.235611,61148,62.0
1648165195.844323,61711,15.0
1648165351.699189,62678,0.0
1648165421.190703,63118,2.0
1648166042.144528,66837,261.0
1648166427.223326,69107,4.0
1648166513.700843,69643,18.0
1648166591.375958,70118,1.0
1648166724.997585,70884,0.0
1648167156.808588,73461,5.0
1648167282.164593,74175,1.0
1648167365.852344,74700,0.0
1648167443.759602,75178,7.0
1648167518.108222,75616,8.0
1648167634.731333,76390,1.0
1648167690.473769,76683,113.0
1648167771.638749,77205,3.0
1648167999.651643,78606,0.0
1648168250.21873,80126,3.0
1648168522.449038,81712,10.0
1648168605.863898,82221,287.0
1648168781.25072,83278,12.0
1648168912.772613,84105,5.0
1648169177.0615182,85648,0.0
1648169348.469503,86716,21.0
1648169508.054647,87672,2.0
1648169782.419098,89300,2.0
1648169935.756736,90302,11.0
1648170073.271007,91121,4.0
1648170156.636613,91640,78.0
1648170312.250348,92574,16.0
1648170348.908388,92801,0.0
1648170392.972212,93027,24.0
1648170467.100209,93496,118.0
1648170511.113346,93770,0.0
1648170927.101642,96250,152.0
1648171012.935593,96736,0.0
1648171134.626754,97506,9.0
1648171312.245983,98553,204.0
1648171564.452938,100066,12.0
1648171650.4994,100548,3.0
1648171699.3519151,100847,22.0
1648172026.094949,102877,0.0
1648172151.785572,103654,249.0
1648173141.3229692,109557,0.0
1648173259.123293,110299,0.0
1648173431.45338,111327,11.0
1648173680.2132952,112815,2.0
1648173974.614196,114559,0.0
1648174021.083532,114843,3.0
1648174065.965927,115118,3.0
1648174144.733167,115562,1.0
1648174486.6993,117725,2.0
1648174830.915062,119782,44.0
1648174945.758907,120493,18.0
1648175083.364151,121312,0.0
1648175298.400156,122600,0.0
1648175429.607208,123382,0.0
1648175508.451172,123873,41.0
1648175648.480084,124685,209.0
1648175683.1046348,124909,14.0
1648175731.437845,125204,4.0
1648175776.656909,125479,0.0
1648175902.9779713,126209,2.0
1648176152.310186,127715,0.0
1648176344.361347,128864,129.0
1648176503.2570024,129842,1.0
1648176677.298478,130970,20.0
1648176752.557054,131402,16.0
1648176993.838899,132853,171.0
1648177120.664974,133600,17.0
1648177208.435549,134151,22.0
1648177389.808099,135239,65.0
1648177543.147435,136146,6.0
1648177687.624405,137063,32.0
1648177727.252574,137265,1.0
1648177803.306605,137750,1.0
1648178195.7326488,140106,196.0
1648178351.569054,140999,0.0
1648178398.063639,141299,55.0
1648178432.90819,141514,1.0
1648178471.853154,141756,49.0
1648178831.007869,143980,0.0
1648178870.991798,144232,13.0
1648179323.488459,146904,61.0
1648179490.972921,147937,176.0
1648179684.120415,149115,0.0
1648180016.430851,151071,0.0
1648180144.999887,151825,0.0
1648180287.477278,152704,151.0
1648180329.902069,152966,67.0
1648180459.787485,153721,0.0
1648180495.082864,153937,0.0
1648180698.004995,155194,0.0
1648181441.552257,159698,117.0
1648181519.543518,160182,15.0
1648181611.615416,160712,0.0
1648181780.526749,161769,0.0
1648181819.444171,161971,53.0
1648181865.400702,162254,1.0
1648182236.481226,164479,102.0
1648182395.618102,165479,0.0
1648182439.187811,165699,0.0
1648182556.100615,166435,1.0
1648182669.529713,167094,0.0
1648182797.645545,167906,0.0
1648182918.374643,168663,0.0
1648182954.519772,168887,0.0
1648183248.145206,170620,26.0
1648183325.682568,171114,0.0
1648183400.296118,171573,4.0
1648183629.391361,172958,34.0
1648184100.157343,175752,0.0
1648184371.958225,177402,0.0
1648184490.235164,178087,0.0
1648184524.91091,178302,0.0
1648184749.050778,179648,11.0
1648184986.511912,181173,0.0
1648185061.3547583,181636,5.0
1648185116.774683,181925,6.0
1648185249.364442,182750,3.0
1648185337.392607,183246,0.0
1648185482.04247,184155,65.0
1648186257.868834,188821,48.0
1648186553.982463,190577,0.0
1648186639.151496,191115,173.0
1648186683.664868,191388,0.0
1648186760.399829,191818,6.0
1648186949.06561,192984,0.0
1648186990.715286,193243,14.0
1648187245.84034,194863,0.0
1648187331.607751,195394,0.0
1648187680.015639,197494,22.0
1648187892.010856,198779,0.0
1648187979.570463,199320,0.0
1648188149.39754,200330,0.0
1648188185.121457,200550,2.0
1648188275.647782,201075,53.0
1648188308.829095,201277,6.0
1648188694.419981,203592,0.0
1648188819.195415,204385,13.0
1648188957.025345,205228,16.0
1648189044.413911,205742,30.0
1648189396.110423,207949,2.0
1648189448.092495,208221,0.0
1648189560.911469,208924,4.0
1648189603.099024,209199,3.0
1648189647.025352,209425,0.0
1648190033.51434,211750,3.0
1648190198.235624,212764,0.0
1648190237.5552447,212972,1.0
1648190284.931246,213264,0.0
1648190332.621029,213551,1.0
1648190378.976842,213838,100.0
1648190556.417802,214917,1.0
1648190595.327619,215153,131.0
1648190629.237441,215360,0.0
1648190679.336332,215640,1.0
1648190851.260987,216708,0.0
1648191341.346174,219729,34.0
1648191454.116284,220433,0.0
1648191668.64549,221735,0.0
1648191717.083888,221998,4.0
1648191923.310231,223243,0.0
1648192301.802276,225530,69.0
1648192354.931429,225820,6.0
1648192473.624085,226551,0.0
1648192938.60784,229355,192.0
1648193092.004429,230297,0.0
1648193301.995375,231613,8.0
1648193626.559393,233553,7.0
1648193799.896666,234605,3.0
1648194150.526725,236714,0.0
1648194269.69763,237415,221.0
1648194436.875531,238404,0.0
1648194476.7389429,238648,24.0
1648194596.532522,239389,43.0
1648194793.488346,240576,29.0
1648195075.218731,242294,0.0
1648195250.7945092,243348,152.0
