Wall time,Step,Value
1648154878.386907,735,-153.8000030517578
1648155038.350655,1623,-192.60000610351562
1648155254.008655,2863,-143.39999389648438
1648155338.710464,3372,-157.1999969482422
1648155377.086888,3598,-208.1999969482422
1648155527.855757,4464,-166.60000610351562
1648155649.8903072,5210,-204.39999389648438
1648155766.459827,5894,0.0
1648155846.999225,6372,-221.39999389648438
1648156115.848692,7893,-181.1999969482422
1648156302.285326,8991,-132.60000610351562
1648156352.7862709,9268,-42.20000076293945
1648156600.507208,10706,-171.39999389648438
1648156878.137637,12309,-343.6000061035156
1648156961.731767,12820,-114.5999984741211
1648157139.569795,13830,-52.599998474121094
1648157251.452036,14466,-206.8000030517578
1648157476.491949,15789,-445.79998779296875
1648157510.718507,15996,-362.79998779296875
1648157640.418897,16725,-123.80000305175781
1648157761.704296,17459,-129.8000030517578
1648157898.9712121,18256,-232.0
1648158067.843696,19241,-172.39999389648438
1648158146.2747872,19738,10.800000190734863
1648158383.1934688,21178,-71.0
1648158650.7588,22746,-188.39999389648438
1648158707.519996,23039,-104.19999694824219
1648158795.490987,23585,-188.8000030517578
1648158833.828996,23812,-109.4000015258789
1648158879.601963,24090,-118.19999694824219
1648159039.617871,25037,-86.4000015258789
1648159156.267866,25703,-197.39999389648438
1648159203.157095,25985,-15.600000381469727
1648159238.577799,26200,-92.0
1648159750.647106,29222,-98.0
1648159997.486023,30694,-215.0
1648160204.839222,31905,-264.0
1648160377.836918,32919,-50.20000076293945
1648160424.719289,33203,-233.8000030517578
1648160464.923953,33467,-219.8000030517578
1648160529.104373,33875,-102.0
1648161347.595773,38753,-119.5999984741211
1648161472.466597,39457,-68.5999984741211
1648161963.16368,42399,-21.399999618530273
1648162047.329925,42866,-125.4000015258789
1648162777.433949,47257,50.0
1648163333.46269,50627,-118.5999984741211
1648163408.751886,51094,-257.3999938964844
1648163562.571336,52001,-63.20000076293945
1648164029.322323,54781,-141.1999969482422
1648164542.469689,57778,13.0
1648164671.495538,58584,-56.599998474121094
1648164888.908348,59874,-77.5999984741211
1648164982.485385,60401,1.7999999523162842
1648165027.212439,60681,-148.0
1648165103.232986,61148,-94.0
1648165195.842621,61711,-147.1999969482422
1648165351.696774,62678,-71.5999984741211
1648165421.188891,63118,-75.19999694824219
1648166042.1426797,66837,-466.6000061035156
1648166427.22073,69107,-101.19999694824219
1648166513.698426,69643,-102.0
1648166591.373777,70118,-70.4000015258789
1648166724.996343,70884,-83.0
1648167156.807419,73461,-92.0
1648167282.1634262,74175,5.199999809265137
1648167365.850771,74700,-131.60000610351562
1648167443.758375,75178,-7.0
1648167518.107046,75616,18.799999237060547
1648167634.729452,76390,-47.79999923706055
1648167690.468614,76683,-111.80000305175781
1648167771.636607,77205,-56.599998474121094
1648167999.647728,78606,5.400000095367432
1648168250.217472,80126,-123.4000015258789
1648168522.447044,81712,-79.0
1648168605.858798,82221,-475.20001220703125
1648168781.249529,83278,-147.8000030517578
1648168912.768033,84105,-52.0
1648169177.059838,85648,-65.80000305175781
1648169348.466019,86716,-51.0
1648169508.0534499,87672,-70.0
1648169782.4177809,89300,-16.399999618530273
1648169935.754505,90302,-28.799999237060547
1648170073.268028,91121,-73.0
1648170156.635363,91640,-137.60000610351562
1648170312.248324,92574,-81.4000015258789
1648170348.904803,92801,-106.0
1648170392.971036,93027,-56.0
1648170467.096503,93496,-156.1999969482422
1648170511.109893,93770,-109.19999694824219
1648170927.096057,96250,-312.0
1648171012.933296,96736,127.4000015258789
1648171134.622227,97506,-137.0
1648171312.244754,98553,-310.79998779296875
1648171564.451737,100066,23.200000762939453
1648171650.498181,100548,103.4000015258789
1648171699.347611,100847,-106.5999984741211
1648172026.093481,102877,-15.800000190734863
1648172151.784339,103654,-396.3999938964844
1648173141.320313,109557,-58.599998474121094
1648173259.122052,110299,-61.400001525878906
1648173431.4522119,111327,-83.5999984741211
1648173680.209135,112815,-131.8000030517578
1648173974.611381,114559,-4.0
1648174021.082321,114843,-124.5999984741211
1648174065.962802,115118,-80.4000015258789
1648174144.73197,115562,-129.60000610351562
1648174486.69357,117725,-8.600000381469727
1648174830.913848,119782,-90.0
1648174945.756824,120493,37.0
1648175083.360515,121312,99.19999694824219
1648175298.398984,122600,-75.5999984741211
1648175429.604455,123382,-53.599998474121094
1648175508.449696,123873,-41.20000076293945
1648175648.477963,124685,-307.0
1648175683.102576,124909,-28.0
1648175731.436711,125204,69.80000305175781
1648175776.65393,125479,-78.5999984741211
1648175902.976762,126209,-7.0
1648176152.308969,127715,-80.80000305175781
1648176344.360055,128864,-265.20001220703125
1648176503.255795,129842,-76.0
1648176677.297285,130970,-36.599998474121094
1648176752.55584,131402,80.19999694824219
1648176993.8377163,132853,-196.60000610351562
1648177120.661737,133600,-0.4000000059604645
1648177208.434365,134151,-139.8000030517578
1648177389.805965,135239,-89.4000015258789
1648177543.144844,136146,-146.60000610351562
1648177687.623039,137063,-161.8000030517578
1648177727.248643,137265,-134.8000030517578
1648177803.3038578,137750,-64.19999694824219
1648178195.731311,140106,-226.39999389648438
1648178351.567774,140999,-46.400001525878906
1648178398.062387,141299,-161.60000610351562
1648178432.906989,141514,32.79999923706055
1648178471.851978,141756,-138.60000610351562
1648178831.005034,143980,39.0
1648178870.989553,144232,-29.0
1648179323.486795,146904,-40.400001525878906
1648179490.971721,147937,-252.39999389648438
1648179684.117777,149115,-13.0
1648180016.428684,151071,-101.19999694824219
1648180144.998585,151825,-131.8000030517578
1648180287.476122,152704,-210.0
1648180329.900922,152966,-110.5999984741211
1648180459.786235,153721,-51.400001525878906
1648180495.079835,153937,-77.5999984741211
1648180698.002025,155194,-71.80000305175781
1648181441.548786,159698,-154.1999969482422
1648181519.542297,160182,-32.20000076293945
1648181611.611907,160712,-86.80000305175781
