Wall time,Step,Value
1648154878.392584,735,1.0
1648155038.355739,1623,1.0
1648155254.011237,2863,1.0
1648155338.71222,3372,1.0
1648155377.088638,3598,1.0
1648155527.858153,4464,1.0
1648155649.892009,5210,1.0
1648155766.463439,5894,0.0042372881434857845
1648155847.009781,6372,1.0
1648156115.850441,7893,1.0
1648156302.287112,8991,1.0
1648156352.788176,9268,1.0
1648156600.508893,10706,1.0
1648156878.141366,12309,1.0
1648156961.733784,12820,1.0
1648157139.573718,13830,1.0
1648157251.453791,14466,1.0
1648157476.494588,15789,1.0
1648157510.720255,15996,1.0
1648157640.420603,16725,1.0
1648157761.709617,17459,1.0
1648157898.973904,18256,1.0
1648158067.845351,19241,1.0
1648158146.27682,19738,1.0
1648158383.200186,21178,1.0
1648158650.760544,22746,1.0
1648158707.5216992,23039,1.0
1648158795.492699,23585,1.0
1648158833.832963,23812,1.0
1648158879.603643,24090,1.0
1648159039.619645,25037,1.0
1648159156.270436,25703,1.0
1648159203.158791,25985,1.0
1648159238.581206,26200,1.0
1648159750.648785,29222,1.0
1648159997.48937,30694,1.0
1648160204.841226,31905,1.0
1648160377.839908,32919,1.0
1648160424.724163,33203,1.0
1648160464.925601,33467,1.0
1648160529.106099,33875,1.0
1648161347.597511,38753,1.0
1648161472.468901,39457,1.0
1648161963.16669,42399,1.0
1648162047.332036,42866,1.0
1648162777.438394,47257,1.0
1648163333.465403,50627,1.0
1648163408.75351,51094,1.0
1648163562.575094,52001,1.0
1648164029.324024,54781,1.0
1648164542.4714482,57778,1.0
1648164671.4992833,58584,1.0
1648164888.911,59874,1.0
1648164982.487842,60401,1.0
1648165027.214088,60681,1.0
1648165103.236495,61148,1.0
1648165195.845138,61711,1.0
1648165351.699759,62678,1.0
1648165421.191419,63118,1.0
1648166042.145297,66837,1.0
1648166427.224133,69107,1.0
1648166513.701879,69643,1.0
1648166591.376808,70118,1.0
1648166724.998045,70884,1.0
1648167156.809056,73461,1.0
1648167282.165065,74175,1.0
1648167365.853154,74700,1.0
1648167443.760073,75178,1.0
1648167518.108693,75616,1.0
1648167634.732489,76390,1.0
1648167690.476387,76683,1.0
1648167771.639634,77205,1.0
1648167999.652813,78606,1.0
1648168250.219204,80126,1.0
1648168522.450428,81712,1.0
1648168605.864908,82221,1.0
1648168781.25119,83278,1.0
1648168912.773292,84105,1.0
1648169177.062222,85648,1.0
1648169348.470677,86716,1.0
1648169508.0551198,87672,1.0
1648169782.419646,89300,1.0
1648169935.758034,90302,1.0
1648170073.271894,91121,1.0
1648170156.637086,91640,1.0
1648170312.251652,92574,1.0
1648170348.910367,92801,1.0
1648170392.972679,93027,1.0
1648170467.101734,93496,1.0
1648170511.11532,93770,1.0
1648170927.103227,96250,1.0
1648171012.936433,96736,1.0
1648171134.628694,97506,1.0
1648171312.2464662,98553,1.0
1648171564.45341,100066,1.0
1648171650.499866,100548,1.0
1648171699.353692,100847,1.0
1648172026.095821,102877,1.0
1648172151.786052,103654,1.0
1648173141.323717,109557,1.0
1648173259.12376,110299,1.0
1648173431.453848,111327,1.0
1648173680.214512,112815,1.0
1648173974.615086,114559,1.0
1648174021.084005,114843,1.0
1648174065.967135,115118,1.0
1648174144.733643,115562,1.0
1648174486.700674,117725,1.0
1648174830.915534,119782,1.0
1648174945.760886,120493,1.0
1648175083.364867,121312,1.0
1648175298.400625,122600,1.0
