Wall time,Step,Value
1649696257.973623,3,0.0
1649696267.318231,456,0.0
1649696272.669403,686,0.0
1649696277.153328,691,0.0
1649696285.055777,949,0.0
1649696285.119493,952,0.0
1649696290.608377,1195,0.0
1649696290.666348,1198,0.0
1649696290.690807,1199,0.0
1649696330.824234,1493,0.0
1649696363.467637,1720,0.0
1649696564.734593,3073,0.0
1649696648.673268,3655,0.0
1649696688.165356,3922,0.0
1649696802.308004,4669,0.0
1649696844.703947,4954,0.0
1649697065.53276,6424,0.0
1649697138.186495,6924,0.0
1649697364.0481353,8463,0.0
1649697409.018627,8749,0.0
1649697488.352614,9298,0.0
1649697557.965029,9793,0.0
1649697876.166211,12004,0.0
1649698072.344584,13397,0.0
1649698117.591754,13692,0.0
1649698266.580141,14776,0.0
1649698302.760209,15007,0.0
1649698374.168288,15529,0.0
1649698582.596552,17033,0.0
1649698619.096352,17313,0.0
1649698695.872079,17836,0.0
1649698734.957547,18124,0.0
1649698773.141509,18406,0.0
1649698806.4738398,18651,0.0
1649698885.928736,19211,0.0
1649699228.246836,21654,0.0
1649699265.571261,21927,0.0
1649699514.196473,23757,0.0
1649699712.676819,25087,0.0
1649699960.204369,26753,0.0
1649700108.800584,27753,0.0
1649700291.2553148,28972,0.0
1649700499.160735,30387,0.0
1649700596.506575,31050,0.0
1649700642.379712,31338,0.0
1649700760.142513,32154,0.0
1649700981.576336,33664,0.0
1649701060.24134,34183,0.0
1649701120.740073,34607,0.0
1649701610.005053,37946,0.0
1649701857.187077,39646,0.0
1649702119.343629,41412,0.0
1649702192.23302,41921,0.0
1649702296.690286,42616,0.0
1649702337.494814,42895,0.0
1649702446.3892,43652,0.0
1649702489.495142,43918,0.0
1649702677.627733,45187,0.0
1649703114.709538,48138,0.0
1649703213.740742,48802,0.0
1649703731.779769,52322,0.0
1649704068.094192,54579,0.0
1649704176.971285,55293,0.0
1649704381.245155,56668,0.0
1649704538.640956,57716,0.0
1649704657.630481,58534,0.0
1649704849.477616,59815,0.0
1649704885.903037,60031,0.0
1649705041.420589,61090,0.0
1649705088.3500822,61389,0.0
1649705130.761308,61681,0.0
1649705655.289833,65201,0.0
1649705720.10854,65647,0.0
1649705900.771854,66858,0.0
1649706265.941754,69295,0.0
1649706418.393224,70306,0.0
1649706627.994921,71697,0.0
1649706756.188342,72572,0.0
1649707235.888057,75737,0.0
1649707275.281125,75939,0.0
1649707459.007262,76939,0.0
1649707559.734366,77611,0.0
1649707760.096743,78914,0.0
1649708046.943093,80761,0.0
1649708375.724256,82882,0.0
1649708758.039079,85389,0.0
1649708787.357929,85587,0.0
1649708850.513846,86012,0.0
1649708995.626556,86962,0.0
1649709146.128787,87951,0.0
1649709186.029248,88221,0.0
1649709221.308512,88456,0.0
1649709522.067999,90433,0.0
1649709845.112134,92554,0.0
1649709881.898907,92801,0.0
1649710055.404215,93943,0.0
1649710242.467662,95170,0.0
1649710346.561053,95878,0.0
1649710582.198793,97414,0.0
1649711167.585698,101314,0.0
1649711699.8162482,104877,0.0
1649711730.341866,105086,0.0
1649711766.699151,105338,0.0
1649712133.922915,107784,0.0
1649712243.995841,108516,0.0
1649712451.545075,109910,0.0
1649712693.849767,111573,0.0
1649712835.478201,112511,0.0
1649713166.471817,114742,0.0
1649713527.545015,117138,0.0
1649713637.337397,117859,0.0
1649713724.709766,118425,0.0
1649714154.523583,121301,0.0
1649714197.740121,121601,0.0
1649714242.873212,121897,0.0
1649714351.298951,122665,0.0
1649714576.133955,124178,0.0
1649714657.119192,124717,0.0
1649714902.576541,126396,0.0
1649715051.020354,127393,0.0
1649715162.191822,128122,0.0
1649715302.986197,129092,0.0
1649715380.228147,129598,0.0
1649715412.711693,129820,0.0
1649715480.160706,130292,0.0
1649715652.937046,131441,0.0
1649715943.647749,133382,0.0
1649715984.49043,133660,0.0
1649716082.503504,134306,0.0
1649716113.896684,134521,0.0
1649716185.926608,135012,0.0
1649716301.894825,135767,0.0
1649716483.4296992,136992,0.0
1649716567.546425,137563,0.0
1649716635.114343,137999,0.0
1649716670.0172067,138240,0.0
1649716680.708861,138312,0.0
1649717143.899304,141381,0.0
1649717208.078972,141811,0.0
1649717239.841717,142024,0.0
1649717369.840203,142873,0.0
1649718169.811608,148169,0.0
1649718192.194338,148318,0.0
1649718222.88129,148531,0.0
1649718302.572184,149077,0.0
1649718414.7994,149800,0.0
1649718500.056174,150374,0.0
1649718534.682354,150581,0.0
1649718761.210876,152088,0.0
1649718800.631533,152343,0.0
1649718953.028349,153332,0.0
1649718997.088946,153626,0.0
1649719040.758741,153916,0.0
1649719458.0698082,156640,0.0
1649719651.440403,157903,0.0
1649720003.252265,160178,0.0
1649720125.416172,160969,0.0
1649720467.519067,163164,0.0
1649720700.3123388,164643,0.0
1649720809.853482,165393,0.0
1649720842.32699,165596,0.0
1649720995.3292422,166655,0.0
1649721321.50075,168861,0.0
1649721625.36784,170924,0.0
1649721683.472044,171330,0.0
1649722161.286121,174501,0.0
1649722390.3322518,176031,0.0
1649722510.111491,176793,0.0
1649722552.451368,177075,0.0
1649722586.893998,177306,0.0
1649722669.447277,177868,0.0
1649722895.552156,179370,0.0
1649722968.195093,179881,0.0
1649723085.7024293,180686,0.0
1649723159.035201,181218,0.0
1649723228.047323,181710,0.0
1649723331.832413,182424,0.0
1649723366.108985,182670,0.0
1649723464.452349,183363,0.0
1649723496.293691,183595,0.0
1649723561.419226,184072,0.0
1649723635.210611,184574,0.0
1649723672.651469,184843,0.0
1649723705.542705,185080,0.0
1649723735.371371,185302,0.0
1649723821.659984,185912,0.0
1649724005.70893,187233,0.0
1649724042.670745,187507,0.0
1649724350.419102,189657,0.0
1649724414.793071,190126,0.0
1649724488.917679,190629,0.0
1649724552.616981,191089,0.0
1649724617.56096,191523,0.0
1649724683.818618,191994,0.0
1649724815.266971,192904,0.0
1649724970.385607,193944,0.0
1649725063.702214,194602,0.0
1649725176.8621,195372,0.0
1649725404.876604,196941,0.0
1649725537.950073,197846,0.0
1649725733.418709,199178,0.0
1649725774.051897,199466,0.0
1649725834.108821,199883,0.0
1649725909.335946,200385,0.0
1649725947.150348,200649,0.0
1649726461.367316,204164,0.0
1649726498.125546,204423,0.0
1649726561.951458,204871,0.0
1649726594.393564,205076,0.0
