Wall time,Step,Value
1649696257.9740763,3,0.012000000104308128
1649696267.319023,456,0.0047846888191998005
1649696272.670262,686,0.003816793905571103
1649696277.154153,691,0.003937007859349251
1649696285.056257,949,0.00374531839042902
1649696285.119945,952,0.004629629664123058
1649696290.609186,1195,1.0
1649696290.667152,1198,0.011583011597394943
1649696290.691601,1199,0.003968254197388887
1649696330.824713,1493,1.0
1649696363.468117,1720,1.0
1649696564.735067,3073,1.0
1649696648.673751,3655,1.0
1649696688.165839,3922,1.0
1649696802.308467,4669,1.0
1649696844.70443,4954,1.0
1649697065.533251,6424,1.0
1649697138.186962,6924,1.0
1649697364.048602,8463,1.0
1649697409.019089,8749,1.0
1649697488.353107,9298,1.0
1649697557.965528,9793,1.0
1649697876.166692,12004,1.0
1649698072.345075,13397,1.0
1649698117.592224,13692,1.0
1649698266.580614,14776,1.0
1649698302.760684,15007,1.0
1649698374.168772,15529,1.0
1649698582.597026,17033,1.0
1649698619.096827,17313,1.0
1649698695.872553,17836,1.0
1649698734.958021,18124,1.0
1649698773.141981,18406,1.0
1649698806.474306,18651,1.0
1649698885.929242,19211,1.0
1649699228.247314,21654,1.0
1649699265.571723,21927,1.0
1649699514.196928,23757,1.0
1649699712.677303,25087,1.0
1649699960.20483,26753,1.0
1649700108.801051,27753,1.0
1649700291.25578,28972,1.0
1649700499.1612248,30387,1.0
1649700596.507045,31050,1.0
1649700642.38018,31338,1.0
1649700760.142983,32154,1.0
1649700981.576805,33664,1.0
1649701060.241805,34183,1.0
1649701120.740556,34607,1.0
1649701610.005545,37946,1.0
1649701857.187549,39646,1.0
1649702119.344098,41412,1.0
1649702192.2335029,41921,1.0
1649702296.6907752,42616,0.9922480583190918
1649702337.495289,42895,1.0
1649702446.389675,43652,1.0
1649702489.495611,43918,1.0
1649702677.628199,45187,1.0
1649703114.710009,48138,1.0
1649703213.741219,48802,1.0
1649703731.780234,52322,1.0
1649704068.094665,54579,1.0
1649704176.971753,55293,1.0
1649704381.245624,56668,1.0
1649704538.641436,57716,1.0
1649704657.630944,58534,1.0
1649704849.478091,59815,1.0
1649704885.903503,60031,1.0
1649705041.421049,61090,1.0
1649705088.350558,61389,1.0
1649705130.761781,61681,1.0
1649705655.290294,65201,1.0
1649705720.109008,65647,1.0
1649705900.772319,66858,1.0
1649706265.942218,69295,1.0
1649706418.393689,70306,1.0
1649706627.995393,71697,1.0
1649706756.188829,72572,1.0
1649707235.88855,75737,1.0
1649707275.281608,75939,1.0
1649707459.007739,76939,1.0
1649707559.7348363,77611,1.0
1649707760.097233,78914,1.0
1649708046.94356,80761,1.0
1649708375.724728,82882,1.0
1649708758.039551,85389,1.0
1649708787.358423,85587,0.9428571462631226
1649708850.51431,86012,1.0
1649708995.627027,86962,1.0
1649709146.129282,87951,1.0
1649709186.029713,88221,1.0
1649709221.30898,88456,1.0
1649709522.068464,90433,1.0
1649709845.112602,92554,1.0
1649709881.899389,92801,1.0
1649710055.404685,93943,1.0
1649710242.468129,95170,1.0
1649710346.561538,95878,1.0
1649710582.199252,97414,1.0
1649711167.5861802,101314,0.9590908885002136
1649711699.816718,104877,1.0
1649711730.342331,105086,1.0
1649711766.699614,105338,1.0
1649712133.923378,107784,1.0
1649712243.996309,108516,1.0
1649712451.54555,109910,0.8999999761581421
1649712693.850244,111573,1.0
1649712835.4786687,112511,1.0
1649713166.472307,114742,1.0
1649713527.545526,117138,1.0
1649713637.337861,117859,1.0
1649713724.710235,118425,1.0
1649714154.524047,121301,1.0
1649714197.740596,121601,1.0
1649714242.873678,121897,1.0
1649714351.299481,122665,1.0
1649714576.134418,124178,1.0
1649714657.11969,124717,1.0
1649714902.577047,126396,1.0
1649715051.020825,127393,1.0
1649715162.192291,128122,1.0
1649715302.98669,129092,0.9684684872627258
1649715380.228617,129598,1.0
1649715412.712163,129820,1.0
1649715480.161212,130292,1.0
1649715652.937558,131441,1.0
1649715943.648223,133382,1.0
1649715984.490899,133660,1.0
1649716082.503971,134306,1.0
1649716113.897164,134521,1.0
1649716185.927087,135012,1.0
1649716301.895288,135767,1.0
1649716483.430168,136992,1.0
1649716567.546889,137563,1.0
1649716635.114811,137999,1.0
1649716670.017677,138240,1.0
1649716680.709374,138312,0.3333333432674408
1649717143.899767,141381,1.0
1649717208.079438,141811,0.8571428656578064
1649717239.842195,142024,1.0
1649717369.84067,142873,1.0
1649718169.812078,148169,1.0
1649718192.19482,148318,0.49832776188850403
1649718222.881757,148531,1.0
1649718302.572647,149077,1.0
1649718414.799865,149800,1.0
1649718500.056647,150374,1.0
1649718534.682815,150581,1.0
1649718761.211339,152088,1.0
1649718800.631986,152343,1.0
1649718953.028812,153332,1.0
