Wall time,Step,Value
1648154482.188005,658,2.0
1648154496.170454,999,0.0
1648154630.238945,1551,0.0
1648154793.217903,2001,0.0
1648155071.567932,2783,9.0
1648155372.3248,3624,0.0
1648155899.065505,5150,0.0
1648155988.014955,5403,0.0
1648156497.707575,6787,0.0
1648156507.453558,6814,0.0
1648156675.026683,7273,0.0
1648157073.802046,8437,4.0
1648157335.44934,9219,8.0
1648157344.252983,9246,0.0
1648157593.163942,10012,0.0
1648157924.278221,11028,0.0
1648158042.127986,11390,0.0
1648158363.567393,12278,3.0
1648158525.065548,12763,0.0
1648158853.622911,13760,0.0
1648158919.216034,13955,8.0
1648159016.671455,14246,4.0
1648159099.2484102,14502,0.0
1648159365.132816,15313,0.0
1648159888.808611,16925,0.0
1648160208.433839,17857,4.0
1648160522.595169,18820,0.0
1648160632.858728,19160,0.0
1648161057.96117,20492,1.0
1648161319.495466,21294,3.0
1648161604.828316,22198,0.0
1648162203.498501,24020,10.0
1648162345.121246,24464,0.0
1648162461.861431,24831,0.0
1648162605.175724,25276,0.0
1648162921.325446,26249,2.0
1648163018.894882,26559,0.0
1648163027.090674,26585,12.0
1648163190.374318,27090,0.0
1648163226.805111,27205,0.0
1648163324.207452,27510,12.0
1648163652.1254468,28526,4.0
1648164718.318584,31813,1.0
1648164887.740552,32333,0.0
1648165122.1630442,33057,0.0
1648165284.647166,33566,2.0
1648165512.875202,34265,0.0
1648165742.910545,34948,0.0
1648165752.607251,34975,1.0
1648165883.260198,35323,6.0
1648166019.884994,35729,0.0
1648166050.883073,35825,0.0
1648166332.871372,36712,1.0
1648166437.060992,37023,4.0
1648166455.898303,37080,15.0
1648166808.978249,38161,0.0
1648167195.443038,39361,2.0
1648167668.189187,40794,0.0
1648167838.255882,41272,0.0
1648167920.24613,41531,9.0
1648168456.487072,43211,2.0
1648168679.0703738,43906,0.0
1648168873.740104,44508,0.0
1648169027.975108,44989,0.0
1648169469.678327,46362,0.0
1648169779.183472,47260,7.0
1648170205.329379,48582,8.0
1648170215.473035,48612,0.0
1648170250.010106,48720,0.0
1648170510.407394,49528,0.0
1648170749.661563,50284,0.0
1648170953.801087,50916,0.0
1648171263.430675,51856,10.0
1648171608.7317567,52861,1.0
1648171779.236863,53387,21.0
1648171953.249143,53915,2.0
1648172355.69771,55175,3.0
1648172413.280212,55349,6.0
1648173072.671099,57340,5.0
1648173109.343652,57452,0.0
1648173209.007272,57741,2.0
1648173363.309125,58163,1.0
1648173579.331544,58829,0.0
1648173733.480921,59302,0.0
1648173886.714921,59757,0.0
1648173954.757163,59957,0.0
1648175121.169557,63501,3.0
1648175209.858115,63727,2.0
1648175230.314503,63789,7.0
1648175240.813462,63821,4.0
1648175589.53311,64908,0.0
1648175609.27452,64968,0.0
1648175965.433762,66050,5.0
1648176565.210409,67936,8.0
1648176582.943636,67991,0.0
1648176775.410604,68619,2.0
1648177046.794152,69404,0.0
1648177090.863922,69540,3.0
1648177109.502703,69596,0.0
1648177197.355157,69874,4.0
1648177279.404517,70120,6.0
1648177557.643576,70988,0.0
1648177768.762672,71655,0.0
1648177912.635922,72100,1.0
1648178727.814466,74629,3.0
1648178843.384708,74953,0.0
1648178955.274161,75300,0.0
1648178977.0674372,75365,0.0
1648179180.594121,76017,0.0
1648179543.590206,77155,3.0
1648179772.63408,77861,9.0
1648179850.412731,78108,5.0
1648180210.779019,79278,0.0
1648180289.435188,79547,2.0
1648181190.318298,82378,6.0
1648181254.525952,82580,2.0
1648181498.99233,83371,4.0
1648182044.285336,85081,6.0
1648182052.226288,85104,1.0
1648182597.686554,86760,1.0
1648183016.821609,88086,1.0
1648183152.6659222,88529,0.0
1648183179.324095,88614,0.0
1648183567.364008,89834,0.0
1648183840.565853,90712,2.0
1648184285.082065,92079,3.0
1648184401.628277,92457,0.0
1648184551.8886652,92944,0.0
1648185159.680121,94905,7.0
1648185271.417371,95268,10.0
1648185741.504019,96811,0.0
1648185831.486055,97079,4.0
1648186058.775711,97766,0.0
1648186123.208229,97974,1.0
1648186305.540818,98559,2.0
1648186424.473146,98945,0.0
1648186551.3143353,99345,7.0
1648186789.748248,100110,0.0
1648187266.655807,101613,6.0
1648187661.217269,102851,0.0
1648187670.471724,102877,0.0
1648187841.919405,103380,0.0
1648187886.373056,103520,1.0
1648188030.428195,103976,0.0
1648188109.246571,104226,0.0
1648188601.808122,105759,0.0
1648189272.152613,107862,7.0
1648189332.254382,108024,0.0
1648189609.105606,108869,4.0
1648190560.663668,111880,4.0
1648191006.266114,113301,2.0
1648191127.633283,113666,0.0
1648191303.252073,114171,4.0
1648191559.804502,114954,3.0
1648192501.9554718,117878,4.0
1648192798.928912,118808,2.0
1648193264.848137,120185,7.0
1648193407.681952,120615,9.0
1648193701.0978932,121504,2.0
1648194004.823297,122449,3.0
1648194137.707463,122870,6.0
1648194333.051857,123470,0.0
1648194609.520846,124327,6.0
1648194713.885084,124654,0.0
1648194807.374962,124896,0.0
1648195907.623699,128365,0.0
1648196202.867533,129295,7.0
1648196369.533601,129798,0.0
1648196605.46047,130493,0.0
1648196697.525544,130784,1.0
1648196730.355548,130889,0.0
1648198150.353294,135273,4.0
1648198180.124555,135364,0.0
1648198206.362186,135445,12.0
1648198277.527366,135618,1.0
1648198357.182449,135861,0.0
1648198450.263014,136146,0.0
1648198598.45109,136598,4.0
1648198911.784175,137563,0.0
1648199517.958786,139437,0.0
1648199713.347758,140021,0.0
1648200329.382386,141860,3.0
1648200514.639329,142424,0.0
1648200557.523372,142558,2.0
1648201356.0115762,145001,0.0
1648201643.66496,145903,0.0
1648202371.209824,148159,3.0
1648202436.239147,148368,0.0
1648202685.826105,149166,0.0
1648203007.340347,150188,9.0
1648203933.7138608,153155,3.0
1648204192.94162,154000,2.0
1648204907.756077,156263,8.0
1648205125.786414,156983,11.0
1648205400.151241,157875,11.0
1648205407.709022,157905,0.0
1648205683.758489,158793,0.0
1648206023.7971368,159875,0.0
1648206178.009758,160381,0.0
1648206651.79711,161838,0.0
1648206780.003753,162240,0.0
1648207054.386104,163115,0.0
1648207281.876855,163837,1.0
1648207348.622668,164042,4.0
1648207501.846206,164513,2.0
1648208091.688788,166353,0.0
1648208197.187739,166647,0.0
1648208599.258989,167902,0.0
1648208780.179586,168469,0.0
1648209115.326046,169518,3.0
1648209315.304378,170141,5.0
1648209365.544927,170306,0.0
1648209892.409405,171907,0.0
1648210209.656222,172925,0.0
1648210543.80144,174007,0.0
1648210584.962686,174143,5.0
1648210650.824354,174353,8.0
1648210741.394634,174655,11.0
1648211362.615104,176678,0.0
1648211596.067707,177412,0.0
1648211774.433584,177996,25.0
1648211796.896064,178068,4.0
1648212034.430932,178851,9.0
1648212190.707989,179376,0.0
1648212253.345449,179595,2.0
1648212352.054865,179935,0.0
1648212381.97607,180037,5.0
1648212471.240287,180339,8.0
1648212784.743133,181336,5.0
1648212884.98745,181667,2.0
1648213565.399268,183891,1.0
1648213822.373323,184523,3.0
1648214102.494638,185450,2.0
1648214458.2495208,186606,1.0
1648214783.970918,187546,1.0
1648214979.511823,188192,0.0
1648215273.219917,189179,5.0
1648215799.846867,190932,5.0
1648216129.176532,191974,0.0
1648216252.964494,192375,2.0
1648216260.4548993,192399,4.0
1648218861.860304,198260,0.0
1648218922.1744032,198454,23.0
1648219012.269182,198744,0.0
1648219137.957661,199158,6.0
1648219397.005089,200014,2.0
1648219483.870194,200300,0.0
1648219545.9161909,200509,0.0
1648219758.789029,201205,0.0
1648219779.668101,201273,0.0
1648220050.716522,202132,2.0
1648220083.543586,202246,0.0
1648220761.383747,204089,0.0
1648221017.449365,204540,3.0
1648221299.110017,205085,12.0
1648221406.1979232,205308,16.0
1648221688.042411,205927,5.0
1648222650.188802,208118,2.0
1648222725.655524,208291,0.0
1648222831.747318,208544,0.0
1648222863.381853,208621,0.0
1648223059.139508,209115,0.0
1648223402.339067,210153,0.0
1648223476.549123,210396,0.0
1648224124.555116,212465,7.0
1648224142.305023,212522,0.0
1648224202.143613,212714,1.0
1648224210.095521,212739,0.0
1648224714.917864,214375,1.0
1648225039.039446,215411,1.0
1648225702.639498,217431,10.0
1648226235.60252,218802,0.0
1648227261.760961,221284,0.0
1648227818.7815807,222700,0.0
1648227969.266702,223079,0.0
1648228037.203566,223314,4.0
1648228319.523795,224251,2.0
1648228370.561191,224415,0.0
1648228806.517253,225861,13.0
1648228855.059952,226020,6.0
1648229110.93595,226810,0.0
1648229324.0021539,227462,0.0
1648229874.963562,229224,0.0
1648230076.4086163,229828,0.0
1648230180.447629,230161,0.0
1648230224.342896,230301,5.0
1648230313.465644,230565,5.0
1648230773.839617,231933,6.0
1648230866.781389,232214,0.0
1648231175.883292,233109,4.0
1648231682.800408,234564,4.0
1648231961.92644,235400,0.0
1648232259.058721,236264,2.0
1648232340.065574,236517,0.0
1648232373.567205,236616,0.0
1648232551.867173,237136,0.0
1648232598.813031,237264,27.0
1648233096.5805178,238663,3.0
1648233129.3765109,238758,7.0
1648233384.883075,239499,1.0
1648234560.115813,242704,0.0
1648235003.583354,243923,0.0
1648235251.963358,244581,0.0
1648235258.964418,244604,5.0
1648235704.168163,245864,0.0
1648235891.787145,246399,7.0
1648236301.526589,247573,0.0
1648236780.952453,248841,4.0
1648236823.962852,248955,0.0
1648237321.023658,250239,0.0
1648237405.5681732,250474,3.0
1648237440.9307823,250553,0.0
1648237784.695004,251512,2.0
1648237900.968134,251817,12.0
1648237960.340558,251990,0.0
1648238462.150641,253361,4.0
1648238624.843502,253814,0.0
1648238746.271613,254121,0.0
1648239564.424901,256314,9.0
1648239738.06831,256790,0.0
1648240185.906811,258038,0.0
1648240414.438447,258747,0.0
1648240798.083595,259713,8.0
1648241408.872382,261229,0.0
1648242468.481222,263962,0.0
1648242647.907198,264403,3.0
1648243104.138325,265486,0.0
1648243386.607197,266108,5.0
1648244095.281982,267761,0.0
1648244412.93791,268544,0.0
1648244596.70117,269034,0.0
1648244664.1029198,269199,20.0
1648244693.215655,269248,0.0
1648245578.058296,271285,3.0
1648245681.959628,271525,0.0
1648245883.779011,272004,0.0
1648246030.655899,272327,1.0
1648246308.874688,272978,1.0
1648246329.933657,273032,0.0
1648246416.01142,273232,0.0
1648246567.197369,273587,0.0
1648246659.06748,273822,0.0
1648246986.081686,274596,5.0
1648247260.073708,275199,0.0
1648247301.1482759,275271,0.0
1648247351.037221,275382,0.0
1648247687.150224,276217,0.0
1648247720.414498,276298,0.0
1648248986.428323,279040,0.0
1648249289.757084,279722,0.0
1648249429.240443,280031,0.0
1648249665.836406,280547,0.0
1648250147.294396,281624,0.0
1648250218.565504,281779,0.0
1648251085.343197,283684,0.0
1648251129.885997,283775,0.0
1648251906.400479,285400,0.0
1648252495.594856,286665,0.0
1648252941.630972,287661,0.0
1648255867.550268,293906,0.0
1648256018.186307,294177,0.0
1648256148.207564,294452,0.0
1648257369.898289,297067,0.0
1648257554.313946,297446,0.0
1648257858.57036,298085,0.0
1648258381.398218,299192,4.0
1648259233.894545,300960,0.0
1648259428.801307,301388,0.0
1648259744.278662,302055,0.0
1648260420.91236,303436,3.0
1648261044.6225102,304780,0.0
1648261824.263045,306403,0.0
1648262172.538926,307172,0.0
1648262567.698028,307995,0.0
1648262622.70192,308111,4.0
1648262648.902316,308161,3.0
1648262868.010896,308607,0.0
1648263029.79109,308941,0.0
1648263211.9929442,309314,0.0
1648263641.619033,310216,0.0
1648264439.080842,311906,0.0
1648264790.489367,312615,0.0
1648264833.929482,312703,0.0
1648265287.436983,313653,0.0
1648265673.901625,314483,0.0
1648266146.938976,315494,0.0
1648266334.0916722,315895,0.0
1648266454.474151,316162,0.0
1648267168.363284,317667,3.0
1648267438.373285,318232,2.0
1648267794.464282,318984,0.0
1648267966.074963,319357,0.0
1648268481.356069,320473,0.0
1648268687.43099,320902,0.0
1648269249.201016,322104,4.0
1648269584.260009,322844,0.0
1648269957.641586,323650,0.0
1648270369.264155,324531,0.0
1648270657.268869,325137,0.0
1648271145.8255239,326192,0.0
1648272420.682021,328987,0.0
1648272493.124179,329137,0.0
1648273843.617373,332079,0.0
1648275535.929802,335803,0.0
1648275730.076427,336218,4.0
1648276251.063176,337368,0.0
1648276720.181026,338383,8.0
1648276953.929837,338896,0.0
1648277166.84021,339337,0.0
1648277474.316083,340002,0.0
1648277487.730106,340027,9.0
1648278012.195454,341162,0.0
1648278210.38725,341597,0.0
1648278496.501448,342223,0.0
1648279207.388162,343821,0.0
1648279954.554687,345391,0.0
1648281792.637516,349414,0.0
1648282409.451237,350755,0.0
1648282592.373205,351137,0.0
1648282783.908926,351546,0.0
1648283330.473182,352716,0.0
1648283854.7374783,353883,0.0
1648284262.27072,354802,0.0
1648284539.821729,355403,0.0
1648284640.744102,355610,0.0
1648284723.646441,355796,0.0
1648285390.305855,357265,0.0
1648285552.01597,357622,0.0
1648285619.18708,357762,0.0
1648285725.920028,358020,0.0
1648286782.500035,360353,0.0
1648287933.14186,362835,0.0
1648288728.761546,364544,0.0
1648288742.561458,364577,6.0
1648289083.719166,365350,5.0
1648289447.805356,366122,0.0
1648289593.554736,366455,0.0
1648289992.90614,367373,2.0
1648291264.048851,370197,1.0
1648291863.590343,371522,0.0
1648292087.264589,372048,0.0
1648292183.860361,372258,0.0
1648292213.986014,372326,0.0
1648292638.132451,373273,0.0
1648293866.136104,375983,4.0
1648294000.199224,376300,0.0
1648294478.033145,377343,2.0
1648294562.535061,377526,7.0
1648294595.332537,377601,0.0
1648295296.466559,379160,0.0
1648295501.998941,379577,0.0
1648295719.745729,380048,0.0
1648296275.019334,381273,0.0
1648297116.061944,383116,0.0
1648297238.835296,383390,0.0
1648297917.943795,384893,0.0
1648298222.841302,385559,0.0
1648298238.348283,385595,0.0
1648298444.998126,386046,0.0
1648298519.483251,386204,2.0
1648298988.247613,387197,0.0
1648299100.221741,387444,0.0
1648299189.010934,387642,0.0
1648299668.62818,388675,5.0
1648299953.793807,389330,0.0
1648300291.785862,390085,0.0
1648301313.458921,392491,0.0
1648301916.704542,393781,0.0
1648301932.267945,393816,0.0
1648302976.957355,396128,2.0
1648303557.854679,397422,3.0
1648304162.188501,398718,0.0
1648304952.906705,400421,0.0
1648306640.709027,404007,0.0
1648307113.722628,405031,0.0
1648307406.4221,405675,0.0
1648307434.728953,405730,0.0
1648309304.726573,409870,0.0
1648309658.767218,410708,0.0
1648310548.014813,412752,0.0
1648310656.781309,413007,0.0
1648310691.960437,413078,0.0
1648312373.628668,416925,0.0
1648312404.993013,416997,0.0
1648312668.833576,417604,3.0
1648312700.187037,417677,0.0
1648312825.712176,417969,0.0
1648312873.063134,418080,0.0
1648312929.029735,418199,0.0
1648313203.171159,418811,0.0
1648313637.307552,419777,0.0
1648315107.183981,422862,0.0
1648315394.005471,423448,0.0
1648315783.80682,424282,0.0
1648316646.969081,426076,0.0
1648317181.740298,427157,5.0
1648317355.921446,427505,0.0
1648317801.846558,428427,1.0
1648318617.524529,430050,0.0
1648318654.8006258,430130,0.0
1648321078.045554,435058,0.0
1648321301.006602,435504,0.0
1648321583.755529,436075,0.0
1648321786.022015,436476,0.0
1648325457.666593,443904,2.0
1648325827.345223,444634,0.0
1648327377.9355588,447794,0.0
1648327634.966604,448309,5.0
1648327693.143001,448420,0.0
1648327811.852905,448680,0.0
1648327879.337433,448816,0.0
1648328043.462246,449148,0.0
1648328132.026739,449341,3.0
1648328531.473676,450115,0.0
1648328951.409546,450968,0.0
1648329765.906038,452611,1.0
1648330419.585227,453963,0.0
1648331565.596343,456395,0.0
1648331681.713333,456658,0.0
1648333529.194903,460561,3.0
1648334565.342364,462715,0.0
1648334956.240122,463533,0.0
1648335339.800091,464319,0.0
1648336001.01742,465706,0.0
1648336035.540875,465781,0.0
1648336439.3072603,466667,0.0
1648337413.451553,468751,0.0
1648337963.354137,469899,0.0
1648338372.719195,470767,0.0
1648338826.159971,471664,0.0
1648338958.695482,471954,0.0
1648339364.048935,472819,0.0
1648339618.919452,473355,0.0
1648339636.862998,473396,0.0
1648339872.931699,473888,0.0
1648340263.768157,474743,0.0
1648340314.46059,474860,0.0
1648341777.126542,477970,0.0
1648341842.831806,478112,0.0
1648342182.097833,478818,4.0
1648342788.614535,480143,0.0
1648342804.014681,480176,0.0
1648343503.246416,481651,0.0
1648343726.3185742,482112,4.0
1648344035.205628,482770,2.0
1648344156.88723,483038,0.0
1648345217.8147624,485315,4.0
1648345683.8270097,486227,0.0
1648346279.06243,487478,0.0
1648347204.430079,489430,0.0
1648347401.223095,489840,0.0
1648348058.356969,491225,0.0
1648348166.0962718,491461,0.0
1648348462.414329,492102,0.0
1648348529.833421,492261,0.0
1648348564.278618,492336,0.0
1648348851.088575,492924,2.0
1648349276.535855,493827,0.0
1648349400.577551,494113,0.0
1648350075.19465,495549,0.0
1648350801.701885,497198,0.0
1648351618.0788617,498977,0.0
1648352483.892554,500795,0.0
1648352500.714587,500833,0.0
1648353788.946879,503631,0.0
1648355283.67046,506819,5.0
1648355893.753372,508037,0.0
1648358299.280755,513172,0.0
1648359957.700517,516758,9.0
1648359999.649997,516826,0.0
1648360293.678677,517499,0.0
1648360488.206314,517897,0.0
1648361199.0287673,519381,0.0
1648361765.430115,520605,0.0
1648362009.043868,521079,0.0
1648362543.215341,522220,4.0
1648362558.682238,522253,0.0
1648362590.970766,522328,0.0
1648363083.611334,523416,0.0
1648363833.945996,525104,0.0
1648364308.211158,526338,0.0
1648364320.148825,526368,9.0
1648364481.098764,526764,0.0
1648364701.880855,527341,0.0
1648364934.01479,527957,0.0
1648365009.7369,528125,0.0
1648365289.19634,528817,3.0
1648365302.032128,528850,0.0
1648365405.747066,529137,8.0
1648365502.354189,529400,0.0
1648365684.148671,529857,0.0
1648366357.910644,531586,7.0
1648366446.935215,531816,0.0
1648366723.564391,532515,2.0
1648367006.331462,533254,0.0
1648367108.478907,533497,0.0
1648367200.892197,533758,0.0
1648367364.914854,534169,0.0
1648367789.27658,535266,0.0
1648368043.293532,535910,0.0
1648368077.11062,535988,0.0
1648368803.630293,537919,1.0
1648369424.67085,539580,0.0
1648370328.017013,541994,2.0
1648371054.054642,543975,0.0
1648371497.526937,545165,0.0
1648371777.672341,545925,0.0
1648371846.810852,546113,0.0
1648372055.509149,546671,0.0
1648372771.14864,548567,0.0
1648373595.9373918,550724,0.0
1648374199.814642,552309,0.0
1648375029.976811,554501,0.0
1648375196.692696,554963,0.0
1648375364.573387,555418,0.0
1648375600.0194528,556056,0.0
1648376561.820766,558590,6.0
1648376663.107911,558864,0.0
1648376687.053865,558925,0.0
1648376950.004297,559669,0.0
1648376989.088304,559777,0.0
1648377159.502518,560223,7.0
1648378035.977905,562583,0.0
1648378266.962894,563180,0.0
1648378393.036582,563481,0.0
1648378974.256585,565064,0.0
1648379216.159733,565731,0.0
1648379283.3153212,565922,0.0
1648379579.67184,566748,0.0
1648380149.934292,568327,0.0
1648381007.960336,570633,2.0
1648381233.098653,571275,0.0
1648381985.378759,573346,0.0
1648382313.500376,574279,0.0
1648382653.430969,575223,2.0
1648383346.999979,577158,0.0
1648383717.519254,578172,0.0
1648383869.394558,578572,0.0
1648384094.271322,579213,0.0
1648384435.437299,580141,0.0
1648384961.149555,581593,0.0
1648385086.458926,581924,0.0
1648385897.074657,584164,0.0
1648385968.114156,584345,0.0
1648386214.7639937,584999,0.0
1648386293.011648,585220,0.0
1648387338.296291,588081,0.0
1648387508.977649,588564,4.0
1648387578.31264,588741,2.0
1648387825.544412,589402,0.0
1648388407.013744,591008,0.0
1648388603.706939,591544,0.0
1648389232.119119,593302,1.0
1648390425.865217,596675,0.0
1648391548.6322,599734,0.0
1648392332.194698,601926,0.0
1648392659.681394,602843,1.0
1648392788.266301,603211,0.0
1648395670.9801269,611134,0.0
1648395893.390529,611715,0.0
1648396044.7150307,612106,0.0
1648396301.609938,612862,0.0
1648397274.023184,615512,1.0
1648397323.500089,615652,0.0
1648397347.964934,615720,0.0
1648398361.4701533,618521,0.0
1648398800.369612,619731,0.0
1648399077.693883,620485,0.0
1648399337.152972,621173,0.0
1648399727.262347,622293,0.0
1648399804.459818,622503,0.0
1648399997.974178,623048,0.0
1648401682.057391,627708,0.0
1648402859.39932,631028,4.0
1648403150.313962,631850,0.0
1648403569.310175,633025,0.0
1648403654.015484,633273,0.0
1648404069.030841,634410,0.0
1648404597.686771,635933,0.0
1648405085.20426,637303,0.0
1648405810.9032562,639313,0.0
1648406200.721562,640423,0.0
1648406693.043216,641719,0.0
1648406924.029088,642361,1.0
1648407251.802608,643229,0.0
1648407434.583186,643779,0.0
1648407572.0902936,644155,0.0
1648407889.972015,645039,0.0
1648408156.037548,645797,0.0
1648408526.691439,646838,0.0
1648408876.286334,647802,0.0
1648408951.492784,648007,0.0
1648409519.392035,649515,6.0
1648409903.057759,650564,0.0
1648410042.525573,650994,0.0
1648410054.796075,651025,0.0
1648410226.775294,651482,0.0
1648411776.830799,655794,18.0
1648412301.053609,657216,0.0
1648412798.956826,658604,0.0
1648413039.07487,659302,0.0
1648413889.708141,661704,0.0
1648413916.452293,661785,0.0
1648414356.609763,662941,0.0
1648414548.395384,663461,0.0
1648415123.853365,665013,0.0
1648415247.024596,665359,0.0
1648415322.24787,665562,7.0
1648415500.210785,666025,0.0
1648416508.4842792,668787,0.0
1648416745.951472,669411,0.0
1648417249.665697,670796,5.0
1648417351.82271,671120,0.0
1648417409.438651,671286,0.0
1648417838.2107193,672483,0.0
1648419380.276897,676761,0.0
1648419550.317296,677256,0.0
1648420187.314891,679012,0.0
1648420200.217228,679046,0.0
1648420388.520265,679576,0.0
1648420767.591669,680616,1.0
1648421376.987119,682256,0.0
1648421931.533862,683772,2.0
1648422316.387866,684819,0.0
1648423266.829671,687479,0.0
1648423421.840286,687932,0.0
1648423926.49388,689285,0.0
