Wall time,Step,Value
1648154482.1865187,658,0.0
1648154496.168787,999,0.0
1648154630.236927,1551,0.0
1648154793.216559,2001,0.0
1648155071.564543,2783,0.0
1648155372.323454,3624,0.0
1648155899.063693,5150,0.0
1648155988.012113,5403,0.0
1648156497.706087,6787,0.0
1648156507.45204,6814,0.0
1648156675.025307,7273,0.0
1648157073.800396,8437,0.0
1648157335.448076,9219,0.0
1648157344.250931,9246,0.0
1648157593.15973,10012,0.0
1648157924.274683,11028,0.0
1648158042.1264987,11390,0.0
1648158363.565836,12278,0.0
1648158525.063931,12763,0.0
1648158853.621013,13760,0.0
1648158919.214328,13955,0.0
1648159016.670207,14246,0.0
1648159099.246205,14502,0.0
1648159365.131502,15313,0.0
1648159888.8071628,16925,0.0
1648160208.430967,17857,0.0
1648160522.592447,18820,0.0
1648160632.856874,19160,0.0
1648161057.955254,20492,0.0
1648161319.49303,21294,0.0
1648161604.82437,22198,0.0
1648162203.495083,24020,0.0
1648162345.119944,24464,0.0
1648162461.8582542,24831,0.0
1648162605.1740422,25276,0.0
1648162921.323515,26249,0.0
1648163018.892967,26559,0.0
1648163027.087453,26585,0.0
1648163190.368897,27090,0.0
1648163226.803389,27205,0.0
1648163324.206171,27510,0.0
1648163652.122279,28526,0.0
1648164718.316443,31813,0.0
1648164887.738764,32333,0.0
1648165122.157858,33057,0.0
1648165284.6447,33566,0.0
1648165512.873952,34265,0.0
1648165742.908858,34948,0.0
1648165752.604202,34975,0.0
1648165883.258382,35323,0.0
1648166019.882053,35729,0.0
1648166050.881747,35825,0.0
1648166332.868725,36712,0.0
1648166437.059387,37023,0.0
1648166455.8960037,37080,0.0
1648166808.976739,38161,0.0
1648167195.440275,39361,0.0
1648167668.18777,40794,0.0
1648167838.25431,41272,0.0
1648167920.239177,41531,0.0
1648168456.4858,43211,0.0
1648168679.068544,43906,0.0
1648168873.738234,44508,0.0
1648169027.973556,44989,0.0
1648169469.676892,46362,0.0
1648169779.181626,47260,0.0
1648170205.328122,48582,0.0
1648170215.4715416,48612,0.0
1648170250.008532,48720,0.0
1648170510.406153,49528,0.0
1648170749.660322,50284,0.0
1648170953.799769,50916,0.0
1648171263.427993,51856,0.0
1648171608.729859,52861,0.0
1648171779.235174,53387,0.0
1648171953.244191,53915,0.0
