Wall time,Step,Value
1648154482.188503,658,1.0
1648154496.170989,999,1.0
1648154630.239557,1551,1.0
1648154793.218376,2001,1.0
1648155071.568813,2783,1.0
1648155372.3253922,3624,1.0
1648155899.066044,5150,1.0
1648155988.015431,5403,1.0
1648156497.708059,6787,1.0
1648156507.454264,6814,1.0
1648156675.027148,7273,1.0
1648157073.802592,8437,1.0
1648157335.449813,9219,1.0
1648157344.253516,9246,1.0
1648157593.16471,10012,1.0
1648157924.279264,11028,1.0
1648158042.128515,11390,1.0
1648158363.567881,12278,1.0
1648158525.066051,12763,1.0
1648158853.623412,13760,1.0
1648158919.216543,13955,1.0
1648159016.671927,14246,1.0
1648159099.248892,14502,1.0
1648159365.133371,15313,1.0
1648159888.8091068,16925,1.0
1648160208.434354,17857,1.0
1648160522.596509,18820,1.0
1648160632.859242,19160,1.0
1648161057.962685,20492,1.0
1648161319.496452,21294,1.0
1648161604.828807,22198,1.0
1648162203.499344,24020,1.0
1648162345.121718,24464,1.0
1648162461.862181,24831,1.0
1648162605.1762,25276,1.0
1648162921.326513,26249,1.0
1648163018.895401,26559,1.0
1648163027.0913837,26585,1.0
1648163190.375891,27090,1.0
1648163226.805588,27205,1.0
1648163324.207927,27510,1.0
1648163652.126078,28526,1.0
1648164718.319116,31813,1.0
1648164887.741035,32333,1.0
1648165122.163673,33057,1.0
1648165284.64769,33566,1.0
1648165512.875667,34265,1.0
1648165742.911011,34948,1.0
1648165752.607795,34975,1.0
1648165883.260731,35323,1.0
1648166019.885538,35729,1.0
1648166050.883547,35825,1.0
1648166332.871871,36712,1.0
1648166437.061519,37023,1.0
1648166455.899106,37080,1.0
1648166808.978743,38161,1.0
1648167195.44398,39361,1.0
1648167668.189677,40794,1.0
1648167838.256366,41272,1.0
1648167920.246784,41531,1.0
1648168456.487553,43211,1.0
1648168679.0709987,43906,1.0
1648168873.740579,44508,1.0
1648169027.975748,44989,1.0
1648169469.6788049,46362,1.0
1648169779.184046,47260,1.0
1648170205.329851,48582,1.0
1648170215.473661,48612,1.0
1648170250.0106,48720,1.0
1648170510.407869,49528,1.0
1648170749.662042,50284,1.0
1648170953.801572,50916,1.0
1648171263.43122,51856,1.0
1648171608.732235,52861,1.0
1648171779.237564,53387,1.0
1648171953.24971,53915,1.0
1648172355.698707,55175,1.0
1648172413.280731,55349,1.0
1648173072.671809,57340,1.0
1648173109.344129,57452,1.0
1648173209.007769,57741,1.0
1648173363.309766,58163,1.0
1648173579.3320158,58829,1.0
1648173733.481536,59302,1.0
1648173886.715619,59757,1.0
1648173954.757809,59957,1.0
1648175121.17161,63501,1.0
1648175209.858973,63727,1.0
1648175230.315204,63789,1.0
1648175240.813937,63821,1.0
1648175589.533623,64908,1.0
1648175609.274989,64968,1.0
1648175965.434299,66050,1.0
1648176565.210934,67936,1.0
1648176582.944443,67991,1.0
1648176775.411085,68619,1.0
1648177046.794635,69404,1.0
1648177090.864395,69540,1.0
1648177109.50415,69596,1.0
1648177197.35576,69874,1.0
1648177279.405008,70120,1.0
1648177557.644187,70988,1.0
1648177768.763405,71655,1.0
1648177912.636676,72100,1.0
1648178727.814943,74629,1.0
1648178843.385259,74953,1.0
1648178955.274653,75300,1.0
1648178977.067944,75365,1.0
1648179180.594635,76017,1.0
1648179543.590787,77155,1.0
1648179772.635047,77861,1.0
1648179850.413233,78108,1.0
1648180210.779515,79278,1.0
1648180289.435857,79547,1.0
1648181190.318909,82378,1.0
1648181254.526437,82580,1.0
1648181498.992793,83371,1.0
1648182044.285836,85081,1.0
1648182052.227726,85104,1.0
1648182597.687032,86760,1.0
1648183016.822156,88086,1.0
1648183152.666555,88529,1.0
1648183179.324582,88614,1.0
1648183567.364554,89834,1.0
1648183840.566328,90712,1.0
1648184285.082537,92079,1.0
1648184401.628904,92457,1.0
1648184551.889149,92944,1.0
1648185159.680592,94905,1.0
1648185271.419023,95268,1.0
1648185741.504896,96811,1.0
1648185831.486543,97079,1.0
1648186058.776739,97766,1.0
1648186123.208705,97974,1.0
1648186305.541383,98559,1.0
1648186424.473717,98945,1.0
1648186551.314817,99345,1.0
1648186789.748861,100110,1.0
1648187266.656275,101613,1.0
1648187661.217745,102851,1.0
1648187670.47273,102877,1.0
1648187841.919984,103380,1.0
1648187886.373669,103520,1.0
1648188030.428665,103976,1.0
1648188109.24716,104226,1.0
1648188601.808594,105759,1.0
1648189272.153138,107862,1.0
1648189332.254872,108024,1.0
1648189609.106081,108869,1.0
1648190560.664134,111880,1.0
1648191006.266606,113301,1.0
1648191127.633748,113666,1.0
1648191303.252541,114171,1.0
1648191559.804985,114954,1.0
1648192501.956143,117878,1.0
1648192798.929408,118808,1.0
1648193264.848707,120185,1.0
1648193407.683274,120615,1.0
1648193701.098382,121504,1.0
1648194004.827603,122449,1.0
1648194137.708075,122870,1.0
1648194333.052406,123470,1.0
1648194609.521403,124327,1.0
1648194713.885629,124654,1.0
1648194807.375447,124896,1.0
1648195907.62435,128365,1.0
1648196202.868013,129295,1.0
1648196369.5344052,129798,1.0
1648196605.461542,130493,1.0
1648196697.526165,130784,1.0
1648196730.356018,130889,1.0
1648198150.354541,135273,1.0
1648198180.125259,135364,1.0
1648198206.362667,135445,1.0
1648198277.5278678,135618,1.0
1648198357.183098,135861,1.0
1648198450.263526,136146,1.0
1648198598.451566,136598,1.0
1648198911.784711,137563,1.0
1648199517.959264,139437,1.0
1648199713.348229,140021,1.0
1648200329.382987,141860,1.0
1648200514.639801,142424,1.0
1648200557.523991,142558,1.0
1648201356.012325,145001,1.0
1648201643.6654882,145903,1.0
1648202371.210498,148159,1.0
1648202436.239616,148368,1.0
1648202685.827498,149166,1.0
1648203007.340829,150188,1.0
1648203933.714382,153155,1.0
1648204192.942105,154000,1.0
1648204907.756592,156263,1.0
1648205125.787068,156983,1.0
1648205400.151721,157875,1.0
1648205407.709764,157905,1.0
1648205683.758952,158793,1.0
1648206023.797647,159875,1.0
1648206178.010226,160381,1.0
1648206651.797604,161838,1.0
1648206780.0043101,162240,1.0
1648207054.386629,163115,1.0
1648207281.877543,163837,1.0
1648207348.623161,164042,1.0
1648207501.846688,164513,1.0
1648208091.6893692,166353,1.0
1648208197.188214,166647,1.0
1648208599.259786,167902,1.0
1648208780.180063,168469,1.0
